Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Harrison Smith,8,6,3,0,0,1,0,0,1,37.5,37.5,18.5%,MIN,4,2023
2,Devon Witherspoon,6,1,2,1,1,0,0,1,1,35.3,35.3,43.3%,SEA,4,2023
3,Antoine Winfield Jr.,6,3,1,1,0,1,1,0,1,29.8,29.8,70.3%,TB,4,2023
4,DaRon Bland,3,1,0,3,2,0,0,1,1,25.8,25.8,42.4%,DAL,4,2023
5,Jerry Jacobs,5,0,0,4,2,0,0,0,1,23.5,23.5,12.4%,FA,4,2023
6,Kyle Dugger,12,3,0,0,0,0,0,0,1,22.8,22.8,23.2%,NE,4,2023
7,Darious Williams,4,1,0,3,1,0,0,1,1,22.3,22.3,10.5%,LAR,4,2023
8,Kamren Curl,9,3,1,0,0,0,0,0,1,22.3,22.3,30.6%,LAR,4,2023
9,Myles Bryant,6,4,0,0,0,2,0,0,1,20.0,20.0,2.5%,HOU,4,2023
10,Camryn Bynum,9,3,0,0,0,1,0,0,1,19.8,19.8,54.8%,MIN,4,2023
11,Kenny Moore II,5,3,0,2,1,0,0,0,1,17.8,17.8,29.4%,IND,4,2023
12,Rudy Ford,7,1,0,1,1,0,0,0,1,17.8,17.8,3.8%,FA,4,2023
13,Nick Scott,9,2,0,0,0,0,0,0,1,17.5,17.5,1.8%,CAR,4,2023
14,Tre'von Moehrig,6,0,0,2,1,0,0,0,1,17.0,17.0,5.3%,LV,4,2023
15,Kareem Jackson,6,2,0,1,1,0,0,0,1,17.0,17.0,0.7%,FA,4,2023
16,Jessie Bates III,5,3,0,0,0,1,0,0,1,16.3,16.3,68.8%,ATL,4,2023
17,Isaac Yiadom,5,1,0,2,1,0,0,0,1,16.3,16.3,0.0%,SF,4,2023
18,Darius Slay Jr.,10,1,0,0,0,0,0,0,1,15.8,15.8,10.0%,PHI,4,2023
19,Jeremy Chinn,6,0,1,0,0,0,0,0,1,15.5,15.5,7.0%,WAS,4,2023
20,Asante Samuel Jr.,6,0,0,1,1,0,0,0,1,15.5,15.5,4.3%,LAC,4,2023
21,Emmanuel Forbes Jr.,7,2,0,2,0,0,0,0,1,15.0,15.0,3.1%,WAS,4,2023
22,Andre Cisco,4,0,0,1,1,0,0,0,1,15.0,15.0,4.1%,JAC,4,2023
23,Richie Grant,9,2,0,0,0,0,0,0,1,15.0,15.0,13.2%,ATL,4,2023
24,Delarrin Turner-Yell,9,0,0,1,0,0,0,0,1,15.0,15.0,0.6%,DEN,4,2023
25,Dax Hill,3,5,0,1,1,0,0,0,1,14.8,14.8,16.2%,CIN,4,2023
26,Kyle Hamilton,5,0,0,1,1,0,0,0,1,14.0,14.0,48.1%,BAL,4,2023
27,Mike Edwards,4,0,1,1,0,0,0,0,1,14.0,14.0,4.1%,BUF,4,2023
28,Julian Love,6,3,0,0,0,0,0,0,1,13.8,13.8,33.6%,SEA,4,2023
29,Reed Blankenship,4,4,0,3,0,0,0,0,1,13.5,13.5,40.9%,PHI,4,2023
30,Minkah Fitzpatrick,7,4,0,0,0,0,0,0,1,13.5,13.5,36.6%,PIT,4,2023
31,Micah Hyde,4,1,0,1,1,0,0,0,1,13.3,13.3,1.3%,FA,4,2023
32,Kevin Byard III,6,0,0,0,0,0,1,0,1,13.0,13.0,29.0%,CHI,4,2023
33,JuJu Brents,8,1,0,0,0,0,0,0,1,12.8,12.8,8.7%,IND,4,2023
34,Jabrill Peppers,5,3,0,0,0,0,0,0,1,12.3,12.3,10.3%,NE,4,2023
35,Michael Davis,8,0,0,0,0,0,0,0,1,12.0,12.0,1.0%,WAS,4,2023
36,Julian Blackmon,7,2,0,0,0,0,0,0,1,12.0,12.0,14.2%,IND,4,2023
37,Steven Nelson,3,1,0,1,1,0,0,0,1,11.8,11.8,0.0%,FA,4,2023
38,Cam Taylor-Britt,4,2,0,0,0,1,0,0,1,11.5,11.5,16.0%,CIN,4,2023
39,Tyson Campbell,5,1,0,2,0,0,0,0,1,11.3,11.3,17.2%,JAC,4,2023
40,Quandre Diggs,3,0,0,1,1,0,0,0,1,11.0,11.0,2.9%,FA,4,2023
41,Dee Delaney,3,0,0,1,1,0,0,0,1,11.0,11.0,0.0%,BUF,4,2023
42,Amani Hooker,4,1,0,1,0,0,0,0,1,10.8,10.8,14.4%,TEN,4,2023
43,Grayland Arnold,5,1,0,0,0,0,0,0,1,10.8,10.8,0.0%,PIT,4,2023
44,Josh Metellus,2,5,0,1,0,0,0,0,1,10.8,10.8,41.4%,MIN,4,2023
