Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kenny Moore II,7,1,0.0,2,2,0,0,2,1,36.3,36.3,29.4%,IND,9,2023
2,Paulson Adebo,5,2,0.0,3,2,1,1,0,1,31.5,31.5,27.7%,NO,9,2023
3,Trent McDuffie,8,3,0.0,0,0,1,0,0,1,18.3,18.3,32.4%,KC,9,2023
4,Grant Delpit,8,2,0.5,0,0,0,0,0,1,18.0,18.0,21.4%,CLE,9,2023
5,Jonathan Owens,4,4,1.0,0,0,1,0,0,1,17.0,17.0,5.3%,CHI,9,2023
6,Tavierre Thomas,5,4,0.0,0,0,1,0,0,1,17.0,17.0,1.8%,TB,9,2023
7,Jordan Poyer,8,3,0.0,0,0,0,0,0,1,16.8,16.8,26.5%,MIA,9,2023
8,Derwin James Jr.,7,3,0.0,0,0,0,1,0,1,16.8,16.8,75.7%,LAC,9,2023
9,Amik Robertson,3,0,0.0,2,1,1,0,0,1,16.5,16.5,0.4%,DET,9,2023
10,Alohi Gilman,4,0,0.0,1,0,1,1,0,1,15.5,15.5,10.4%,LAC,9,2023
11,Reed Blankenship,4,3,0.0,2,0,0,1,0,1,15.3,15.3,40.9%,PHI,9,2023
12,Jaire Alexander,6,1,0.0,2,0,0,0,0,1,15.3,15.3,8.6%,GB,9,2023
13,Mike Hilton,10,0,0.0,0,0,0,0,0,1,15.0,15.0,11.1%,CIN,9,2023
14,Byron Murphy Jr.,3,0,0.0,2,1,0,0,0,1,15.0,15.0,7.0%,MIN,9,2023
15,Kyle Dugger,5,1,0.0,1,1,0,0,0,1,14.8,14.8,23.2%,NE,9,2023
16,Tre'von Moehrig,5,0,1.0,0,0,0,0,0,1,14.0,14.0,5.3%,LV,9,2023
17,Nate Hobbs,3,4,0.0,1,1,0,0,0,1,14.0,14.0,33.1%,LV,9,2023
18,Akayleb Evans,5,2,0.0,0,0,1,0,0,1,13.0,13.0,3.6%,MIN,9,2023
19,Xavier McKinney,7,3,0.0,0,0,0,0,0,1,12.8,12.8,35.6%,GB,9,2023
20,Josh Metellus,3,2,0.0,0,0,0,1,0,1,12.5,12.5,41.4%,MIN,9,2023
21,Jaylen Watson,3,2,1.0,0,0,0,0,0,1,12.5,12.5,2.4%,KC,9,2023
22,Richie Grant,4,4,0.0,2,0,0,0,0,1,12.0,12.0,13.2%,ATL,9,2023
23,Denzel Ward,2,1,0.0,2,1,0,0,0,1,11.8,11.8,5.3%,CLE,9,2023
24,Jalen Pitre,4,2,0.0,1,0,0,0,0,1,11.5,11.5,45.9%,HOU,9,2023
25,Jessie Bates III,5,3,0.0,1,0,0,0,0,1,11.3,11.3,68.8%,ATL,9,2023
26,Darius Slay Jr.,5,3,0.0,1,0,0,0,0,1,11.3,11.3,10.0%,PHI,9,2023
27,Marcus Maye,3,0,0.0,1,1,0,0,0,1,11.0,11.0,2.1%,MIA,9,2023
28,Jordan Fuller,2,5,0.0,0,0,1,0,0,1,10.8,10.8,9.7%,CAR,9,2023
29,Ahkello Witherspoon,3,1,0.0,1,0,0,1,0,1,10.8,10.8,0.0%,FA,9,2023
30,Malik Hooker,3,3,0.0,0,0,1,0,0,1,10.8,10.8,3.7%,DAL,9,2023
31,Kristian Fulton,4,1,0.0,1,0,0,0,0,1,10.8,10.8,2.0%,LAC,9,2023
32,Kevin Byard III,5,4,0.0,0,0,0,0,0,1,10.5,10.5,29.0%,CHI,9,2023
33,Bryan Cook,2,2,0.0,0,0,0,0,1,1,10.5,10.5,3.3%,KC,9,2023
34,James Bradberry IV,6,0,0.0,1,0,0,0,0,1,10.5,10.5,2.0%,PHI,9,2023
35,Budda Baker,4,6,0.0,0,0,0,0,0,1,10.5,10.5,36.4%,ARI,9,2023
36,Markquese Bell,6,2,0.0,0,0,0,0,0,1,10.5,10.5,11.0%,DAL,9,2023
37,Duke Shelley,4,0,0.0,0,0,0,1,0,1,10.0,10.0,0.0%,FA,9,2023
38,Alex Cook,3,4,0.0,0,0,0,0,0,1,10.0,10.0,0.0%,CAR,9,2023
39,Taron Johnson,5,0,0.0,0,0,0,0,0,1,10.0,10.0,31.2%,BUF,9,2023
40,Zyon McCollum,5,1,0.0,1,0,0,0,0,1,9.8,9.8,6.5%,TB,9,2023
41,Tyrann Mathieu,5,1,0.0,1,0,0,0,0,1,9.8,9.8,9.9%,NO,9,2023
42,Myles Bryant,6,1,0.0,0,0,0,0,0,1,9.8,9.8,2.5%,HOU,9,2023
43,Deonte Banks,4,3,0.0,1,0,0,0,0,1,9.8,9.8,13.4%,NYG,9,2023
44,Amani Hooker,6,1,0.0,0,0,0,0,0,1,9.8,9.8,14.4%,TEN,9,2023
45,Anthony Johnson Jr.,1,0,0.0,2,1,0,0,0,1,9.5,9.5,1.0%,GB,9,2023
46,A.J. Terrell,3,0,0.0,0,0,0,0,0,1,9.5,9.5,4.2%,ATL,9,2023
47,Geno Stone,1,0,0.0,2,1,0,0,0,1,9.5,9.5,3.5%,CIN,9,2023
48,Dean Marlowe,3,1,1.0,0,0,0,0,0,1,9.3,9.3,0.2%,FA,9,2023
49,Nick Scott,3,1,0.0,0,0,0,1,0,1,9.3,9.3,1.8%,CAR,9,2023
50,Emmanuel Forbes Jr.,3,0,0.0,3,0,0,0,0,1,9.0,9.0,3.1%,WAS,9,2023
51,Devon Witherspoon,4,2,0.0,1,0,0,0,0,1,9.0,9.0,43.3%,SEA,9,2023
52,Darrell Baker Jr.,4,2,0.0,1,0,0,0,0,1,9.0,9.0,0.4%,IND,9,2023
53,Benjamin St-Juste,3,0,0.0,3,0,0,0,0,1,9.0,9.0,7.0%,WAS,9,2023
54,Riq Woolen,6,0,0.0,0,0,0,0,0,1,9.0,9.0,4.2%,SEA,9,2023
55,Dane Jackson,3,0,0.0,3,0,0,0,0,1,9.0,9.0,4.3%,CAR,9,2023
56,Jeff Okudah,4,2,0.0,1,0,0,0,0,1,9.0,9.0,1.7%,HOU,9,2023
57,Jaylon Jones,5,0,0.0,1,0,0,0,0,1,9.0,9.0,0.6%,IND,9,2023
58,Cam Taylor-Britt,1,1,0.0,1,1,0,0,0,1,8.8,8.8,16.0%,CIN,9,2023
59,Percy Butler,3,0,0.0,1,0,0,0,0,1,8.5,8.5,1.9%,WAS,9,2023
60,D.J. Reed Jr.,3,0,0.0,0,0,1,0,0,1,8.5,8.5,10.3%,NYJ,9,2023
61,Ja'Sir Taylor,3,1,0.0,2,0,0,0,0,1,8.3,8.3,1.0%,LAC,9,2023
62,Quentin Lake,5,1,0.0,0,0,0,0,0,1,8.3,8.3,3.8%,LAR,9,2023
63,Eddie Jackson,5,1,0.0,0,0,0,0,0,1,8.3,8.3,3.5%,FA,9,2023
64,Kendall Fuller,5,1,0.0,0,0,0,0,0,1,8.3,8.3,7.2%,MIA,9,2023
65,Quandre Diggs,5,1,0.0,0,0,0,0,0,1,8.3,8.3,2.9%,FA,9,2023
66,Russ Yeast,4,3,0.0,0,0,0,0,0,1,8.3,8.3,3.3%,LAR,9,2023
67,Julian Blackmon,5,1,0.0,0,0,0,0,0,1,8.3,8.3,14.2%,IND,9,2023
68,Tre Brown,2,1,0.0,0,0,1,0,0,1,7.8,7.8,0.8%,SEA,9,2023
69,Sydney Brown,2,1,0.0,0,0,1,0,0,1,7.8,7.8,3.9%,PHI,9,2023
70,Antoine Winfield Jr.,2,1,0.0,0,0,0,1,0,1,7.8,7.8,70.3%,TB,9,2023
71,Kamren Curl,4,2,0.0,0,0,0,0,0,1,7.5,7.5,30.6%,LAR,9,2023
72,Keisean Nixon,5,0,0.0,0,0,0,0,0,1,7.5,7.5,22.4%,GB,9,2023
73,Jevon Holland,2,6,0.0,0,0,0,0,0,1,7.5,7.5,21.2%,MIA,9,2023
74,Jordan Whitehead,4,0,0.0,1,0,0,0,0,1,7.5,7.5,16.5%,TB,9,2023
75,Carrington Valentine,2,0,0.0,3,0,0,0,0,1,7.5,7.5,0.4%,GB,9,2023
76,Jalen Thompson,5,0,0.0,0,0,0,0,0,1,7.5,7.5,16.8%,ARI,9,2023
77,Keanu Neal,3,4,0.0,0,0,0,0,0,1,7.5,7.5,0.4%,FA,9,2023
78,Kader Kohou,4,0,0.0,1,0,0,0,0,1,7.5,7.5,2.4%,MIA,9,2023
79,Elijah Hicks,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.6%,CHI,9,2023
80,Garrett Williams,3,1,0.0,1,0,0,0,0,1,6.8,6.8,1.0%,ARI,9,2023
81,Harrison Smith,3,3,0.0,0,0,0,0,0,1,6.8,6.8,18.5%,MIN,9,2023
82,Cameron Mitchell,3,1,0.0,1,0,0,0,0,1,6.8,6.8,0.2%,CLE,9,2023
83,Donte Jackson,4,1,0.0,0,0,0,0,0,1,6.8,6.8,3.6%,PIT,9,2023
84,Amari Burney,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.8%,LV,9,2023
85,Quan Martin,0,0,0.0,1,1,0,0,0,1,6.5,6.5,2.6%,WAS,9,2023
86,DeAndre Houston-Carson,1,1,0.0,0,0,0,1,0,1,6.3,6.3,0.0%,FA,9,2023
87,Jamal Adams,2,1,0.0,0,0,0,0,0,1,6.3,6.3,3.5%,FA,9,2023
88,Elijah Molden,3,2,0.0,0,0,0,0,0,1,6.0,6.0,3.3%,TEN,9,2023
89,Joey Porter Jr.,3,0,0.0,1,0,0,0,0,1,6.0,6.0,5.2%,PIT,9,2023
90,Cor'Dale Flott,4,0,0.0,0,0,0,0,0,1,6.0,6.0,1.4%,NYG,9,2023
91,Camryn Bynum,2,2,0.0,1,0,0,0,0,1,6.0,6.0,54.8%,MIN,9,2023
92,Kyler Gordon,3,2,0.0,0,0,0,0,0,1,6.0,6.0,11.9%,CHI,9,2023
93,Rodney Thomas II,4,0,0.0,0,0,0,0,0,1,6.0,6.0,0.9%,IND,9,2023
94,Patrick Peterson,3,0,0.0,1,0,0,0,0,1,6.0,6.0,0.8%,FA,9,2023
95,Jabrill Peppers,2,0,0.0,2,0,0,0,0,1,6.0,6.0,10.3%,NE,9,2023
96,Asante Samuel Jr.,4,0,0.0,0,0,0,0,0,1,6.0,6.0,4.3%,LAC,9,2023
97,Jalen Ramsey,4,0,0.0,0,0,0,0,0,1,6.0,6.0,18.5%,MIA,9,2023
98,Jonathan Jones,3,0,0.0,1,0,0,0,0,1,6.0,6.0,2.0%,NE,9,2023
99,Jason Pinnock,3,0,0.0,1,0,0,0,0,1,6.0,6.0,15.2%,NYG,9,2023
100,Dicaprio Bootle,3,0,0.0,1,0,0,0,0,1,6.0,6.0,0.6%,CAR,9,2023
101,Steven Nelson,3,2,0.0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,9,2023
102,Jayron Kearse,3,2,0.0,0,0,0,0,0,1,6.0,6.0,1.3%,FA,9,2023
103,Michael Carter II,3,2,0.0,0,0,0,0,0,1,6.0,6.0,0.0%,NYJ,9,2023
