Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kyle Hamilton,8,0,0.0,2,1,0,0,1,1,26.0,26.0,48.1%,BAL,10,2023
2,Derwin James Jr.,8,5,0.0,0,0,0,0,0,1,20.8,20.8,75.7%,LAC,10,2023
3,Cam Taylor-Britt,7,2,0.0,2,1,0,0,0,1,20.0,20.0,16.0%,CIN,10,2023
4,Jessie Bates III,11,2,0.0,0,0,0,0,0,1,18.0,18.0,68.8%,ATL,10,2023
5,Kyler Gordon,7,1,0.0,1,0,0,0,0,1,17.8,17.8,11.9%,CHI,10,2023
6,DeAndre Houston-Carson,7,0,0.0,1,1,0,0,0,1,17.0,17.0,0.0%,FA,10,2023
7,Greg Newsome II,1,1,0.5,1,1,0,0,1,1,16.8,16.8,5.7%,CLE,10,2023
8,Byron Murphy Jr.,3,0,0.0,3,1,0,0,0,1,16.5,16.5,7.0%,MIN,10,2023
9,Jordan Whitehead,4,5,0.0,1,1,0,0,0,1,16.3,16.3,16.5%,TB,10,2023
10,Justin Simmons,2,3,0.0,1,1,1,0,0,1,15.8,15.8,11.3%,FA,10,2023
11,Kerby Joseph,5,2,0.0,1,1,0,0,0,1,15.5,15.5,10.5%,DET,10,2023
12,Keanu Neal,4,4,0.0,1,1,0,0,0,1,15.5,15.5,0.4%,FA,10,2023
13,Talanoa Hufanga,5,2,0.0,1,1,0,0,0,1,15.5,15.5,13.7%,SF,10,2023
14,Percy Butler,6,3,0.0,1,0,0,0,0,1,15.3,15.3,1.9%,WAS,10,2023
15,Devon Witherspoon,4,1,0.0,3,0,1,0,0,1,15.3,15.3,43.3%,SEA,10,2023
16,Ja'Quan McMillian,4,1,0.0,0,0,1,1,0,1,14.8,14.8,1.2%,DEN,10,2023
17,Jaquan Brisker,5,4,0.0,1,0,0,0,0,1,14.5,14.5,46.6%,CHI,10,2023
18,Mike Hilton,6,2,0.0,0,0,0,1,0,1,14.5,14.5,11.1%,CIN,10,2023
19,Darnay Holmes,5,0,0.0,1,1,0,0,0,1,14.0,14.0,0.2%,NYG,10,2023
20,Julian Blackmon,4,0,0.0,2,1,0,0,0,1,14.0,14.0,14.2%,IND,10,2023
21,Paulson Adebo,5,4,0.0,2,0,0,0,0,1,13.5,13.5,27.7%,NO,10,2023
