Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
60,Jessie Bates III,5,1,0.0,0,0,0,0,0,1,8.3,8.3,68.8%,ATL,7,2023
61,Marcus Peters,2,5,0.0,1,0,0,0,0,1,8.3,8.3,1.2%,FA,7,2023
62,Kareem Jackson,4,1,0.0,1,0,0,0,0,1,8.3,8.3,0.7%,FA,7,2023
63,Alontae Taylor,5,1,0.0,0,0,0,0,0,1,8.3,8.3,3.1%,NO,7,2023
64,Damontae Kazee,4,3,0.0,0,0,0,0,0,1,8.3,8.3,1.2%,PIT,7,2023
65,Rudy Ford,4,3,0.0,0,0,0,0,0,1,8.3,8.3,3.8%,FA,7,2023
66,Christian Benford,3,1,0.0,0,0,0,0,0,1,7.8,7.8,13.4%,BUF,7,2023
67,Michael Davis,3,1,0.0,0,0,0,0,0,1,7.8,7.8,1.0%,WAS,7,2023
68,Quentin Lake,4,2,0.0,0,0,0,0,0,1,7.5,7.5,3.8%,LAR,7,2023
69,Ja'Sir Taylor,4,0,0.0,1,0,0,0,0,1,7.5,7.5,1.0%,LAC,7,2023
70,Xavier McKinney,3,0,0.0,2,0,0,0,0,1,7.5,7.5,35.6%,GB,7,2023
71,David Long Jr.,4,2,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,NYG,7,2023
72,Devon Witherspoon,4,0,0.0,1,0,0,0,0,1,7.5,7.5,43.3%,SEA,7,2023
73,Brandon Stephens,3,0,0.0,2,0,0,0,0,1,7.5,7.5,4.5%,BAL,7,2023
74,Taron Johnson,4,0,0.0,1,0,0,0,0,1,7.5,7.5,31.2%,BUF,7,2023
75,Trent McDuffie,5,0,0.0,0,0,0,0,0,1,7.5,7.5,32.4%,KC,7,2023
76,Marco Wilson,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.2%,NE,7,2023
77,Jevon Holland,4,1,0.0,0,0,0,0,0,1,6.8,6.8,21.2%,MIA,7,2023
78,Fabian Moreau,3,1,0.0,1,0,0,0,0,1,6.8,6.8,0.0%,FA,7,2023
79,Cor'Dale Flott,3,3,0.0,0,0,0,0,0,1,6.8,6.8,1.4%,NYG,7,2023
80,Tre Hawkins III,3,1,0.0,1,0,0,0,0,1,6.8,6.8,0.6%,NYG,7,2023
81,Andrew Wingard,4,1,0.0,0,0,0,0,0,1,6.8,6.8,1.6%,JAC,7,2023
82,Keanu Neal,4,0,0.0,0,0,0,0,0,1,6.0,6.0,0.4%,FA,7,2023
83,Marcus Epps,3,2,0.0,0,0,0,0,0,1,6.0,6.0,3.7%,LV,7,2023
84,Quandre Diggs,3,0,0.0,1,0,0,0,0,1,6.0,6.0,2.9%,FA,7,2023
85,Russ Yeast,2,4,0.0,0,0,0,0,0,1,6.0,6.0,3.3%,LAR,7,2023
86,Darrell Baker Jr.,3,0,0.0,1,0,0,0,0,1,6.0,6.0,0.4%,IND,7,2023
87,Byron Murphy Jr.,4,0,0.0,0,0,0,0,0,1,6.0,6.0,7.0%,MIN,7,2023
88,Justin Reid,2,2,0.0,1,0,0,0,0,1,6.0,6.0,33.2%,KC,7,2023
89,Akayleb Evans,4,0,0.0,0,0,0,0,0,1,6.0,6.0,3.6%,MIN,7,2023
90,Myles Bryant,4,0,0.0,0,0,0,0,0,1,6.0,6.0,2.5%,HOU,7,2023
91,Marlon Humphrey,3,0,0.0,1,0,0,0,0,1,6.0,6.0,5.0%,BAL,7,2023
92,Micah Hyde,1,2,0.0,0,0,0,0,0,1,5.5,5.5,1.3%,FA,7,2023
93,Brian Branch,2,0,0.0,0,0,0,0,0,1,5.5,5.5,37.1%,DET,7,2023
94,Dee Alford,1,1,0.0,2,0,0,0,0,1,5.3,5.3,1.4%,ATL,7,2023
95,Josh Metellus,2,3,0.0,0,0,0,0,0,1,5.3,5.3,41.4%,MIN,7,2023
96,Amik Robertson,2,3,0.0,0,0,0,0,0,1,5.3,5.3,0.4%,DET,7,2023
97,Ahkello Witherspoon,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,7,2023
98,Joey Porter Jr.,2,1,0.0,1,0,0,0,0,1,5.3,5.3,5.2%,PIT,7,2023
99,Patrick Peterson,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.8%,FA,7,2023
100,Pat Surtain II,2,0,0.0,1,0,0,0,0,1,4.5,4.5,11.3%,DEN,7,2023
101,Kendall Fuller,3,0,0.0,0,0,0,0,0,1,4.5,4.5,7.2%,MIA,7,2023
102,James Bradberry IV,3,0,0.0,0,0,0,0,0,1,4.5,4.5,2.0%,PHI,7,2023
103,Deommodore Lenoir,2,2,0.0,0,0,0,0,0,1,4.5,4.5,13.9%,SF,7,2023
104,Isaiah Oliver,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.4%,NYJ,7,2023
105,Tyrann Mathieu,3,0,0.0,0,0,0,0,0,1,4.5,4.5,9.9%,NO,7,2023
106,Justin Simmons,2,2,0.0,0,0,0,0,0,1,4.5,4.5,11.3%,FA,7,2023
107,DeShon Elliott,2,2,0.0,0,0,0,0,0,1,4.5,4.5,7.8%,PIT,7,2023
108,Lonnie Johnson Jr.,0,0,0.0,0,0,0,1,0,1,4.0,4.0,0.2%,HOU,7,2023
109,Cameron Sutton,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.2%,PIT,7,2023
110,Elijah Hicks,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.6%,CHI,7,2023
111,Marshon Lattimore,1,1,0.0,1,0,0,0,0,1,3.8,3.8,6.0%,NO,7,2023
112,Greg Newsome II,2,1,0.0,0,0,0,0,0,1,3.8,3.8,5.7%,CLE,7,2023
113,Riq Woolen,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.2%,SEA,7,2023
114,Carlton Davis III,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.3%,DET,7,2023
115,Sydney Brown,2,1,0.0,0,0,0,0,0,1,3.8,3.8,3.9%,PHI,7,2023
116,Christian Izien,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.8%,TB,7,2023
117,Jaylen Watson,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.4%,KC,7,2023
118,Percy Butler,2,1,0.0,0,0,0,0,0,1,3.8,3.8,1.9%,WAS,7,2023
119,Jack Jones,1,3,0.0,0,0,0,0,0,1,3.8,3.8,3.3%,LV,7,2023
120,Tre Brown,1,0,0.0,1,0,0,0,0,1,3.0,3.0,0.8%,SEA,7,2023
121,Quan Martin,0,2,0.0,1,0,0,0,0,1,3.0,3.0,2.6%,WAS,7,2023
122,Kamren Curl,1,2,0.0,0,0,0,0,0,1,3.0,3.0,30.6%,LAR,7,2023
123,Parry Nickerson,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,PHI,7,2023
124,Rock Ya-Sin,1,0,0.0,1,0,0,0,0,1,3.0,3.0,0.6%,SF,7,2023
125,Jalen Mills,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.6%,NYG,7,2023
126,Jonathan Jones,2,0,0.0,0,0,0,0,0,1,3.0,3.0,2.0%,NE,7,2023
127,Tashaun Gipson Sr.,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.2%,FA,7,2023
128,Keisean Nixon,1,1,0.0,0,0,0,0,0,1,2.3,2.3,22.4%,GB,7,2023
129,Isaiah Pola-Mao,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.2%,LV,7,2023
130,Marcus Maye,0,3,0.0,0,0,0,0,0,1,2.3,2.3,2.1%,MIA,7,2023
131,Levi Wallace,0,3,0.0,0,0,0,0,0,1,2.3,2.3,2.2%,DEN,7,2023
132,Danny Johnson,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,7,2023
133,Nick McCloud,0,1,0.0,1,0,0,0,0,1,2.3,2.3,1.2%,NYG,7,2023
134,Andre Cisco,1,1,0.0,0,0,0,0,0,1,2.3,2.3,4.1%,JAC,7,2023
135,Will Harris,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,NO,7,2023
136,Rodney McLeod Jr.,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.4%,CLE,7,2023
137,Eli Ricks,0,0,0.0,1,0,0,0,0,1,1.5,1.5,0.2%,PHI,7,2023
138,Jalyn Armour-Davis,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,BAL,7,2023
139,Martin Emerson Jr.,1,0,0.0,0,0,0,0,0,1,1.5,1.5,2.4%,CLE,7,2023
140,Ugo Amadi,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.2%,NO,7,2023
141,Taylor Rapp,1,0,0.0,0,0,0,0,0,1,1.5,1.5,7.9%,BUF,7,2023
142,Elijah Campbell,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.2%,MIA,7,2023
143,Mike Edwards,0,0,0.0,1,0,0,0,0,1,1.5,1.5,4.1%,BUF,7,2023
144,Chandon Sullivan,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,7,2023
145,Darnell Savage Jr.,1,0,0.0,0,0,0,0,0,1,1.5,1.5,5.0%,JAC,7,2023
146,Josiah Scott,1,0,0.0,0,0,0,0,0,1,1.5,1.5,1.0%,PIT,7,2023
147,Isaac Yiadom,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,SF,7,2023
148,Michael Jackson Sr.,1,0,0.0,0,0,0,0,0,1,1.5,1.5,1.2%,SEA,7,2023
149,Jonathan Owens,1,0,0.0,0,0,0,0,0,1,1.5,1.5,5.3%,CHI,7,2023
150,Jaylon Jones,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.6%,IND,7,2023
151,Andrew Booth Jr.,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.4%,MIN,7,2023
