Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matt Gay,5,5,100.0,54,0,0,1,0,4,1,1,1,24.0,24.0,28.9%,IND,3,2023
2,Evan McPherson,4,5,80.0,54,0,0,0,2,2,1,1,1,19.0,19.0,81.8%,CIN,3,2023
3,Jason Myers,5,5,100.0,43,0,0,4,1,0,2,2,1,18.0,18.0,32.1%,SEA,3,2023
4,Tyler Bass,3,3,100.0,54,0,0,2,0,1,4,4,1,15.0,15.0,45.5%,BUF,3,2023
5,Chris Boswell,3,3,100.0,57,0,0,0,2,1,2,2,1,15.0,15.0,17.2%,PIT,3,2023
6,Matt Prater,3,3,100.0,62,0,0,1,1,1,1,1,1,13.0,13.0,1.7%,ARI,3,2023
7,Ka'imi Fairbairn,3,3,100.0,33,0,2,1,0,0,4,4,1,13.0,13.0,47.4%,HOU,3,2023
8,Harrison Butker,2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,12.0,96.2%,KC,3,2023
9,Dustin Hopkins,2,2,100.0,52,0,0,0,1,1,3,3,1,12.0,12.0,29.1%,CLE,3,2023
10,Jake Moody,3,3,100.0,36,0,2,1,0,0,3,3,1,12.0,12.0,72.1%,SF,3,2023
11,Jake Elliott,3,3,100.0,38,0,1,2,0,0,2,2,1,11.0,11.0,93.5%,PHI,3,2023
12,Brett Maher,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,0.6%,FA,3,2023
13,Eddy Pineiro,2,3,66.7,47,0,0,0,2,0,3,3,1,11.0,11.0,1.5%,CAR,3,2023
14,Brandon Aubrey,3,3,100.0,49,0,2,0,1,0,1,1,1,11.0,11.0,96.9%,DAL,3,2023
15,Jason Sanders,0,0,0.0,0,0,0,0,0,0,10,10,1,10.0,10.0,46.2%,MIA,3,2023
16,Chad Ryland,2,4,50.0,51,0,0,0,1,1,1,1,1,10.0,10.0,0.4%,NE,3,2023
17,Graham Gano,2,2,100.0,57,0,0,0,1,1,0,0,1,9.0,9.0,1.3%,NYG,3,2023
18,Wil Lutz,2,2,100.0,31,0,1,1,0,0,2,2,1,8.0,8.0,10.3%,DEN,3,2023
19,Riley Patterson,2,2,100.0,37,0,1,1,0,0,2,2,1,8.0,8.0,13.1%,JAC,3,2023
20,Younghoe Koo,2,3,66.7,48,0,1,0,1,0,0,0,1,7.0,7.0,61.7%,ATL,3,2023
21,Justin Tucker,1,2,50.0,50,0,0,0,0,1,2,2,1,7.0,7.0,98.7%,BAL,3,2023
22,Greg Joseph,1,1,100.0,23,0,1,0,0,0,3,3,1,6.0,6.0,3.7%,GB,3,2023
23,Greg Zuerlein,1,1,100.0,52,0,0,0,0,1,1,1,1,6.0,6.0,43.8%,NYJ,3,2023
24,Brandon McManus,1,3,33.3,33,0,0,1,0,0,2,2,1,5.0,5.0,18.3%,FA,3,2023
25,Blake Grupe,1,2,50.0,25,0,1,0,0,0,2,2,1,5.0,5.0,3.9%,NO,3,2023
26,Joey Slye,1,1,100.0,51,0,0,0,0,1,0,0,1,5.0,5.0,0.6%,NE,3,2023
27,Nick Folk,1,1,100.0,44,0,0,0,1,0,0,0,1,4.0,4.0,9.5%,TEN,3,2023
28,Anders Carlson,1,1,100.0,38,0,0,1,0,0,1,1,1,4.0,4.0,2.0%,GB,3,2023
29,Cameron Dicker,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,50.4%,LAC,3,2023
30,Daniel Carlson,1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,4.0,24.2%,LV,3,2023
31,Cairo Santos,1,1,100.0,21,0,1,0,0,0,1,1,1,4.0,4.0,26.6%,CHI,3,2023
32,Chase McLaughlin,1,1,100.0,33,0,0,1,0,0,0,0,1,3.0,3.0,6.8%,TB,3,2023
33,Ramiz Ahmed,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WAS,3,2023
34,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,3,2023
35,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.0%,DET,3,2023
36,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,3,2023
37,Tanner Brown,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,3,2023
38,Valentino Ambrosio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,3,2023
39,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,3,2023
40,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,3,2023
41,Alex McNulty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,3,2023
42,James Turner,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,3,2023
43,Harrison Mevis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,3,2023
44,Jack Browning,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,3,2023
45,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TEN,3,2023
46,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,LAR,3,2023
47,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,JAC,3,2023
48,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,3,2023
49,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,MIN,3,2023
50,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,DET,3,2023
51,John Parker Romo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,3,2023
