Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Greg Zuerlein,5,5,100.0,49,0,3,1,1,0,2,2,1,18.0,18.0,43.8%,NYJ,5,2023
2,Cairo Santos,4,4,100.0,43,0,1,2,1,0,4,4,1,17.0,17.0,26.6%,CHI,5,2023
3,Ka'imi Fairbairn,4,4,100.0,43,0,1,1,2,0,1,1,1,15.0,15.0,47.4%,HOU,5,2023
4,Blake Grupe,2,2,100.0,54,0,0,0,0,2,4,4,1,14.0,14.0,3.9%,NO,5,2023
5,Graham Gano,3,4,75.0,51,0,0,1,1,1,1,1,1,13.0,13.0,1.3%,NYG,5,2023
6,Nick Folk,3,3,100.0,53,0,1,1,0,1,1,1,1,12.0,12.0,9.5%,TEN,5,2023
7,Matt Gay,3,3,100.0,43,0,1,1,1,0,2,2,1,12.0,12.0,28.9%,IND,5,2023
8,Evan McPherson,2,2,100.0,40,0,0,0,2,0,4,4,1,12.0,12.0,81.8%,CIN,5,2023
9,Chris Boswell,3,3,100.0,43,0,1,0,2,0,0,0,1,11.0,11.0,17.2%,PIT,5,2023
10,Jake Elliott,3,3,100.0,34,0,2,1,0,0,2,2,1,11.0,11.0,93.5%,PHI,5,2023
11,Harrison Butker,2,2,100.0,40,0,0,1,1,0,3,3,1,10.0,10.0,96.2%,KC,5,2023
12,Greg Joseph,2,2,100.0,40,0,1,0,1,0,2,2,1,9.0,9.0,3.7%,GB,5,2023
13,Jason Sanders,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,46.2%,MIA,5,2023
14,Joey Slye,2,3,66.7,51,0,0,1,0,1,0,0,1,8.0,8.0,0.6%,NE,5,2023
15,Anders Carlson,2,2,100.0,37,0,1,1,0,0,1,1,1,7.0,7.0,2.0%,GB,5,2023
16,Wil Lutz,2,2,100.0,23,0,2,0,0,0,1,1,1,7.0,7.0,10.3%,DEN,5,2023
17,Younghoe Koo,2,2,100.0,37,0,0,2,0,0,1,1,1,7.0,7.0,61.7%,ATL,5,2023
18,Eddy Pineiro,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,1.5%,CAR,5,2023
19,Jake Moody,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,72.1%,SF,5,2023
20,Brandon McManus,1,1,100.0,44,0,0,0,1,0,2,2,1,6.0,6.0,18.3%,FA,5,2023
21,Riley Patterson,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,13.1%,JAC,5,2023
22,Brandon Aubrey,1,1,100.0,50,0,0,0,0,1,1,1,1,6.0,6.0,96.9%,DAL,5,2023
23,Daniel Carlson,1,3,33.3,26,0,1,0,0,0,2,2,1,5.0,5.0,24.2%,LV,5,2023
24,Justin Tucker,1,1,100.0,23,0,1,0,0,0,1,1,1,4.0,4.0,98.7%,BAL,5,2023
25,Brett Maher,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.6%,FA,5,2023
26,Tyler Bass,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,45.5%,BUF,5,2023
27,Matt Prater,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,1.7%,ARI,5,2023
28,Ramiz Ahmed,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WAS,5,2023
29,Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,5,2023
30,Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.0%,DET,5,2023
31,Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,5,2023
32,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.8%,TB,5,2023
33,Tanner Brown,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,LAR,5,2023
34,Chad Ryland,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.4%,NE,5,2023
35,John Parker Romo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIN,5,2023
36,Valentino Ambrosio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,5,2023
37,Jude McAtamney,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,5,2023
38,Spencer Shrader,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,5,2023
39,Alex McNulty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,5,2023
40,James Turner,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,5,2023
41,Harrison Mevis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,5,2023
42,Jack Browning,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,5,2023
43,Brayden Narveson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TEN,5,2023
44,Joshua Karty,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,LAR,5,2023
45,Cam Little,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,JAC,5,2023
46,Charlie Smyth,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,5,2023
47,Will Reichard,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.1%,MIN,5,2023
48,Jake Bates,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,DET,5,2023
49,Cade York,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CLE,5,2023
50,Cameron Dicker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.4%,LAC,5,2023
51,Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,5,2023
52,Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,5,2023
53,Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,5,2023
54,Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,5,2023
55,Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,5,2023
56,Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,5,2023
57,Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,5,2023
58,Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DAL,5,2023
59,Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,5,2023
