Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Josh Lambo,4,4,100.0,57,0,1,1,0,2,0,0,1,16.0,16.0,0.1%,FA,8,2018
2,Wil Lutz,3,3,100.0,52,0,0,0,2,1,3,3,1,16.0,16.0,10.3%,DEN,8,2018
3,Graham Gano,3,3,100.0,54,0,0,1,1,1,3,3,1,15.0,15.0,1.3%,NYG,8,2018
4,Stephen Gostkowski,4,5,80.0,40,0,2,1,1,0,1,1,1,14.0,14.0,0.1%,FA,8,2018
5,Jason Sanders,3,3,100.0,46,0,0,1,2,0,2,2,1,13.0,13.0,46.2%,MIA,8,2018
6,Mason Crosby,2,2,100.0,53,0,0,0,1,1,3,3,1,12.0,12.0,0.1%,FA,8,2018
7,Adam Vinatieri,2,2,100.0,26,0,2,0,0,0,4,4,1,10.0,10.0,0.2%,FA,8,2018
8,Dustin Hopkins,2,3,66.7,53,0,0,1,0,1,2,2,1,10.0,10.0,29.1%,CLE,8,2018
9,Stephen Hauschka,2,2,100.0,51,0,0,0,1,1,0,0,1,9.0,9.0,0.0%,FA,8,2018
10,Randy Bullock,1,1,100.0,44,0,0,0,1,0,4,5,1,8.0,8.0,0.1%,FA,8,2018
11,Greg Zuerlein,2,2,100.0,43,0,0,1,1,0,1,1,1,8.0,8.0,43.8%,NYJ,8,2018
12,Chandler Catanzaro,2,2,100.0,38,0,1,1,0,0,2,3,1,8.0,8.0,0.0%,FA,8,2018
13,Chris Boswell,1,1,100.0,42,0,0,0,1,0,4,4,1,8.0,8.0,17.2%,PIT,8,2018
14,Robbie Gould,2,2,100.0,27,0,2,0,0,0,1,1,1,7.0,7.0,0.1%,FA,8,2018
15,Greg Joseph,2,3,66.7,45,0,0,1,1,0,0,1,1,7.0,7.0,3.7%,GB,8,2018
16,Aldrick Rosas,2,2,100.0,37,0,1,1,0,0,1,1,1,7.0,7.0,0.0%,FA,8,2018
17,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,47.4%,HOU,8,2018
18,Harrison Butker,1,1,100.0,24,0,1,0,0,0,3,4,1,6.0,6.0,96.2%,KC,8,2018
19,Cody Parkey,1,2,50.0,32,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,8,2018
20,Jake Elliott,1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,93.5%,PHI,8,2018
21,Brandon McManus,1,2,50.0,36,0,0,1,0,0,2,2,1,5.0,5.0,18.3%,FA,8,2018
22,Jason Myers,1,1,100.0,42,0,0,0,1,0,1,1,1,5.0,5.0,32.1%,SEA,8,2018
23,Sebastian Janikowski,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,20.0%,FA,8,2018
24,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,24.2%,LV,8,2018
25,Phil Dawson,1,1,100.0,31,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,8,2018
26,Justin Tucker,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,98.7%,BAL,8,2018
27,Matt Prater,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,1.7%,ARI,8,2018
28,Dan Bailey,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,0.0%,FA,8,2018
29,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,8,2018
