Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Tucker,4,4,100.0,49,0,1,1,2,0,2,2,1,16.0,16.0,98.7%,BAL,4,2018
2,Wil Lutz,4,4,100.0,42,0,1,2,1,0,3,3,1,16.0,16.0,10.3%,DEN,4,2018
3,Cody Parkey,2,2,100.0,50,0,0,0,1,1,6,6,1,15.0,15.0,0.1%,FA,4,2018
4,Brett Maher,4,4,100.0,43,0,1,2,1,0,2,2,1,15.0,15.0,0.6%,FA,4,2018
5,Mason Crosby,3,3,100.0,52,0,0,1,0,2,1,2,1,14.0,14.0,0.1%,FA,4,2018
6,Ka'imi Fairbairn,3,4,75.0,40,0,1,1,1,0,4,4,1,14.0,14.0,47.4%,HOU,4,2018
7,Matt McCrane,3,5,60.0,44,0,2,0,1,0,4,4,1,14.0,14.0,0.0%,FA,4,2018
8,Matt Bryant,3,3,100.0,55,0,1,1,0,1,3,3,1,14.0,14.0,1.1%,FA,4,2018
9,Josh Lambo,3,3,100.0,54,0,1,1,0,1,2,2,1,13.0,13.0,0.1%,FA,4,2018
10,Brandon McManus,3,3,100.0,46,0,0,1,2,0,2,2,1,13.0,13.0,18.3%,FA,4,2018
11,Dan Bailey,3,3,100.0,40,0,0,2,1,0,2,2,1,12.0,12.0,0.0%,FA,4,2018
12,Jake Elliott,3,3,100.0,37,0,1,2,0,0,2,2,1,11.0,11.0,93.5%,PHI,4,2018
13,Sebastian Janikowski,2,4,50.0,52,0,0,0,1,1,2,2,1,11.0,11.0,20.0%,FA,4,2018
14,Caleb Sturgis,3,4,75.0,48,0,2,0,1,0,0,2,1,10.0,10.0,0.0%,FA,4,2018
15,Adam Vinatieri,2,2,100.0,44,0,0,0,2,0,2,2,1,10.0,10.0,0.2%,FA,4,2018
16,Ryan Succop,2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,9.0,0.0%,FA,4,2018
17,Robbie Gould,2,2,100.0,33,0,1,1,0,0,3,3,1,9.0,9.0,0.1%,FA,4,2018
18,Harrison Butker,2,2,100.0,33,0,1,1,0,0,3,3,1,9.0,9.0,96.2%,KC,4,2018
19,Stephen Gostkowski,1,1,100.0,20,0,1,0,0,0,5,5,1,8.0,8.0,0.1%,FA,4,2018
20,Sam Ficken,1,2,50.0,34,0,0,1,0,0,5,5,1,8.0,8.0,0.0%,FA,4,2018
21,Greg Joseph,2,2,100.0,28,0,2,0,0,0,2,2,1,8.0,8.0,3.7%,GB,4,2018
22,Randy Bullock,1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,0.1%,FA,4,2018
23,Jason Myers,2,2,100.0,38,0,1,1,0,0,0,0,1,6.0,6.0,32.1%,SEA,4,2018
24,Matt Prater,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,1.7%,ARI,4,2018
25,Chris Boswell,2,2,100.0,39,0,0,2,0,0,0,0,1,6.0,6.0,17.2%,PIT,4,2018
26,Phil Dawson,1,3,33.3,23,0,1,0,0,0,2,2,1,5.0,5.0,0.1%,FA,4,2018
27,Chandler Catanzaro,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,0.0%,FA,4,2018
28,Aldrick Rosas,1,1,100.0,33,0,0,1,0,0,1,1,1,4.0,4.0,0.0%,FA,4,2018
29,Jason Sanders,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,46.2%,MIA,4,2018
30,Stephen Hauschka,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,4,2018
