Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Graham Gano,4,4,100.0,63,0,0,1,2,1,3,3,1,19.0,19.0,1.3%,NYG,5,2018
2,Ryan Succop,4,4,100.0,54,0,1,1,0,2,0,0,1,16.0,16.0,0.0%,FA,5,2018
3,Aldrick Rosas,3,3,100.0,53,0,0,1,1,1,2,2,1,14.0,14.0,0.0%,FA,5,2018
4,Ka'imi Fairbairn,4,5,80.0,36,1,2,1,0,0,1,1,1,13.0,13.0,47.4%,HOU,5,2018
5,Harrison Butker,3,3,100.0,42,0,1,1,1,0,3,3,1,13.0,13.0,96.2%,KC,5,2018
6,Dan Bailey,3,5,60.0,52,0,1,1,0,1,2,2,1,13.0,13.0,0.0%,FA,5,2018
7,Brett Maher,3,3,100.0,48,0,1,0,2,0,1,1,1,12.0,12.0,0.6%,FA,5,2018
8,Randy Bullock,2,3,66.7,51,0,1,0,0,1,3,3,1,11.0,11.0,0.1%,FA,5,2018
9,Jason Myers,2,3,66.7,49,0,0,1,1,0,4,4,1,11.0,11.0,32.1%,SEA,5,2018
10,Justin Tucker,3,4,75.0,44,0,1,1,1,0,0,0,1,10.0,10.0,98.7%,BAL,5,2018
11,Stephen Gostkowski,1,1,100.0,45,0,0,0,1,0,5,5,1,9.0,9.0,0.1%,FA,5,2018
12,Stephen Hauschka,2,2,100.0,46,0,0,0,2,0,1,1,1,9.0,9.0,0.0%,FA,5,2018
13,Sebastian Janikowski,1,1,100.0,52,0,0,0,0,1,4,4,1,9.0,9.0,20.0%,FA,5,2018
14,Cairo Santos,2,2,100.0,39,1,0,1,0,0,3,4,1,9.0,9.0,26.6%,CHI,5,2018
15,Dustin Hopkins,2,2,100.0,53,0,0,1,0,1,1,1,1,9.0,9.0,29.1%,CLE,5,2018
16,Caleb Sturgis,2,3,66.7,49,0,0,1,1,0,2,3,1,9.0,9.0,0.0%,FA,5,2018
17,Adam Vinatieri,1,2,50.0,54,0,0,0,0,1,3,3,1,8.0,8.0,0.2%,FA,5,2018
18,Wil Lutz,1,1,100.0,44,0,0,0,1,0,4,5,1,8.0,8.0,10.3%,DEN,5,2018
19,Matt Prater,1,2,50.0,39,0,0,1,0,0,4,4,1,7.0,7.0,1.7%,ARI,5,2018
20,Jake Elliott,2,2,100.0,30,0,1,1,0,0,1,1,1,7.0,7.0,93.5%,PHI,5,2018
21,Greg Joseph,2,3,66.7,37,0,0,2,0,0,0,1,1,6.0,6.0,3.7%,GB,5,2018
22,Matt Bryant,1,1,100.0,47,0,0,0,1,0,2,2,1,6.0,6.0,1.1%,FA,5,2018
23,Jason Sanders,1,1,100.0,42,0,0,0,1,0,2,2,1,6.0,6.0,46.2%,MIA,5,2018
24,Chris Boswell,0,0,0.0,0,0,0,0,0,0,5,6,1,5.0,5.0,17.2%,PIT,5,2018
25,Mason Crosby,1,5,20.0,41,0,0,0,1,0,0,1,1,4.0,4.0,0.1%,FA,5,2018
26,Brandon McManus,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,18.3%,FA,5,2018
27,Phil Dawson,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,5,2018
28,Matt McCrane,1,2,50.0,24,0,1,0,0,0,1,1,1,4.0,4.0,0.0%,FA,5,2018
29,Josh Lambo,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,5,2018
30,Robbie Gould,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,5,2018
31,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,5,2018
