Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dustin Hopkins,3,3,100.0,50,0,0,0,2,1,1,1,1,14.0,14.0,29.1%,CLE,16,2018
2,Harrison Butker,3,3,100.0,54,0,1,1,0,1,2,2,1,13.0,13.0,96.2%,KC,16,2018
3,Mason Crosby,3,3,100.0,42,0,1,1,1,0,3,3,1,13.0,13.0,0.1%,FA,16,2018
4,Justin Tucker,3,5,60.0,56,0,1,1,0,1,1,1,1,12.0,12.0,98.7%,BAL,16,2018
5,Daniel Carlson,2,2,100.0,45,0,0,0,2,0,3,3,1,11.0,11.0,24.2%,LV,16,2018
6,Matt Prater,3,3,100.0,48,0,0,1,2,0,0,0,1,11.0,11.0,1.7%,ARI,16,2018
7,Brett Maher,2,2,100.0,59,0,1,0,0,1,3,3,1,11.0,11.0,0.6%,FA,16,2018
8,Aldrick Rosas,2,2,100.0,40,0,1,0,1,0,3,3,1,10.0,10.0,0.0%,FA,16,2018
9,Chris Boswell,2,2,100.0,49,0,0,1,1,0,2,2,1,9.0,9.0,17.2%,PIT,16,2018
10,Dan Bailey,2,2,100.0,29,0,2,0,0,0,3,3,1,9.0,9.0,0.0%,FA,16,2018
11,Cairo Santos,2,3,66.7,45,0,0,1,1,0,2,2,1,9.0,9.0,26.6%,CHI,16,2018
12,Robbie Gould,3,3,100.0,33,0,1,2,0,0,0,0,1,9.0,9.0,0.1%,FA,16,2018
13,Jake Elliott,2,2,100.0,47,0,0,1,1,0,2,3,1,9.0,9.0,93.5%,PHI,16,2018
14,Ryan Succop,2,2,100.0,42,0,0,1,1,0,1,2,1,8.0,8.0,0.0%,FA,16,2018
15,Jason Myers,1,2,50.0,33,0,0,1,0,0,5,5,1,8.0,8.0,32.1%,SEA,16,2018
16,Greg Joseph,2,2,100.0,37,0,0,2,0,0,2,3,1,8.0,8.0,3.7%,GB,16,2018
17,Sebastian Janikowski,1,2,50.0,28,0,1,0,0,0,5,5,1,8.0,8.0,20.0%,FA,16,2018
18,Wil Lutz,1,2,50.0,43,0,0,0,1,0,4,4,1,8.0,8.0,10.3%,DEN,16,2018
19,Stephen Hauschka,2,3,66.7,41,0,0,1,1,0,0,0,1,7.0,7.0,0.0%,FA,16,2018
20,Greg Zuerlein,1,2,50.0,21,0,1,0,0,0,4,4,1,7.0,7.0,43.8%,NYJ,16,2018
21,Stephen Gostkowski,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,0.1%,FA,16,2018
22,Matt Bryant,1,1,100.0,39,0,0,1,0,0,3,3,1,6.0,6.0,1.1%,FA,16,2018
23,Randy Bullock,1,1,100.0,51,0,0,0,0,1,1,1,1,6.0,6.0,0.1%,FA,16,2018
24,Chandler Catanzaro,1,1,100.0,50,0,0,0,0,1,1,1,1,6.0,6.0,0.0%,FA,16,2018
25,Ka'imi Fairbairn,1,1,100.0,30,0,0,1,0,0,3,4,1,6.0,6.0,47.4%,HOU,16,2018
26,Kai Forbath,1,2,50.0,26,0,1,0,0,0,2,2,1,5.0,5.0,3.0%,LAR,16,2018
27,Michael Badgley,1,1,100.0,38,0,0,1,0,0,1,1,1,4.0,4.0,19.0%,DET,16,2018
28,Adam Vinatieri,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.2%,FA,16,2018
29,Zane Gonzalez,1,2,50.0,36,0,0,1,0,0,0,1,1,3.0,3.0,0.1%,FA,16,2018
30,Brandon McManus,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,18.3%,FA,16,2018
31,Cody Parkey,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,16,2018
32,Jason Sanders,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,46.2%,MIA,16,2018
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,16,2018
