Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matt Prater,4,4,100.0,50,0,2,1,0,1,2,2,1,16.0,16.0,1.7%,ARI,7,2018
2,Giorgio Tavecchio,3,3,100.0,56,0,0,0,1,2,2,2,1,16.0,16.0,1.0%,FA,7,2018
3,Dan Bailey,3,4,75.0,43,0,2,0,1,0,4,4,1,14.0,14.0,0.0%,FA,7,2018
4,Greg Zuerlein,3,3,100.0,37,0,0,3,0,0,4,4,1,13.0,13.0,43.8%,NYJ,7,2018
5,Brandon McManus,1,1,100.0,41,0,0,0,1,0,6,6,1,10.0,10.0,18.3%,FA,7,2018
6,Ka'imi Fairbairn,2,2,100.0,48,0,0,0,2,0,2,2,1,10.0,10.0,47.4%,HOU,7,2018
7,Chandler Catanzaro,2,3,66.7,59,0,0,1,0,1,2,3,1,10.0,10.0,0.0%,FA,7,2018
8,Harrison Butker,1,2,50.0,26,0,1,0,0,0,6,6,1,9.0,9.0,96.2%,KC,7,2018
9,Michael Badgley,2,2,100.0,29,0,2,0,0,0,2,2,1,8.0,8.0,19.0%,DET,7,2018
10,Cody Parkey,1,1,100.0,46,0,0,0,1,0,4,4,1,8.0,8.0,0.1%,FA,7,2018
11,Stephen Gostkowski,1,1,100.0,29,0,1,0,0,0,5,5,1,8.0,8.0,0.1%,FA,7,2018
12,Dustin Hopkins,2,2,100.0,25,0,2,0,0,0,2,2,1,8.0,8.0,29.1%,CLE,7,2018
13,Ryan Succop,2,3,66.7,33,0,1,1,0,0,1,1,1,7.0,7.0,0.0%,FA,7,2018
14,Jason Myers,1,1,100.0,55,0,0,0,0,1,2,2,1,7.0,7.0,32.1%,SEA,7,2018
15,Robbie Gould,1,1,100.0,51,0,0,0,0,1,1,1,1,6.0,6.0,0.1%,FA,7,2018
16,Jake Elliott,1,2,50.0,46,0,0,0,1,0,2,2,1,6.0,6.0,93.5%,PHI,7,2018
17,Wil Lutz,1,1,100.0,39,0,0,1,0,0,3,3,1,6.0,6.0,10.3%,DEN,7,2018
18,Brett Maher,1,2,50.0,47,0,0,0,1,0,2,2,1,6.0,6.0,0.6%,FA,7,2018
19,Aldrick Rosas,2,2,100.0,36,0,0,2,0,0,0,0,1,6.0,6.0,0.0%,FA,7,2018
20,Justin Tucker,1,1,100.0,31,0,0,1,0,0,2,3,1,5.0,5.0,98.7%,BAL,7,2018
21,Phil Dawson,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,0.1%,FA,7,2018
22,Adam Vinatieri,1,1,100.0,36,0,0,1,0,0,2,4,1,5.0,5.0,0.2%,FA,7,2018
23,Randy Bullock,1,1,100.0,33,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,7,2018
24,Greg Joseph,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,3.7%,GB,7,2018
25,Stephen Hauschka,1,1,100.0,34,0,0,1,0,0,0,0,1,3.0,3.0,0.0%,FA,7,2018
26,Jason Sanders,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,46.2%,MIA,7,2018
27,Graham Gano,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,1.3%,NYG,7,2018
28,Josh Lambo,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,7,2018
29,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,7,2018
