Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Wil Lutz,3,3,100.0,42,0,1,0,2,0,6,6,1,17.0,17.0,10.3%,DEN,10,2018
2,Jason Sanders,4,4,100.0,47,0,1,1,2,0,0,0,1,14.0,14.0,46.2%,MIA,10,2018
3,Robbie Gould,3,3,100.0,53,0,0,2,0,1,2,2,1,13.0,13.0,0.1%,FA,10,2018
4,Stephen Hauschka,2,2,100.0,54,0,0,1,0,1,5,5,1,13.0,13.0,0.0%,FA,10,2018
5,Chris Boswell,1,1,100.0,50,0,0,0,0,1,7,7,1,12.0,12.0,17.2%,PIT,10,2018
6,Greg Zuerlein,3,3,100.0,37,0,1,2,0,0,3,3,1,12.0,12.0,43.8%,NYJ,10,2018
7,Dustin Hopkins,3,3,100.0,43,0,1,0,2,0,1,1,1,12.0,12.0,29.1%,CLE,10,2018
8,Jake Elliott,2,2,100.0,56,0,1,0,0,1,2,2,1,10.0,10.0,93.5%,PHI,10,2018
9,Harrison Butker,2,2,100.0,46,0,0,0,2,0,2,2,1,10.0,10.0,96.2%,KC,10,2018
10,Josh Lambo,2,3,66.7,55,0,1,0,0,1,2,3,1,10.0,10.0,0.1%,FA,10,2018
11,Ryan Succop,2,2,100.0,33,0,0,2,0,0,4,4,1,10.0,10.0,0.0%,FA,10,2018
12,Brett Maher,2,3,66.7,31,0,1,1,0,0,3,3,1,9.0,9.0,0.6%,FA,10,2018
13,Michael Badgley,2,2,100.0,41,0,1,0,1,0,2,2,1,9.0,9.0,19.0%,DET,10,2018
14,Aldrick Rosas,2,2,100.0,31,0,1,1,0,0,3,3,1,9.0,9.0,0.0%,FA,10,2018
15,Mason Crosby,1,1,100.0,38,0,0,1,0,0,4,4,1,7.0,7.0,0.1%,FA,10,2018
16,Daniel Carlson,2,2,100.0,46,0,0,1,1,0,0,0,1,7.0,7.0,24.2%,LV,10,2018
17,Sebastian Janikowski,1,1,100.0,33,0,0,1,0,0,4,4,1,7.0,7.0,20.0%,FA,10,2018
18,Matt Prater,1,1,100.0,52,0,0,0,0,1,1,1,1,6.0,6.0,1.7%,ARI,10,2018
19,Stephen Gostkowski,1,2,50.0,52,0,0,0,0,1,1,1,1,6.0,6.0,0.1%,FA,10,2018
20,Jason Myers,1,1,100.0,55,0,0,0,0,1,1,1,1,6.0,6.0,32.1%,SEA,10,2018
21,Giorgio Tavecchio,1,1,100.0,40,0,0,0,1,0,1,1,1,5.0,5.0,1.0%,FA,10,2018
22,Greg Joseph,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,3.7%,GB,10,2018
23,Chandler Catanzaro,1,3,33.3,33,0,0,1,0,0,0,0,1,3.0,3.0,0.0%,FA,10,2018
24,Adam Vinatieri,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.2%,FA,10,2018
25,Graham Gano,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.3%,NYG,10,2018
26,Cody Parkey,0,2,0.0,0,0,0,0,0,0,2,4,1,2.0,2.0,0.1%,FA,10,2018
27,Randy Bullock,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,10,2018
28,Phil Dawson,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,10,2018
29,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,10,2018
