Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Cody Parkey,2,2,100.0,45,0,1,0,1,0,5,5,1,12.0,12.0,0.1%,FA,9,2018
2,Greg Zuerlein,2,3,66.7,56,0,0,1,0,1,3,3,1,11.0,11.0,43.8%,NYJ,9,2018
3,Wil Lutz,1,1,100.0,54,0,0,0,0,1,6,6,1,11.0,11.0,10.3%,DEN,9,2018
4,Robbie Gould,2,2,100.0,39,0,1,1,0,0,4,4,1,10.0,10.0,0.1%,FA,9,2018
5,Justin Tucker,3,3,100.0,37,0,2,1,0,0,1,1,1,10.0,10.0,98.7%,BAL,9,2018
6,Jason Myers,2,3,66.7,56,0,0,0,1,1,0,0,1,9.0,9.0,32.1%,SEA,9,2018
7,Matt Prater,3,3,100.0,37,0,0,3,0,0,0,0,1,9.0,9.0,1.7%,ARI,9,2018
8,Ka'imi Fairbairn,2,2,100.0,46,0,0,1,1,0,1,2,1,8.0,8.0,47.4%,HOU,9,2018
9,Giorgio Tavecchio,1,1,100.0,27,0,1,0,0,0,5,5,1,8.0,8.0,1.0%,FA,9,2018
10,Jason Sanders,2,2,100.0,43,0,1,0,1,0,1,1,1,8.0,8.0,46.2%,MIA,9,2018
11,Harrison Butker,1,1,100.0,39,0,0,1,0,0,4,5,1,7.0,7.0,96.2%,KC,9,2018
12,Stephen Gostkowski,1,1,100.0,28,0,1,0,0,0,4,4,1,7.0,7.0,0.1%,FA,9,2018
13,Graham Gano,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,1.3%,NYG,9,2018
14,Brandon McManus,1,3,33.3,44,0,0,0,1,0,2,2,1,6.0,6.0,18.3%,FA,9,2018
15,Sebastian Janikowski,1,2,50.0,44,0,0,0,1,0,2,2,1,6.0,6.0,20.0%,FA,9,2018
16,Dan Bailey,1,1,100.0,39,0,0,1,0,0,3,3,1,6.0,6.0,0.0%,FA,9,2018
17,Chris Boswell,1,1,100.0,29,0,1,0,0,0,2,3,1,5.0,5.0,17.2%,PIT,9,2018
18,Greg Joseph,1,1,100.0,51,0,0,0,0,1,0,0,1,5.0,5.0,3.7%,GB,9,2018
19,Mason Crosby,1,1,100.0,29,0,1,0,0,0,2,2,1,5.0,5.0,0.1%,FA,9,2018
20,Chandler Catanzaro,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,FA,9,2018
21,Ryan Succop,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,FA,9,2018
22,Stephen Hauschka,1,1,100.0,41,0,0,0,1,0,0,0,1,4.0,4.0,0.0%,FA,9,2018
23,Daniel Carlson,1,2,50.0,37,0,0,1,0,0,0,0,1,3.0,3.0,24.2%,LV,9,2018
24,Brett Maher,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.6%,FA,9,2018
25,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,29.1%,CLE,9,2018
26,Caleb Sturgis,0,1,0.0,0,0,0,0,0,0,1,3,1,1.0,1.0,0.0%,FA,9,2018
27,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,9,2018
