Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ka'imi Fairbairn,5,5,100.0,53,0,0,1,3,1,2,2,1,22.0,22.0,47.4%,HOU,15,2018
2,Jake Elliott,3,4,75.0,51,0,0,1,1,1,3,3,1,15.0,15.0,93.5%,PHI,15,2018
3,Robbie Gould,4,4,100.0,45,0,1,2,1,0,2,2,1,15.0,15.0,0.1%,FA,15,2018
4,Daniel Carlson,3,3,100.0,50,0,1,0,1,1,1,1,1,13.0,13.0,24.2%,LV,15,2018
5,Adam Vinatieri,3,3,100.0,44,0,1,0,2,0,2,2,1,13.0,13.0,0.2%,FA,15,2018
6,Mason Crosby,3,3,100.0,45,0,0,0,3,0,0,0,1,12.0,12.0,0.1%,FA,15,2018
7,Brandon McManus,3,3,100.0,44,0,1,0,2,0,1,1,1,12.0,12.0,18.3%,FA,15,2018
8,Greg Zuerlein,3,3,100.0,41,0,0,2,1,0,2,2,1,12.0,12.0,43.8%,NYJ,15,2018
9,Randy Bullock,3,3,100.0,38,0,1,2,0,0,3,3,1,12.0,12.0,0.1%,FA,15,2018
10,Dustin Hopkins,3,3,100.0,46,0,0,2,1,0,1,1,1,11.0,11.0,29.1%,CLE,15,2018
11,Dan Bailey,2,2,100.0,36,0,0,2,0,0,5,5,1,11.0,11.0,0.0%,FA,15,2018
12,Matt Bryant,2,2,100.0,33,0,1,1,0,0,4,4,1,10.0,10.0,1.1%,FA,15,2018
13,Justin Tucker,2,2,100.0,35,0,1,1,0,0,2,2,1,8.0,8.0,98.7%,BAL,15,2018
14,Kai Forbath,2,2,100.0,41,0,0,1,1,0,1,1,1,8.0,8.0,3.0%,LAR,15,2018
15,Wil Lutz,2,2,100.0,46,0,1,0,1,0,0,0,1,7.0,7.0,10.3%,DEN,15,2018
16,Sebastian Janikowski,1,1,100.0,48,0,0,0,1,0,2,3,1,6.0,6.0,20.0%,FA,15,2018
17,Greg Joseph,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,6.0,3.7%,GB,15,2018
18,Chris Boswell,1,2,50.0,48,0,0,0,1,0,2,2,1,6.0,6.0,17.2%,PIT,15,2018
19,Cody Parkey,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,0.1%,FA,15,2018
20,Cairo Santos,2,2,100.0,28,0,2,0,0,0,0,0,1,6.0,6.0,26.6%,CHI,15,2018
21,Jason Sanders,1,1,100.0,25,0,1,0,0,0,2,2,1,5.0,5.0,46.2%,MIA,15,2018
22,Ryan Succop,1,2,50.0,22,0,1,0,0,0,2,2,1,5.0,5.0,0.0%,FA,15,2018
23,Stephen Gostkowski,1,1,100.0,33,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,15,2018
24,Harrison Butker,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,96.2%,KC,15,2018
25,Jason Myers,1,1,100.0,26,0,1,0,0,0,1,3,1,4.0,4.0,32.1%,SEA,15,2018
26,Michael Badgley,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,19.0%,DET,15,2018
27,Stephen Hauschka,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,15,2018
28,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,15,2018
29,Matt Prater,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.7%,ARI,15,2018
30,Chandler Catanzaro,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,15,2018
31,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,15,2018
32,Aldrick Rosas,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,15,2018
33,Brett Maher,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,FA,15,2018
