Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Tucker,4,4,100.0,44,0,1,2,1,0,2,2,1,15.0,15.0,98.7%,BAL,18,2018
2,Greg Zuerlein,2,2,100.0,51,0,1,0,0,1,6,6,1,14.0,14.0,43.8%,NYJ,18,2018
3,Zane Gonzalez,3,3,100.0,55,0,0,1,0,2,1,1,1,14.0,14.0,0.1%,FA,18,2018
4,Matt Prater,1,1,100.0,43,0,0,0,1,0,4,4,1,12.3,12.3,1.7%,ARI,18,2018
5,Matt Bryant,2,2,100.0,49,0,0,1,1,0,4,4,1,11.0,11.0,1.1%,FA,18,2018
6,Adam Vinatieri,2,2,100.0,53,0,1,0,0,1,3,4,1,11.0,11.0,0.2%,FA,18,2018
7,Chandler Catanzaro,2,2,100.0,51,0,1,0,0,1,3,4,1,11.0,11.0,0.0%,FA,18,2018
8,Matt McCrane,3,3,100.0,47,0,0,2,1,0,1,1,1,11.0,11.0,0.0%,FA,18,2018
9,Aldrick Rosas,2,2,100.0,48,0,0,1,1,0,3,3,1,10.0,10.0,0.0%,FA,18,2018
10,Sebastian Janikowski,2,2,100.0,42,0,0,1,1,0,3,3,1,10.0,10.0,20.0%,FA,18,2018
11,Cairo Santos,2,2,100.0,45,0,0,1,1,0,2,2,1,9.0,9.0,26.6%,CHI,18,2018
12,Ka'imi Fairbairn,2,2,100.0,24,0,2,0,0,0,2,2,1,8.0,8.0,47.4%,HOU,18,2018
13,Randy Bullock,2,2,100.0,49,0,0,1,1,0,1,1,1,8.0,8.0,0.1%,FA,18,2018
14,Stephen Gostkowski,1,1,100.0,38,0,0,1,0,0,5,5,1,8.0,8.0,0.1%,FA,18,2018
15,Greg Joseph,1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,6.0,3.7%,GB,18,2018
16,Stephen Hauschka,0,1,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,0.0%,FA,18,2018
17,Robbie Gould,1,1,100.0,30,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,18,2018
18,Jake Elliott,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,93.5%,PHI,18,2018
19,Ryan Succop,1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,18,2018
20,Harrison Butker,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,96.2%,KC,18,2018
21,Daniel Carlson,1,1,100.0,50,0,0,0,0,1,0,0,1,5.0,5.0,24.2%,LV,18,2018
22,Dan Bailey,1,1,100.0,45,0,0,0,1,0,1,1,1,5.0,5.0,0.0%,FA,18,2018
23,Jason Sanders,1,1,100.0,29,0,1,0,0,0,2,2,1,5.0,5.0,46.2%,MIA,18,2018
24,Cody Parkey,1,1,100.0,42,0,0,0,1,0,1,2,1,5.0,5.0,0.1%,FA,18,2018
25,Brett Maher,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.6%,FA,18,2018
26,Jason Myers,1,1,100.0,40,0,0,0,1,0,0,0,1,4.0,4.0,32.1%,SEA,18,2018
27,Brandon McManus,1,1,100.0,28,0,1,0,0,0,0,0,1,3.0,3.0,18.3%,FA,18,2018
28,Kai Forbath,1,1,100.0,25,0,1,0,0,0,0,0,1,3.0,3.0,3.0%,LAR,18,2018
29,Michael Badgley,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,19.0%,DET,18,2018
30,Wil Lutz,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,10.3%,DEN,18,2018
31,Mason Crosby,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,18,2018
32,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,18,2018
33,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,29.1%,CLE,18,2018
