Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Seattle Seahawks,11,2,1,2,1,0,0,1,30.0,30.0,22.4%,SEA,4,2023
2,Dallas Cowboys,2,2,1,1,2,0,0,1,27.0,27.0,92.7%,DAL,4,2023
3,Jacksonville Jaguars,4,2,1,1,1,0,0,1,20.0,20.0,50.2%,JAC,4,2023
4,Baltimore Ravens,4,3,0,0,0,0,0,1,17.0,17.0,86.2%,BAL,4,2023
5,Minnesota Vikings,5,0,1,2,1,0,0,1,17.0,17.0,10.9%,MIN,4,2023
6,Los Angeles Chargers,7,1,2,2,0,0,0,1,14.0,14.0,13.8%,LAC,4,2023
7,Tampa Bay Buccaneers,3,1,2,2,0,0,0,1,13.0,13.0,20.8%,TB,4,2023
8,Carolina Panthers,2,2,0,0,1,0,0,1,13.0,13.0,3.0%,CAR,4,2023
9,Denver Broncos,4,1,1,1,1,0,0,1,13.0,13.0,34.5%,DEN,4,2023
10,Tennessee Titans,3,0,1,1,0,0,0,1,12.0,12.0,3.5%,TEN,4,2023
11,Houston Texans,3,1,0,2,0,0,0,1,12.0,12.0,31.9%,HOU,4,2023
12,Detroit Lions,5,2,0,1,0,0,0,1,10.0,10.0,38.6%,DET,4,2023
13,Buffalo Bills,4,1,1,2,0,0,0,1,9.0,9.0,61.3%,BUF,4,2023
14,Washington Commanders,3,0,0,1,0,0,0,1,8.0,8.0,8.1%,WAS,4,2023
15,New York Jets,1,2,0,0,0,1,0,1,7.0,7.0,82.4%,NYJ,4,2023
16,Philadelphia Eagles,5,0,0,1,0,0,0,1,5.0,5.0,51.6%,PHI,4,2023
17,Cincinnati Bengals,3,1,0,1,0,0,0,1,5.0,5.0,50.0%,CIN,4,2023
18,Kansas City Chiefs,2,0,1,1,0,0,0,1,5.0,5.0,77.7%,KC,4,2023
19,Cleveland Browns,3,0,1,0,0,0,0,1,4.0,4.0,94.2%,CLE,4,2023
20,Las Vegas Raiders,2,1,0,0,0,0,0,1,4.0,4.0,24.5%,LV,4,2023
21,Los Angeles Rams,2,0,1,1,0,0,0,1,4.0,4.0,21.2%,LAR,4,2023
22,Indianapolis Colts,2,1,0,1,0,0,0,1,3.0,3.0,26.4%,IND,4,2023
23,Green Bay Packers,2,1,0,0,0,0,0,1,3.0,3.0,26.4%,GB,4,2023
24,Atlanta Falcons,2,0,0,1,0,0,0,1,3.0,3.0,16.7%,ATL,4,2023
25,New England Patriots,3,0,0,2,0,0,0,1,3.0,3.0,13.6%,NE,4,2023
26,New Orleans Saints,1,1,0,0,0,0,0,1,3.0,3.0,64.0%,NO,4,2023
27,New York Giants,2,0,0,0,0,0,0,1,3.0,3.0,2.4%,NYG,4,2023
28,San Francisco 49ers,1,0,0,0,0,0,0,1,2.0,2.0,97.8%,SF,4,2023
29,Chicago Bears,1,0,0,0,0,0,0,1,1.0,1.0,33.9%,CHI,4,2023
30,Pittsburgh Steelers,0,0,0,1,0,0,0,1,-1.0,-1.0,75.9%,PIT,4,2023
31,Miami Dolphins,2,0,0,0,0,0,0,1,-2.0,-2.0,69.9%,MIA,4,2023
32,Arizona Cardinals,1,0,0,0,0,0,0,1,-3.0,-3.0,0.8%,ARI,4,2023
