Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,4,0,2,3,1,0,0,1,21.0,21.0,64.0%,NO,14,2023
2,Minnesota Vikings,4,1,2,1,0,0,0,1,20.0,20.0,10.9%,MIN,14,2023
3,Chicago Bears,4,2,1,1,0,0,0,1,14.0,14.0,33.9%,CHI,14,2023
4,Denver Broncos,6,1,1,2,0,0,0,1,14.0,14.0,34.5%,DEN,14,2023
5,Cleveland Browns,4,3,1,1,0,0,0,1,12.0,12.0,94.2%,CLE,14,2023
6,Las Vegas Raiders,5,0,0,0,0,0,0,1,12.0,12.0,24.5%,LV,14,2023
7,New York Jets,5,0,0,0,0,0,0,1,12.0,12.0,82.4%,NYJ,14,2023
8,Miami Dolphins,1,1,2,1,1,0,0,1,12.0,12.0,69.9%,MIA,14,2023
9,Cincinnati Bengals,3,1,1,0,0,0,0,1,11.0,11.0,50.0%,CIN,14,2023
10,Dallas Cowboys,1,0,3,3,0,0,0,1,11.0,11.0,92.7%,DAL,14,2023
11,Philadelphia Eagles,3,0,1,1,1,0,0,1,10.0,10.0,51.6%,PHI,14,2023
12,San Francisco 49ers,4,2,0,0,0,0,0,1,9.0,9.0,97.8%,SF,14,2023
13,Tennessee Titans,5,0,1,1,0,0,0,1,9.0,9.0,3.5%,TEN,14,2023
14,New York Giants,2,1,2,1,0,0,0,1,8.0,8.0,2.4%,NYG,14,2023
15,Baltimore Ravens,2,0,0,0,0,0,1,1,7.0,7.0,86.2%,BAL,14,2023
16,Indianapolis Colts,0,1,0,0,1,0,0,1,7.0,7.0,26.4%,IND,14,2023
17,Tampa Bay Buccaneers,3,1,0,2,0,1,0,1,7.0,7.0,20.8%,TB,14,2023
18,Seattle Seahawks,3,1,1,1,0,0,0,1,6.0,6.0,22.4%,SEA,14,2023
19,Jacksonville Jaguars,1,1,2,2,0,0,0,1,6.0,6.0,50.2%,JAC,14,2023
20,Buffalo Bills,1,1,1,1,0,0,0,1,6.0,6.0,61.3%,BUF,14,2023
21,Kansas City Chiefs,3,1,0,0,0,0,0,1,6.0,6.0,77.7%,KC,14,2023
22,New England Patriots,2,1,0,0,0,0,0,1,5.0,5.0,13.6%,NE,14,2023
23,Houston Texans,4,0,1,1,0,0,0,1,5.0,5.0,31.9%,HOU,14,2023
24,Green Bay Packers,0,0,2,0,0,0,0,1,4.0,4.0,26.4%,GB,14,2023
25,Detroit Lions,3,0,0,0,0,0,0,1,4.0,4.0,38.6%,DET,14,2023
26,Pittsburgh Steelers,2,1,0,0,0,0,0,1,4.0,4.0,75.9%,PIT,14,2023
27,Los Angeles Chargers,2,1,0,0,0,0,0,1,4.0,4.0,13.8%,LAC,14,2023
28,Carolina Panthers,1,1,0,0,0,0,0,1,3.0,3.0,3.0%,CAR,14,2023
29,Los Angeles Rams,2,1,0,0,0,1,0,1,2.0,2.0,21.2%,LAR,14,2023
30,Arizona Cardinals,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,ARI,14,2023
31,Atlanta Falcons,1,0,0,1,0,0,0,1,0.0,0.0,16.7%,ATL,14,2023
32,Washington Commanders,0,0,0,0,0,0,0,0,0.0,0.0,8.1%,WAS,14,2023
