Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Alex Highsmith,5,2,1.0,1,1,1,0,1,1,32.0,32.0,25.8%,PIT,2,2023
2,Micah Parsons,4,0,2.0,1,0,1,1,0,1,31.0,31.0,77.6%,DAL,2,2023
3,Frankie Luvu,4,5,2.0,0,0,0,0,0,1,25.3,25.3,44.5%,WAS,2,2023
4,T.J. Watt,2,2,1.0,1,0,0,1,1,1,25.0,25.0,78.7%,PIT,2,2023
5,Robert Spillane,8,6,1.0,0,0,0,0,0,1,23.0,23.0,33.6%,LV,2,2023
6,Fred Warner,9,2,1.0,1,0,0,0,0,1,23.0,23.0,90.1%,SF,2,2023
7,Bradley Chubb,5,2,1.0,0,0,1,0,0,1,22.0,22.0,18.1%,MIA,2,2023
8,Kenneth Murray Jr.,5,5,1.0,0,0,0,0,0,1,20.3,20.3,14.8%,TEN,2,2023
9,Quay Walker,8,9,0.0,1,0,0,0,0,1,20.3,20.3,37.0%,GB,2,2023
10,Shaquil Barrett,2,0,1.0,1,1,0,0,1,1,19.5,19.5,8.3%,MIA,2,2023
11,Joe Tryon-Shoyinka,4,0,2.0,0,0,0,0,0,1,19.0,19.0,2.7%,TB,2,2023
12,Divine Deablo,6,4,1.0,0,0,0,0,0,1,18.5,18.5,13.2%,LV,2,2023
13,Zaire Franklin,8,5,0.0,0,0,0,0,0,1,18.3,18.3,91.7%,IND,2,2023
14,E.J. Speed,6,0,1.0,0,0,0,0,0,1,18.0,18.0,39.2%,IND,2,2023
15,Tremaine Edmunds,8,7,0.0,0,0,0,0,0,1,17.3,17.3,33.2%,CHI,2,2023
16,Jordan Hicks,8,3,0.0,0,0,0,0,0,1,16.8,16.8,29.8%,CLE,2,2023
17,Foyesade Oluokun,6,4,0.0,0,0,0,1,0,1,16.0,16.0,94.0%,JAC,2,2023
18,De'Vondre Campbell,7,7,0.0,0,0,0,0,0,1,15.8,15.8,20.5%,SF,2,2023
19,Alex Anzalone,5,2,1.0,0,0,0,0,0,1,15.5,15.5,31.4%,DET,2,2023
20,Kaden Elliss,6,0,1.0,0,0,0,0,0,1,15.5,15.5,15.6%,ATL,2,2023
21,Kyzir White,5,2,1.0,0,0,0,0,0,1,15.5,15.5,22.2%,ARI,2,2023
22,Kwon Alexander,8,1,0.0,0,0,0,0,0,1,15.3,15.3,1.0%,FA,2,2023
23,Logan Wilson,7,3,0.0,0,0,0,0,0,1,15.3,15.3,63.3%,CIN,2,2023
24,Dre Greenlaw,7,4,0.0,1,0,0,0,0,1,15.0,15.0,37.6%,SF,2,2023
25,Devin Lloyd,5,6,0.0,2,0,0,0,0,1,15.0,15.0,24.8%,JAC,2,2023
26,Matthew Judon,4,0,1.0,0,0,0,0,0,1,15.0,15.0,17.4%,NE,2,2023
27,Dennis Gardeck,4,0,1.0,0,0,0,0,0,1,15.0,15.0,3.5%,ARI,2,2023
28,Demario Davis,4,3,1.0,0,0,0,0,0,1,14.8,14.8,22.0%,NO,2,2023
29,Kamu Grugier-Hill,5,1,1.0,0,0,0,0,0,1,14.8,14.8,7.0%,MIN,2,2023
30,Cole Holcomb,3,5,0.0,0,0,1,0,0,1,14.8,14.8,9.1%,PIT,2,2023
