Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Frank Clark,3,1,2.5,0,0,2,0,0,1,23.3,23.3,0.0%,FA,6,2018
2,Yannick Ngakoue,4,0,2.0,0,0,0,0,0,1,21.5,21.5,1.8%,FA,6,2018
3,Danielle Hunter,3,2,2.0,0,0,0,0,0,1,19.0,19.0,52.9%,HOU,6,2018
4,Corey Peters,2,3,2.0,0,0,0,0,0,1,18.3,18.3,2.0%,FA,6,2018
5,Jarran Reed,5,0,1.0,0,0,0,1,0,1,18.0,18.0,5.8%,SEA,6,2018
6,Michael Bennett,4,2,1.0,0,0,1,0,0,1,18.0,18.0,0.0%,FA,6,2018
7,Kyle Williams,1,2,2.0,0,0,1,0,0,1,17.5,17.5,3.7%,FA,6,2018
8,Kenny Clark,6,1,1.0,0,0,0,0,0,1,16.3,16.3,9.2%,GB,6,2018
9,Calais Campbell,4,2,1.0,0,0,0,0,0,1,14.0,14.0,2.9%,MIA,6,2018
10,Randy Gregory,3,0,1.0,0,0,0,0,0,1,13.5,13.5,2.3%,TB,6,2018
11,Ronald Blair III,2,2,1.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,6,2018
12,Jerry Hughes,1,2,1.5,0,0,1,0,0,1,13.0,13.0,1.0%,FA,6,2018
13,Akiem Hicks,4,4,0.0,0,0,1,0,0,1,13.0,13.0,0.0%,FA,6,2018
14,Mario Addison,4,0,1.0,0,0,0,0,0,1,12.5,12.5,4.0%,FA,6,2018
15,Arden Key,4,0,1.0,0,0,0,0,0,1,12.5,12.5,2.5%,TEN,6,2018
16,Damion Square,2,1,1.5,0,0,0,0,0,1,12.3,12.3,0.0%,FA,6,2018
17,Corey Liuget,2,1,1.5,0,0,0,0,0,1,12.3,12.3,0.0%,FA,6,2018
18,Javon Hargrave,2,3,1.0,0,0,0,0,0,1,11.8,11.8,14.8%,SF,6,2018
19,Breeland Speaks,1,5,0.5,0,0,1,0,0,1,11.3,11.3,0.0%,FA,6,2018
20,Julius Peppers,2,0,1.0,0,0,1,0,0,1,11.0,11.0,0.1%,FA,6,2018
21,Jabaal Sheard,3,0,1.0,0,0,0,0,0,1,11.0,11.0,0.0%,FA,6,2018
22,Branden Jackson,3,0,1.0,0,0,0,0,0,1,11.0,11.0,0.0%,FA,6,2018
23,Stephon Tuitt,1,4,1.0,0,0,0,0,0,1,11.0,11.0,0.1%,FA,6,2018
24,J.J. Watt,3,0,1.0,0,0,0,0,0,1,11.0,11.0,4.2%,FA,6,2018
25,Jonathan Woodard,3,0,1.0,0,0,0,0,0,1,11.0,11.0,4.0%,FA,6,2018
26,Quinton Jefferson,2,1,0.5,0,0,0,0,0,1,10.8,10.8,3.4%,CLE,6,2018
27,Aaron Donald,2,1,1.0,0,0,0,0,0,1,10.3,10.3,11.6%,FA,6,2018
28,Chris Jones,1,1,1.0,0,0,1,0,0,1,10.3,10.3,25.6%,KC,6,2018
29,Damon Harrison Sr.,3,2,0.0,0,0,1,0,0,1,10.0,10.0,0.0%,FA,6,2018
30,Kerry Wynn,4,2,0.0,0,0,0,0,0,1,10.0,10.0,0.0%,FA,6,2018
31,Jason Pierre-Paul,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,6,2018
32,Shaq Lawson,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,6,2018
33,Olivier Vernon,2,0,1.0,0,0,0,0,0,1,9.5,9.5,6.0%,FA,6,2018
34,Jihad Ward,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.2%,MIN,6,2018
35,Trey Flowers,2,5,0.0,0,0,0,0,0,1,9.3,9.3,0.2%,FA,6,2018
36,Jurrell Casey,5,2,0.0,0,0,0,0,0,1,9.0,9.0,0.1%,FA,6,2018
37,Trent Murphy,1,2,0.5,0,0,1,0,0,1,9.0,9.0,0.0%,FA,6,2018
38,Al-Quadin Muhammad,1,1,0.0,0,0,0,1,0,1,8.8,8.8,0.0%,FA,6,2018
39,DeForest Buckner,1,1,1.0,0,0,0,0,0,1,8.8,8.8,47.6%,IND,6,2018
40,Vincent Taylor,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,6,2018
41,Isaac Rochell,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,6,2018
42,Jack Crawford,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,6,2018
43,Sheldon Day,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,6,2018
44,Chris Wormley,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,6,2018
45,Maliek Collins,1,0,1.0,0,0,0,0,0,1,8.0,8.0,2.3%,SF,6,2018
46,Harrison Phillips,1,0,0.0,0,0,0,1,0,1,8.0,8.0,23.6%,MIN,6,2018
47,Destiny Vaeao,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,6,2018
48,Shamar Stephen,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,6,2018
49,Allen Bailey,2,1,0.0,0,0,0,1,0,1,7.8,7.8,0.0%,FA,6,2018
50,Haason Reddick,1,6,0.0,1,0,0,0,0,1,7.5,7.5,17.4%,NYJ,6,2018
51,Fadol Brown,5,0,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,6,2018
52,Larry Ogunjobi,3,1,0.5,0,0,0,0,0,1,7.3,7.3,2.3%,PIT,6,2018
53,DaQuan Jones,2,0,0.0,1,0,0,0,0,1,7.0,7.0,0.8%,BUF,6,2018
54,Vinny Curry,3,0,0.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,6,2018
55,Michael Brockers,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,6,2018
56,Domata Peko Sr.,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,6,2018
57,Fletcher Cox,0,0,1.0,0,0,0,0,0,1,6.5,6.5,1.1%,FA,6,2018
58,Eddie Yarbrough,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.0%,FA,6,2018
59,Al Woods,1,3,0.0,0,0,0,0,0,1,6.3,6.3,0.0%,FA,6,2018
60,Eddie Goldman,1,1,0.0,0,0,0,1,0,1,6.3,6.3,0.2%,ATL,6,2018
61,Malik Jackson,4,0,0.0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,6,2018
62,Trevon Coley,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,6,2018
63,Jordan Phillips,2,0,0.0,0,0,0,0,0,1,5.5,5.5,1.3%,NYG,6,2018
64,Steve McLendon,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,6,2018
65,DJ Reader,1,2,0.0,0,0,0,0,0,1,5.5,5.5,2.1%,DET,6,2018
66,Brooks Reed,1,0,1.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,6,2018
67,Andre Branch,1,2,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,6,2018
