Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,J.J. Watt,4,4,3.0,0,0,1,0,0,1,32.5,32.5,4.2%,FA,3,2018
2,Justin Houston,4,0,2.0,0,0,2,0,0,1,27.0,27.0,0.0%,FA,3,2018
3,Margus Hunt,4,0,1.0,0,0,1,1,0,1,25.5,25.5,0.0%,FA,3,2018
4,Jason Pierre-Paul,5,0,2.0,0,0,1,0,0,1,24.5,24.5,0.0%,FA,3,2018
5,Calais Campbell,5,0,2.0,0,0,0,0,0,1,23.0,23.0,2.9%,MIA,3,2018
6,Cameron Jordan,4,1,2.0,1,0,0,0,0,1,21.3,21.3,5.8%,NO,3,2018
7,Brandon Mebane,6,0,1.0,1,0,1,0,0,1,21.0,21.0,0.0%,FA,3,2018
8,Carlos Dunlap II,4,2,1.0,1,0,1,0,0,1,19.5,19.5,3.0%,FA,3,2018
9,Jonathan Allen,3,2,2.0,0,0,0,0,0,1,19.0,19.0,14.9%,WAS,3,2018
10,Myles Garrett,3,0,2.0,1,0,0,0,0,1,19.0,19.0,63.8%,CLE,3,2018
11,Jarran Reed,3,0,2.0,0,0,0,0,0,1,17.5,17.5,5.8%,SEA,3,2018
12,Derek Barnett,3,2,1.5,0,0,0,0,0,1,17.0,17.0,0.4%,HOU,3,2018
13,Vincent Taylor,3,4,1.0,0,0,0,0,0,1,16.5,16.5,0.0%,FA,3,2018
14,Danielle Hunter,5,0,1.0,0,0,0,0,0,1,16.5,16.5,52.9%,HOU,3,2018
15,Ndamukong Suh,2,1,1.0,1,0,0,1,0,1,15.8,15.8,0.0%,FA,3,2018
16,Stephen Weatherly,5,2,1.0,0,0,0,0,0,1,15.5,15.5,0.0%,FA,3,2018
17,Trent Murphy,2,0,1.0,1,0,1,0,0,1,15.0,15.0,0.0%,FA,3,2018
18,Kerry Wynn,4,1,0.0,1,0,1,0,0,1,14.8,14.8,0.0%,FA,3,2018
19,Efe Obada,1,0,1.0,1,1,0,0,0,1,14.5,14.5,0.0%,WAS,3,2018
20,Allen Bailey,3,1,1.0,0,0,0,0,0,1,14.3,14.3,0.0%,FA,3,2018
21,Larry Ogunjobi,4,4,0.0,0,0,0,0,0,1,14.0,14.0,2.3%,PIT,3,2018
22,Daron Payne,4,1,1.0,0,0,0,0,0,1,13.3,13.3,15.4%,WAS,3,2018
23,Akiem Hicks,3,1,1.0,0,0,1,0,0,1,13.3,13.3,0.0%,FA,3,2018
24,Kenny Clark,6,3,0.0,1,0,0,0,0,1,12.8,12.8,9.2%,GB,3,2018
25,Jurrell Casey,3,0,1.0,0,0,1,0,0,1,12.5,12.5,0.1%,FA,3,2018
26,William Hayes,2,0,1.0,0,0,0,0,0,1,12.0,12.0,2.0%,FA,3,2018
27,Chris Smith,3,0,0.0,0,0,0,0,0,1,12.0,12.0,0.0%,FA,3,2018
