Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Chubb,17,87,5.1,22,1,3,3,3,26,8.7,0,0,1,32.3,32.3,55.6%,CLE,2,2022
2,Aaron Jones,15,132,8.8,36,2,1,3,3,38,12.7,1,0,1,32.0,32.0,93.3%,MIN,2,2022
3,Tony Pollard,9,43,4.8,17,0,1,4,7,55,13.8,0,0,1,19.8,19.8,93.4%,TEN,2,2022
4,Austin Ekeler,14,39,2.8,8,0,0,9,10,55,6.1,0,0,1,18.4,18.4,93.1%,WAS,2,2022
5,Christian McCaffrey,15,102,6.8,49,3,0,4,5,26,6.5,0,0,1,16.8,16.8,100.0%,SF,2,2022
6,D'Andre Swift,5,56,11.2,50,4,0,2,5,31,15.5,1,0,1,16.7,16.7,93.8%,CHI,2,2022
7,Damien Harris,15,71,4.7,16,0,1,2,2,16,8.0,0,0,1,16.7,16.7,4.6%,FA,2,2022
8,James Robinson,23,64,2.8,37,2,1,2,2,14,7.0,0,0,1,15.8,15.8,0.1%,NO,2,2022
9,Clyde Edwards-Helaire,8,74,9.3,52,4,0,4,4,44,11.0,0,0,1,15.8,15.8,23.7%,KC,2,2022
10,David Montgomery,15,122,8.1,28,1,0,2,2,14,7.0,0,0,1,15.6,15.6,93.2%,DET,2,2022
11,Darrel Williams,8,59,7.4,30,2,1,2,3,3,1.5,0,0,1,14.2,14.2,0.0%,FA,2,2022
12,Najee Harris,15,49,3.3,8,0,0,5,6,40,8.0,0,0,1,13.9,13.9,91.4%,PIT,2,2022
13,J.D. McKissic,3,9,3.0,4,0,0,7,7,54,7.7,0,0,1,13.3,13.3,0.0%,FA,2,2022
14,Breece Hall,7,50,7.1,23,1,0,1,1,10,10.0,1,0,1,13.0,13.0,98.9%,NYJ,2,2022
15,Jeff Wilson Jr.,18,84,4.7,16,0,0,2,2,19,9.5,0,0,1,12.3,12.3,6.8%,MIA,2,2022
