Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Saquon Barkley,18,164,9.1,68,6,1,6,7,30,5.0,0,0,1,33.4,33.4,100.0%,PHI,1,2022
2,Jonathan Taylor,31,161,5.2,17,0,1,4,7,14,3.5,0,0,1,27.5,27.5,98.8%,IND,1,2022
3,D'Andre Swift,15,144,9.6,50,4,1,3,3,31,10.3,0,0,1,26.5,26.5,93.8%,CHI,1,2022
4,Kareem Hunt,11,46,4.2,24,1,1,4,4,24,6.0,1,0,1,23.0,23.0,27.3%,FA,1,2022
5,Cordarrelle Patterson,22,120,5.5,15,0,1,3,5,16,5.3,0,0,1,22.6,22.6,1.4%,PIT,1,2022
6,Clyde Edwards-Helaire,7,42,6.0,18,0,0,3,3,32,10.7,2,0,1,22.4,22.4,23.7%,KC,1,2022
7,Dontrell Hilliard,2,8,4.0,5,0,0,3,4,61,20.3,2,0,1,21.9,21.9,0.0%,FA,1,2022
8,Joe Mixon,27,82,3.0,31,2,0,7,9,63,9.0,0,0,1,21.5,21.5,99.1%,HOU,1,2022
9,AJ Dillon,10,45,4.5,14,0,1,5,6,46,9.2,0,0,1,20.1,20.1,35.2%,GB,1,2022
10,Antonio Gibson,14,58,4.1,13,0,0,7,8,72,10.3,0,0,1,20.0,20.0,53.3%,NE,1,2022
11,James Robinson,11,66,6.0,22,1,1,1,2,3,3.0,1,0,1,19.9,19.9,0.1%,NO,1,2022
12,Javonte Williams,7,43,6.1,13,0,0,11,12,65,5.9,0,1,1,19.8,19.8,89.1%,DEN,1,2022
13,Miles Sanders,13,96,7.4,24,2,1,2,2,9,4.5,0,0,1,18.5,18.5,23.3%,CAR,1,2022
14,Michael Carter,10,60,6.0,22,1,0,7,9,40,5.7,0,0,1,17.0,17.0,1.3%,ARI,1,2022
15,James Conner,10,26,2.6,8,0,1,5,6,29,5.8,0,0,1,16.5,16.5,91.7%,ARI,1,2022
16,Jamaal Williams,11,28,2.5,7,0,2,1,2,2,2.0,0,0,1,16.0,16.0,10.3%,NO,1,2022
17,Leonard Fournette,21,127,6.0,17,0,0,2,2,10,5.0,0,0,1,15.7,15.7,2.1%,FA,1,2022
18,Christian McCaffrey,10,33,3.3,9,0,1,4,5,24,6.0,0,0,1,15.7,15.7,100.0%,SF,1,2022
19,Nick Chubb,22,141,6.4,25,2,0,1,1,2,2.0,0,0,1,15.3,15.3,55.6%,CLE,1,2022
20,Dalvin Cook,20,90,4.5,16,0,0,3,5,18,6.0,0,0,1,13.8,13.8,9.5%,FA,1,2022
21,Darrell Henderson Jr.,13,47,3.6,18,0,0,5,5,26,5.2,0,0,1,12.3,12.3,5.0%,FA,1,2022
22,Isiah Pacheco,12,62,5.2,22,1,1,0,0,0,0.0,0,0,1,12.2,12.2,97.8%,KC,1,2022
23,Rex Burkhead,14,40,2.9,8,0,0,5,8,30,6.0,0,0,1,12.0,12.0,10.0%,FA,1,2022
24,Nyheim Hines,3,4,1.3,3,0,0,6,6,50,8.3,0,0,1,11.4,11.4,0.5%,CLE,1,2022
25,Khalil Herbert,9,45,5.0,12,0,1,1,1,-2,-2.0,0,0,1,11.3,11.3,29.6%,CHI,1,2022
26,Austin Ekeler,14,36,2.6,8,0,0,4,4,36,9.0,0,0,1,11.2,11.2,93.1%,WAS,1,2022
27,Kenneth Gainwell,5,20,4.0,7,0,1,2,4,12,6.0,0,0,1,11.2,11.2,14.8%,PHI,1,2022
28,Brandon Bolden,3,7,2.3,5,0,0,2,2,21,10.5,1,0,1,10.8,10.8,0.0%,FA,1,2022
29,Najee Harris,10,23,2.3,11,0,0,2,2,3,1.5,1,0,1,10.6,10.6,91.4%,PIT,1,2022
30,Aaron Jones,5,49,9.8,29,1,0,3,5,27,9.0,0,0,1,10.6,10.6,93.3%,MIN,1,2022
31,Chase Edmonds,12,25,2.1,7,0,0,4,4,40,10.0,0,0,1,10.5,10.5,0.8%,TB,1,2022
32,Ty Montgomery II,2,-2,-1.0,0,0,0,3,4,15,5.0,1,0,1,10.3,10.3,0.0%,FA,1,2022
33,Breece Hall,6,23,3.8,14,0,0,6,9,38,6.3,0,1,1,10.1,10.1,98.9%,NYJ,1,2022
34,Eno Benjamin,4,28,7.0,16,0,0,3,4,33,11.0,0,0,1,9.1,9.1,0.0%,FA,1,2022
35,Zander Horvath,1,2,2.0,2,0,0,2,2,6,3.0,1,0,1,8.8,8.8,0.0%,NO,1,2022
36,Rashaad Penny,12,60,5.0,26,1,0,2,3,7,3.5,0,0,1,8.7,8.7,4.1%,CAR,1,2022
37,Travis Etienne Jr.,4,47,11.8,27,1,0,2,4,18,9.0,0,0,1,8.5,8.5,99.7%,JAC,1,2022
38,Josh Jacobs,10,57,5.7,18,0,0,1,1,16,16.0,0,0,1,8.3,8.3,97.3%,GB,1,2022
39,Devin Singletary,8,48,6.0,13,0,0,2,2,14,7.0,0,0,1,8.2,8.2,83.7%,NYG,1,2022
40,Derrick Henry,21,82,3.9,18,0,0,0,1,0,0.0,0,0,1,8.2,8.2,99.3%,BAL,1,2022
41,David Montgomery,17,26,1.5,6,0,0,3,4,24,8.0,0,0,1,8.0,8.0,93.2%,DET,1,2022
42,Jerick McKinnon,4,22,5.5,18,0,0,3,4,27,9.0,0,0,1,7.9,7.9,16.2%,FA,1,2022
43,Damien Harris,9,48,5.3,12,0,0,2,3,10,5.0,0,0,1,7.8,7.8,4.6%,FA,1,2022
44,J.D. McKissic,3,8,2.7,5,0,0,3,3,20,6.7,0,0,1,7.8,7.8,0.0%,FA,1,2022
45,Zack Moss,6,15,2.5,8,0,0,6,6,21,3.5,0,1,1,7.6,7.6,75.1%,CIN,1,2022
46,Alvin Kamara,9,39,4.3,15,0,0,3,4,7,2.3,0,0,1,7.6,7.6,98.2%,NO,1,2022
47,Melvin Gordon III,12,58,4.8,13,0,0,2,2,14,7.0,0,1,1,7.2,7.2,0.0%,FA,1,2022
48,Boston Scott,4,10,2.5,8,0,1,0,0,0,0.0,0,0,1,7.0,7.0,0.1%,LAR,1,2022
49,Samaje Perine,1,4,4.0,4,0,0,3,5,33,11.0,0,0,1,6.7,6.7,12.7%,DEN,1,2022
50,Ezekiel Elliott,10,52,5.2,7,0,0,1,2,-3,-3.0,0,0,1,5.9,5.9,78.1%,DAL,1,2022
51,Kenyan Drake,11,31,2.8,8,0,0,1,1,15,15.0,0,0,1,5.6,5.6,0.0%,FA,1,2022
52,Joshua Kelley,4,21,5.3,12,0,0,2,2,14,7.0,0,0,1,5.5,5.5,6.6%,FA,1,2022
53,Jeff Wilson Jr.,9,22,2.4,5,0,0,2,2,8,4.0,0,0,1,5.0,5.0,6.8%,MIA,1,2022
54,Dameon Pierce,11,33,3.0,8,0,0,1,1,6,6.0,0,0,1,4.9,4.9,28.0%,HOU,1,2022
55,Rhamondre Stevenson,8,25,3.1,12,0,0,2,2,2,1.0,0,0,1,4.7,4.7,84.5%,NE,1,2022
56,Tony Pollard,6,8,1.3,9,0,0,2,2,14,7.0,0,0,1,4.2,4.2,93.4%,TEN,1,2022
57,Raheem Mostert,5,16,3.2,11,0,0,1,1,16,16.0,0,0,1,4.2,4.2,91.5%,MIA,1,2022
58,Elijah Mitchell,6,41,6.8,16,0,0,0,0,0,0.0,0,0,1,4.1,4.1,8.9%,SF,1,2022
59,Rachaad White,6,14,2.3,5,0,0,2,2,7,3.5,0,0,1,4.1,4.1,97.5%,TB,1,2022
60,Alexander Mattison,8,36,4.5,10,0,0,0,0,0,0.0,0,0,1,3.6,3.6,41.3%,LV,1,2022
61,Justice Hill,2,4,2.0,3,0,0,2,2,7,3.5,0,0,1,3.1,3.1,10.1%,BAL,1,2022
62,Matt Breida,5,24,4.8,9,0,0,0,0,0,0.0,0,0,1,2.4,2.4,1.1%,FA,1,2022
63,Alec Ingold,1,2,2.0,2,0,0,1,2,8,8.0,0,0,1,2.0,2.0,0.2%,MIA,1,2022
64,Patrick Ricard,0,0,0.0,0,0,0,1,1,7,7.0,0,0,1,1.7,1.7,0.1%,BAL,1,2022
65,C.J. Ham,0,0,0.0,0,0,0,1,1,6,6.0,0,0,1,1.6,1.6,0.1%,MIN,1,2022
66,Mark Ingram II,4,22,5.5,7,0,0,1,1,1,1.0,0,1,1,1.3,1.3,0.1%,FA,1,2022
67,Sony Michel,7,12,1.7,6,0,0,0,0,0,0.0,0,0,1,1.2,1.2,0.0%,FA,1,2022
68,Mike Boone,0,0,0.0,0,0,0,1,1,2,2.0,0,0,1,1.2,1.2,0.0%,CAR,1,2022
69,Mike Davis,2,11,5.5,10,0,0,0,0,0,0.0,0,0,1,1.1,1.1,1.0%,FA,1,2022
70,Jacob Johnson,0,0,0.0,0,0,0,1,1,1,1.0,0,0,1,1.1,1.1,0.0%,FA,1,2022
71,Jaylen Warren,3,7,2.3,3,0,0,0,1,0,0.0,0,0,1,0.7,0.7,84.7%,PIT,1,2022
72,D'Onta Foreman,2,5,2.5,4,0,0,0,0,0,0.0,0,0,1,0.5,0.5,19.4%,CLE,1,2022
73,Chuba Hubbard,1,3,3.0,3,0,0,0,0,0,0.0,0,0,1,0.3,0.3,51.0%,CAR,1,2022
74,Damien Williams,2,2,1.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,FA,1,2022
75,Travis Homer,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.1%,CHI,1,2022
76,Cam Akers,3,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,9.2%,FA,1,2022
77,Rico Dowdle,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,10.6%,DAL,1,2022
78,DeeJay Dallas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,ARI,1,2022
79,Benny Snell Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
80,Andrew Beck,0,0,0.0,0,0,0,2,3,52,26.0,0,0,1,0.0,0.0,0.1%,HOU,1,2022
81,D'Ernest Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,2.7%,JAC,1,2022
82,Chris Myarick,0,0,0.0,0,0,0,1,1,1,1.0,1,0,1,0.0,0.0,0.0%,FA,1,2022
83,Jonathan Ward,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,PIT,1,2022
84,Demetric Felton Jr.,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
85,Jermar Jefferson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,DET,1,2022
86,Troy Hairston II,0,0,0.0,0,0,0,1,1,5,5.0,0,0,1,0.0,0.0,0.0%,HOU,1,2022
87,Jordan Mason,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,2.3%,SF,1,2022
88,Jerome Ford,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,79.9%,CLE,1,2022
89,Trestan Ebner,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
90,Gary Brightwell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,FA,1,2022
91,Avery Williams,2,7,3.5,5,0,0,1,1,8,8.0,0,0,1,0.0,0.0,0.1%,ATL,1,2022
92,Kene Nwangwu,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.2%,MIN,1,2022
93,Taiwan Jones,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
94,Kyle Juszczyk,0,0,0.0,0,0,0,0,2,0,0.0,0,0,1,0.0,0.0,1.0%,SF,1,2022
95,Qadree Ollison,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
96,Trenton Cannon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
97,Jonathan Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2022
98,Ameer Abdullah,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.7%,LV,1,2022
99,Michael Burton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,DEN,1,2022
100,James Cook,1,2,2.0,2,0,0,0,0,0,0.0,0,1,1,-1.8,-1.8,97.8%,BUF,1,2022
