Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Joe Mixon,22,153,7.0,29,2,4,4,5,58,14.5,1,0,1,55.1,55.1,99.1%,HOU,9,2022
2,Kenneth Walker III,26,109,4.2,15,0,2,3,4,20,6.7,0,0,1,27.9,27.9,97.1%,SEA,9,2022
3,Travis Etienne Jr.,28,109,3.9,18,0,2,2,2,17,8.5,0,0,1,26.6,26.6,99.7%,JAC,9,2022
4,Kenyan Drake,24,93,3.9,18,0,2,2,2,16,8.0,0,0,1,24.9,24.9,0.0%,FA,9,2022
5,Austin Ekeler,14,47,3.4,9,0,1,7,8,24,3.4,1,1,1,24.1,24.1,93.1%,WAS,9,2022
6,Derrick Henry,17,115,6.8,56,5,2,0,0,0,0.0,0,0,1,23.5,23.5,99.3%,BAL,9,2022
7,Cordarrelle Patterson,13,44,3.4,7,0,2,1,1,9,9.0,0,0,1,18.3,18.3,1.4%,PIT,9,2022
8,Jeff Wilson Jr.,9,51,5.7,28,1,0,3,3,21,7.0,1,0,1,16.2,16.2,6.8%,MIA,9,2022
9,Rhamondre Stevenson,15,60,4.0,16,0,0,3,7,10,3.3,1,0,1,16.0,16.0,84.5%,NE,9,2022
10,Michael Carter,12,76,6.3,25,1,1,1,1,10,10.0,0,0,1,15.6,15.6,1.3%,ARI,9,2022
11,Raheem Blackshear,5,13,2.6,5,0,1,4,4,40,10.0,0,0,1,15.3,15.3,0.1%,CAR,9,2022
12,Miles Sanders,17,93,5.5,25,1,1,0,0,0,0.0,0,0,1,15.3,15.3,23.3%,CAR,9,2022
13,Dameon Pierce,27,139,5.1,36,2,0,0,0,0,0.0,0,0,1,13.9,13.9,28.0%,HOU,9,2022
14,Dalvin Cook,17,47,2.8,9,0,0,2,6,9,4.5,1,0,1,13.6,13.6,9.5%,FA,9,2022
15,James Robinson,13,48,3.7,16,0,0,2,2,5,2.5,1,0,1,13.3,13.3,0.1%,NO,9,2022
16,Tyler Allgeier,10,99,9.9,44,3,0,1,1,24,24.0,0,0,1,13.3,13.3,48.6%,ATL,9,2022
