Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Chubb,12,77,6.4,15,0,0,5,6,45,9.0,1,0,1,23.2,23.2,55.6%,CLE,18,2022
2,Zack Moss,18,114,6.3,34,2,1,3,3,7,2.3,0,0,1,21.1,21.1,75.1%,CIN,18,2022
3,Jamaal Williams,16,72,4.5,13,0,2,0,0,0,0.0,0,0,1,19.2,19.2,10.3%,NO,18,2022
4,Alexander Mattison,10,54,5.4,11,0,2,1,1,6,6.0,0,0,1,19.0,19.0,41.3%,LV,18,2022
5,Latavius Murray,15,103,6.9,25,2,1,1,1,15,15.0,0,0,1,18.8,18.8,7.6%,FA,18,2022
6,Joe Mixon,11,27,2.5,8,0,1,5,5,41,8.2,0,0,1,17.8,17.8,99.1%,HOU,18,2022
7,Elijah Mitchell,5,55,11.0,37,2,2,0,0,0,0.0,0,0,1,17.5,17.5,8.9%,SF,18,2022
8,Deon Jackson,8,35,4.4,13,0,0,6,8,75,12.5,0,0,1,17.0,17.0,1.0%,FA,18,2022
9,Christian McCaffrey,10,45,4.5,19,0,0,3,3,34,11.3,1,0,1,16.9,16.9,100.0%,SF,18,2022
10,Kenyan Drake,16,60,3.8,18,0,1,2,5,19,9.5,0,0,1,15.9,15.9,0.0%,FA,18,2022
11,Cam Akers,21,104,5.0,32,2,0,3,3,24,8.0,0,0,1,15.8,15.8,9.2%,FA,18,2022
12,D'Andre Swift,6,25,4.2,11,0,0,7,7,61,8.7,0,0,1,15.6,15.6,93.8%,CHI,18,2022
13,Najee Harris,23,80,3.5,11,0,1,1,1,10,10.0,0,1,1,14.0,14.0,91.4%,PIT,18,2022
14,Corey Clement,8,23,2.9,5,0,1,3,4,25,8.3,0,0,1,13.8,13.8,0.0%,FA,18,2022
15,Derrick Henry,30,109,3.6,14,0,0,1,1,19,19.0,0,0,1,13.8,13.8,99.3%,BAL,18,2022
16,Tyler Allgeier,24,135,5.6,28,1,0,0,0,0,0.0,0,0,1,13.5,13.5,48.6%,ATL,18,2022
17,Kenneth Walker III,29,114,3.9,20,1,0,1,1,10,10.0,0,0,1,13.4,13.4,97.1%,SEA,18,2022
18,Rhamondre Stevenson,6,54,9.0,18,0,0,5,6,28,5.6,0,0,1,13.2,13.2,84.5%,NE,18,2022
19,Isiah Pacheco,8,64,8.0,31,2,1,0,0,0,0.0,0,0,1,12.4,12.4,97.8%,KC,18,2022
20,Alvin Kamara,23,107,4.7,22,1,0,1,2,3,3.0,0,0,1,12.0,12.0,98.2%,NO,18,2022
21,Nyheim Hines,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,12.0,12.0,0.5%,CLE,18,2022
22,Boston Scott,9,54,6.0,21,1,1,0,0,0,0.0,0,0,1,11.4,11.4,0.1%,LAR,18,2022
