Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Younghoe Koo,4,4,100.0,42,0,1,1,2,0,3,3,1,17.0,17.0,61.7%,ATL,2,2020
2,Justin Tucker,4,4,100.0,47,0,1,2,1,0,3,3,1,16.0,16.0,98.7%,BAL,2,2020
3,Rodrigo Blankenship,4,4,100.0,44,0,1,2,1,0,2,2,1,15.0,15.0,0.1%,FA,2,2020
4,Zane Gonzalez,3,3,100.0,49,0,1,1,1,0,3,3,1,13.0,13.0,0.1%,FA,2,2020
5,Harrison Butker,3,3,100.0,58,0,0,1,0,2,0,1,1,13.0,13.0,96.2%,KC,2,2020
6,Randy Bullock,3,3,100.0,43,0,1,1,1,0,3,3,1,13.0,13.0,0.1%,FA,2,2020
7,Stephen Gostkowski,2,2,100.0,51,0,0,0,1,1,3,4,1,12.0,12.0,0.1%,FA,2,2020
8,Daniel Carlson,2,2,100.0,54,0,1,0,0,1,4,4,1,12.0,12.0,24.2%,LV,2,2020
9,Ka'imi Fairbairn,3,3,100.0,45,0,0,1,2,0,1,1,1,12.0,12.0,47.4%,HOU,2,2020
10,Greg Zuerlein,2,2,100.0,46,0,0,1,1,0,4,4,1,11.0,11.0,43.8%,NYJ,2,2020
11,Mason Crosby,2,2,100.0,43,0,0,1,1,0,4,4,1,11.0,11.0,0.1%,FA,2,2020
12,Jason Sanders,2,2,100.0,52,0,0,0,1,1,2,2,1,11.0,11.0,46.2%,MIA,2,2020
13,Michael Badgley,2,2,100.0,41,0,1,0,1,0,2,2,1,9.0,9.0,19.0%,DET,2,2020
14,Robbie Gould,1,1,100.0,46,0,0,0,1,0,4,4,1,8.0,8.0,0.1%,FA,2,2020
15,Brandon McManus,2,3,66.7,49,0,1,0,1,0,1,1,1,8.0,8.0,18.3%,FA,2,2020
16,Sam Ficken,2,2,100.0,41,0,1,0,1,0,1,1,1,8.0,8.0,0.0%,FA,2,2020
17,Graham Gano,2,3,66.7,39,0,0,2,0,0,1,1,1,7.0,7.0,1.3%,NYG,2,2020
18,Sam Sloman,1,1,100.0,30,0,0,1,0,0,4,5,1,7.0,7.0,0.0%,FA,2,2020
19,Tyler Bass,1,1,100.0,39,0,0,1,0,0,4,4,1,7.0,7.0,45.5%,BUF,2,2020
20,Jake Elliott,2,2,100.0,38,0,0,2,0,0,1,1,1,7.0,7.0,93.5%,PHI,2,2020
21,Ryan Succop,1,1,100.0,33,0,0,1,0,0,4,4,1,7.0,7.0,0.0%,FA,2,2020
22,Wil Lutz,1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,10.3%,DEN,2,2020
23,Chris Boswell,1,1,100.0,21,0,1,0,0,0,3,3,1,6.0,6.0,17.2%,PIT,2,2020
24,Josh Lambo,1,1,100.0,35,0,0,1,0,0,3,4,1,6.0,6.0,0.1%,FA,2,2020
25,Nick Folk,1,2,50.0,25,0,1,0,0,0,3,3,1,6.0,6.0,9.5%,TEN,2,2020
26,Cody Parkey,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,2,2020
27,Cairo Santos,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,26.6%,CHI,2,2020
28,Joey Slye,1,1,100.0,23,0,1,0,0,0,2,2,1,5.0,5.0,0.6%,NE,2,2020
29,Jason Myers,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,32.1%,SEA,2,2020
30,Dustin Hopkins,1,1,100.0,24,0,1,0,0,0,0,0,1,3.0,3.0,29.1%,CLE,2,2020
31,Matt Prater,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.7%,ARI,2,2020
32,Dan Bailey,1,1,100.0,21,0,1,0,0,0,0,0,1,3.0,3.0,0.0%,FA,2,2020
33,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,2,2020
