Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Patrick Mahomes II,23,38,60.5,295,7.8,4,0,0,9,52,0,0,1,33.0,33.0,99.4%,KC,13,2018
2,Josh Allen,18,33,54.5,231,7.0,2,2,2,9,135,0,0,1,28.7,28.7,99.9%,BUF,13,2018
3,Russell Wilson,11,17,64.7,185,10.9,4,0,3,4,14,0,0,1,24.8,24.8,30.9%,PIT,13,2018
4,Derek Carr,29,38,76.3,285,7.5,3,0,3,1,8,0,0,1,24.2,24.2,25.1%,NO,13,2018
5,Philip Rivers,26,36,72.2,299,8.3,2,0,2,0,0,0,0,1,24.0,24.0,20.6%,FA,13,2018
6,Jameis Winston,20,30,66.7,249,8.3,2,0,4,5,48,0,0,1,22.8,22.8,0.8%,CLE,13,2018
7,Nick Mullens,30,48,62.5,414,8.6,2,1,3,2,1,0,0,1,22.7,22.7,4.1%,MIN,13,2018
8,Marcus Mariota,20,35,57.1,282,8.1,2,1,3,4,43,0,0,1,21.6,21.6,3.2%,WAS,13,2018
9,Carson Wentz,27,39,69.2,306,7.8,2,1,0,4,-4,0,0,1,19.8,19.8,0.7%,KC,13,2018
10,Ben Roethlisberger,29,45,64.4,281,6.2,2,1,1,0,0,0,0,1,17.2,17.2,13.6%,FA,13,2018
11,Lamar Jackson,12,21,57.1,125,6.0,0,0,2,17,75,1,1,1,16.5,16.5,99.3%,BAL,13,2018
12,Deshaun Watson,22,31,71.0,224,7.2,1,0,4,7,30,0,0,1,16.0,16.0,31.0%,CLE,13,2018
13,Cam Newton,28,41,68.3,300,7.3,2,4,4,6,33,0,0,1,15.3,15.3,9.1%,FA,13,2018
14,Aaron Rodgers,31,50,62.0,233,4.7,1,0,1,3,20,0,0,1,15.3,15.3,50.2%,NYJ,13,2018
15,Ryan Tannehill,16,24,66.7,137,5.7,3,1,3,3,-5,0,0,1,15.0,15.0,1.1%,FA,13,2018
16,Tom Brady,24,32,75.0,311,9.7,1,1,0,2,5,0,0,1,14.9,14.9,2.7%,FA,13,2018
17,Dak Prescott,24,28,85.7,249,8.9,1,0,7,5,22,0,1,1,14.2,14.2,96.3%,DAL,13,2018
18,Baker Mayfield,29,43,67.4,397,9.2,1,3,0,0,0,0,0,1,13.9,13.9,43.7%,TB,13,2018
19,Chase Daniel,26,39,66.7,285,7.3,1,2,5,4,4,0,0,1,11.8,11.8,0.0%,FA,13,2018
20,Case Keenum,12,21,57.1,151,7.2,1,0,2,2,9,0,0,1,10.9,10.9,0.6%,HOU,13,2018
21,Matthew Stafford,20,33,60.6,245,7.4,1,1,4,1,2,0,1,1,10.0,10.0,57.6%,LAR,13,2018
22,Jeff Driskel,25,37,67.6,236,6.4,1,1,4,3,3,0,1,1,9.7,9.7,0.0%,WAS,13,2018
23,Andrew Luck,33,52,63.5,248,4.8,0,1,3,2,16,0,0,1,9.5,9.5,2.2%,FA,13,2018
24,Josh Rosen,11,26,42.3,149,5.7,0,0,2,2,32,0,0,1,9.2,9.2,0.0%,FA,13,2018
25,Cody Kessler,18,24,75.0,150,6.3,0,0,3,5,28,0,0,1,8.8,8.8,0.1%,FA,13,2018
26,Eli Manning,19,35,54.3,170,4.9,1,1,3,0,0,0,0,1,8.8,8.8,2.3%,FA,13,2018
27,Jared Goff,17,33,51.5,207,6.3,1,1,2,2,-2,0,1,1,8.1,8.1,70.6%,DET,13,2018
28,Kirk Cousins,32,44,72.7,201,4.6,1,2,2,0,0,0,0,1,8.0,8.0,40.2%,ATL,13,2018
29,Matt Ryan,16,26,61.5,131,5.0,1,0,3,2,4,0,1,1,7.6,7.6,0.1%,FA,13,2018
30,Drew Brees,18,28,64.3,127,4.5,1,1,2,1,2,0,0,1,7.3,7.3,35.7%,FA,13,2018
31,Josh McCown,17,30,56.7,128,4.3,0,1,2,1,3,0,0,1,3.4,3.4,0.0%,FA,13,2018
32,Mark Sanchez,13,21,61.9,100,4.8,0,1,2,1,8,0,0,1,2.8,2.8,0.1%,FA,13,2018
33,Colt McCoy,4,4,100.0,50,12.5,0,0,1,0,0,0,0,1,2.0,2.0,0.0%,FA,13,2018
34,Robert Griffin III,2,4,50.0,21,5.3,0,0,0,0,0,0,0,1,0.8,0.8,1.0%,FA,13,2018
35,Geno Smith,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,38.4%,SEA,13,2018
36,Tyler Bray,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2018
37,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2018
38,Taysom Hill,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,36.8%,NO,13,2018
39,Taylor Heinicke,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.1%,ATL,13,2018
40,Blaine Gabbert,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,FA,13,2018
