Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Aaron Rodgers,32,52,61.5,442,8.5,3,0,4,3,10,0,2,1,28.7,28.7,50.2%,NYJ,5,2018
2,Drew Brees,26,29,89.7,363,12.5,3,0,2,2,1,0,0,1,27.7,27.7,35.7%,FA,5,2018
3,Tom Brady,34,44,77.3,341,7.8,3,2,0,3,-1,1,0,1,27.5,27.5,2.7%,FA,5,2018
4,Andrew Luck,38,59,64.4,365,6.2,3,2,1,0,0,0,0,1,22.6,22.6,2.2%,FA,5,2018
5,Ben Roethlisberger,19,29,65.5,250,8.6,3,1,0,2,16,0,0,1,21.6,21.6,13.6%,FA,5,2018
6,Philip Rivers,22,27,81.5,339,12.6,2,0,1,3,-2,0,0,1,21.4,21.4,20.6%,FA,5,2018
7,Case Keenum,35,51,68.6,377,7.4,2,1,4,0,0,0,0,1,21.1,21.1,0.6%,HOU,5,2018
8,Deshaun Watson,33,44,75.0,375,8.5,1,1,1,10,40,0,0,1,21.0,21.0,31.0%,CLE,5,2018
9,Carson Wentz,24,35,68.6,311,8.9,2,0,3,5,26,0,1,1,21.0,21.0,0.7%,KC,5,2018
10,C.J. Beathard,34,54,63.0,349,6.5,2,2,4,2,7,1,2,1,20.7,20.7,1.0%,JAC,5,2018
11,Blake Bortles,33,61,54.1,430,7.0,1,4,5,4,34,1,1,1,20.6,20.6,0.0%,FA,5,2018
12,Russell Wilson,13,21,61.9,198,9.4,3,0,2,0,0,0,0,1,19.9,19.9,30.9%,PIT,5,2018
13,Eli Manning,22,36,61.1,326,9.1,2,2,1,1,2,0,0,1,19.2,19.2,2.3%,FA,5,2018
14,Sam Darnold,10,22,45.5,198,9.0,3,1,1,3,5,0,0,1,18.4,18.4,1.2%,MIN,5,2018
15,Baker Mayfield,25,43,58.1,342,8.0,1,1,5,2,23,0,0,1,18.0,18.0,43.7%,TB,5,2018
16,Cam Newton,21,35,60.0,237,6.8,2,2,1,8,29,0,0,1,16.4,16.4,9.1%,FA,5,2018
17,Patrick Mahomes II,22,38,57.9,313,8.2,0,2,1,4,13,1,0,1,15.8,15.8,99.4%,KC,5,2018
18,Matthew Stafford,14,26,53.8,183,7.0,2,0,3,1,-1,0,0,1,15.2,15.2,57.6%,LAR,5,2018
19,Matt Ryan,26,38,68.4,285,7.5,1,0,6,1,10,0,1,1,14.4,14.4,0.1%,FA,5,2018
20,Jared Goff,23,32,71.9,321,10.0,1,2,1,5,15,0,0,1,14.3,14.3,70.6%,DET,5,2018
21,Kirk Cousins,30,37,81.1,301,8.1,1,0,1,5,1,0,1,1,14.1,14.1,40.2%,ATL,5,2018
22,Alex Smith,23,39,59.0,275,7.1,0,1,3,2,7,1,1,1,13.7,13.7,5.0%,FA,5,2018
23,Derek Carr,24,33,72.7,268,8.1,1,1,3,1,5,0,0,1,13.2,13.2,25.1%,NO,5,2018
24,Andy Dalton,20,30,66.7,248,8.3,1,1,2,4,10,0,0,1,12.9,12.9,0.2%,CAR,5,2018
25,Dak Prescott,18,29,62.1,208,7.2,1,2,2,6,34,0,0,1,11.7,11.7,96.3%,DAL,5,2018
26,Joe Flacco,29,56,51.8,298,5.3,0,1,2,2,13,0,0,1,11.2,11.2,17.3%,IND,5,2018
27,Josh Rosen,10,25,40.0,170,6.8,1,0,1,3,-3,0,0,1,10.5,10.5,0.0%,FA,5,2018
28,Josh Allen,10,19,52.6,82,4.3,0,1,1,4,19,1,0,1,9.2,9.2,99.9%,BUF,5,2018
29,Taysom Hill,0,0,0.0,0,0.0,0,0,0,5,23,1,0,1,8.3,8.3,36.8%,NO,5,2018
30,Ryan Tannehill,20,35,57.1,185,5.3,1,2,3,3,17,0,1,1,7.1,7.1,1.1%,FA,5,2018
31,Marcus Mariota,14,26,53.8,129,5.0,0,1,2,2,10,0,0,1,4.2,4.2,3.2%,WAS,5,2018
32,Matt Schaub,5,7,71.4,20,2.9,0,0,0,0,0,0,0,1,1.1,1.1,0.0%,FA,5,2018
33,Lamar Jackson,0,1,0.0,0,0.0,0,0,0,3,10,0,0,1,1.0,1.0,99.3%,BAL,5,2018
34,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
35,Teddy Bridgewater,0,0,0.0,0,0.0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.1%,FA,5,2018
36,Joshua Dobbs,0,0,0.0,0,0.0,0,0,0,1,-3,0,0,1,-0.3,-0.3,11.2%,SF,5,2018
