Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Patrick Mahomes II,33,46,71.7,478,10.4,6,3,3,6,28,0,2,1,35.9,35.9,99.4%,KC,11,2018
2,Jared Goff,31,49,63.3,413,8.4,4,0,5,4,6,1,2,1,35.1,35.1,70.6%,DET,11,2018
3,Drew Brees,22,30,73.3,363,12.1,4,0,0,0,0,0,0,1,30.5,30.5,35.7%,FA,11,2018
4,Cam Newton,25,37,67.6,357,9.6,3,1,3,2,2,0,0,1,24.5,24.5,9.1%,FA,11,2018
5,Andrew Luck,23,29,79.3,297,10.2,3,0,0,0,0,0,0,1,23.9,23.9,2.2%,FA,11,2018
6,Aaron Rodgers,21,30,70.0,332,11.1,2,0,5,1,3,0,0,1,21.6,21.6,50.2%,NYJ,11,2018
7,Ben Roethlisberger,27,47,57.4,314,6.7,2,3,2,2,1,1,0,1,20.7,20.7,13.6%,FA,11,2018
8,Philip Rivers,28,43,65.1,401,9.3,2,2,3,1,-4,0,0,1,19.6,19.6,20.6%,FA,11,2018
9,Andy Dalton,19,36,52.8,211,5.9,2,0,1,2,29,0,0,1,19.3,19.3,0.2%,CAR,11,2018
10,Russell Wilson,21,31,67.7,225,7.3,2,0,3,5,17,0,0,1,18.6,18.6,30.9%,PIT,11,2018
11,Eli Manning,17,18,94.4,231,12.8,2,0,4,1,-1,0,0,1,17.1,17.1,2.3%,FA,11,2018
12,Kirk Cousins,30,46,65.2,262,5.7,2,2,2,1,5,0,0,1,17.0,17.0,40.2%,ATL,11,2018
13,Lamar Jackson,13,19,68.4,150,7.9,0,1,3,26,119,0,0,1,15.9,15.9,99.3%,BAL,11,2018
14,Derek Carr,19,31,61.3,192,6.2,2,0,4,0,0,0,0,1,15.7,15.7,25.1%,NO,11,2018
15,Jameis Winston,12,16,75.0,199,12.4,2,1,0,5,16,0,0,1,15.6,15.6,0.8%,CLE,11,2018
16,Mitchell Trubisky,20,31,64.5,165,5.3,1,2,1,10,43,0,0,1,14.9,14.9,1.1%,BUF,11,2018
17,Dak Prescott,22,32,68.8,208,6.5,0,0,2,4,5,1,0,1,14.8,14.8,96.3%,DAL,11,2018
18,Matt Ryan,24,34,70.6,291,8.6,1,1,3,1,1,0,0,1,13.7,13.7,0.1%,FA,11,2018
19,Josh Rosen,9,20,45.0,136,6.8,3,2,1,1,0,0,0,1,13.4,13.4,0.0%,FA,11,2018
20,Matthew Stafford,23,37,62.2,220,5.9,1,0,1,3,6,0,0,1,13.4,13.4,57.6%,LAR,11,2018
21,Colt McCoy,6,12,50.0,54,4.5,1,0,2,5,35,0,0,1,9.7,9.7,0.0%,FA,11,2018
22,Deshaun Watson,16,24,66.7,208,8.7,1,2,3,3,7,0,0,1,9.0,9.0,31.0%,CLE,11,2018
23,Case Keenum,19,32,59.4,205,6.4,0,0,0,0,0,0,0,1,8.2,8.2,0.6%,HOU,11,2018
24,Ryan Fitzpatrick,13,21,61.9,167,8.0,0,3,1,4,14,1,0,1,8.1,8.1,0.0%,FA,11,2018
25,Blaine Gabbert,11,16,68.8,118,7.4,1,1,1,0,0,0,0,1,6.7,6.7,0.0%,FA,11,2018
26,Alex Smith,12,27,44.4,135,5.0,0,2,3,4,33,0,0,1,4.7,4.7,5.0%,FA,11,2018
27,Blake Bortles,10,18,55.6,104,5.8,0,0,6,2,17,0,1,1,3.9,3.9,0.0%,FA,11,2018
28,Marcus Mariota,10,13,76.9,85,6.5,0,1,4,4,17,0,0,1,3.1,3.1,3.2%,WAS,11,2018
29,Carson Wentz,19,33,57.6,156,4.7,0,3,3,1,6,0,0,1,0.8,0.8,0.7%,KC,11,2018
30,Taysom Hill,1,2,50.0,10,5.0,0,0,0,3,4,0,0,1,0.8,0.8,36.8%,NO,11,2018
31,Robert Griffin III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,11,2018
32,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2018
33,Taylor Heinicke,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.1%,ATL,11,2018
34,Jeff Driskel,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,11,2018
35,Teddy Bridgewater,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.1%,FA,11,2018
36,Jacoby Brissett,1,2,50.0,-2,-1.0,0,0,0,3,-3,0,0,1,-0.4,-0.4,1.3%,NE,11,2018
