Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Deshaun Watson,16,20,80.0,239,12.0,5,0,0,1,14,0,0,1,31.0,31.0,31.0%,CLE,8,2018
2,Cam Newton,21,29,72.4,219,7.6,2,0,0,10,52,1,0,1,28.0,28.0,9.1%,FA,8,2018
3,Derek Carr,21,28,75.0,244,8.7,3,0,0,2,0,1,0,1,27.8,27.8,25.1%,NO,8,2018
4,Jared Goff,19,35,54.3,295,8.4,3,0,5,5,7,0,0,1,26.5,26.5,70.6%,DET,8,2018
5,Patrick Mahomes II,24,34,70.6,303,8.9,4,1,2,2,-1,0,0,1,26.0,26.0,99.4%,KC,8,2018
6,Carson Wentz,21,30,70.0,286,9.5,3,1,4,6,28,0,1,1,23.6,23.6,0.7%,KC,8,2018
7,Russell Wilson,14,17,82.4,248,14.6,3,0,2,2,15,0,0,1,23.4,23.4,30.9%,PIT,8,2018
8,Andrew Luck,22,31,71.0,239,7.7,3,0,0,2,-2,0,0,1,23.4,23.4,2.2%,FA,8,2018
9,Mitchell Trubisky,16,29,55.2,220,7.6,2,0,2,6,51,0,0,1,21.9,21.9,1.1%,BUF,8,2018
10,Kirk Cousins,31,41,75.6,359,8.8,2,1,4,2,3,0,0,1,20.7,20.7,40.2%,ATL,8,2018
11,Andy Dalton,21,34,61.8,280,8.2,2,0,2,3,10,0,0,1,20.2,20.2,0.2%,CAR,8,2018
12,Blake Bortles,24,41,58.5,286,7.0,1,0,4,8,43,0,0,1,19.7,19.7,0.0%,FA,8,2018
13,Ryan Fitzpatrick,11,15,73.3,194,12.9,2,0,1,1,18,0,0,1,19.6,19.6,0.0%,FA,8,2018
14,Josh Rosen,23,40,57.5,252,6.3,2,1,3,2,12,0,0,1,19.3,19.3,0.0%,FA,8,2018
15,Matthew Stafford,27,40,67.5,310,7.8,2,1,3,1,6,0,1,1,17.0,17.0,57.6%,LAR,8,2018
16,Ben Roethlisberger,24,36,66.7,257,7.1,2,1,1,2,6,0,0,1,16.9,16.9,13.6%,FA,8,2018
17,Aaron Rodgers,18,30,60.0,286,9.5,1,0,3,1,5,0,0,1,15.9,15.9,50.2%,NYJ,8,2018
18,Case Keenum,23,34,67.6,262,7.7,2,1,5,1,9,0,1,1,15.4,15.4,0.6%,HOU,8,2018
19,Baker Mayfield,22,36,61.1,180,5.0,2,1,2,1,9,0,0,1,14.1,14.1,43.7%,TB,8,2018
20,Tom Brady,29,45,64.4,324,7.2,0,0,2,1,8,0,0,1,13.8,13.8,2.7%,FA,8,2018
21,Eli Manning,30,47,63.8,316,6.7,1,2,7,0,0,0,0,1,12.6,12.6,2.3%,FA,8,2018
22,C.J. Beathard,14,28,50.0,190,6.8,1,0,4,5,9,0,0,1,12.5,12.5,1.0%,JAC,8,2018
23,Alex Smith,20,32,62.5,178,5.6,1,0,0,3,13,0,0,1,12.4,12.4,5.0%,FA,8,2018
24,Sam Darnold,14,29,48.3,153,5.3,1,0,1,5,22,0,0,1,12.3,12.3,1.2%,MIN,8,2018
25,Joe Flacco,22,39,56.4,192,4.9,1,2,2,2,14,0,0,1,9.1,9.1,17.3%,IND,8,2018
26,Jameis Winston,18,35,51.4,276,7.9,1,4,5,3,18,0,0,1,8.8,8.8,0.8%,CLE,8,2018
27,Lamar Jackson,4,5,80.0,46,9.2,1,0,0,3,26,0,0,1,8.4,8.4,99.3%,BAL,8,2018
28,Brock Osweiler,21,37,56.8,241,6.5,0,1,2,0,0,0,0,1,7.6,7.6,0.0%,FA,8,2018
29,Derek Anderson,22,39,56.4,290,7.4,0,1,3,1,-1,0,1,1,7.5,7.5,0.0%,FA,8,2018
30,Drew Brees,18,23,78.3,120,5.2,1,1,0,0,0,0,0,1,6.8,6.8,35.7%,FA,8,2018
31,Taysom Hill,1,1,100.0,44,44.0,0,0,0,3,-2,0,0,1,3.1,3.1,36.8%,NO,8,2018
32,Nathan Peterman,2,2,100.0,23,11.5,0,0,0,0,0,0,0,1,0.9,0.9,0.1%,NO,8,2018
33,Taylor Heinicke,1,1,100.0,13,13.0,0,0,0,2,-2,0,0,1,0.3,0.3,3.1%,ATL,8,2018
34,Teddy Bridgewater,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,8,2018
35,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,8,2018
36,Brandon Weeden,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,FA,8,2018
37,Joshua Dobbs,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,11.2%,SF,8,2018
38,Brian Hoyer,0,0,0.0,0,0.0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%,FA,8,2018
