Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Aaron Rodgers,37,55,67.3,442,8.0,2,0,4,5,32,2,0,1,42.9,42.9,50.2%,NYJ,16,2018
2,Deshaun Watson,29,40,72.5,339,8.5,2,0,4,8,49,2,1,1,36.5,36.5,31.0%,CLE,16,2018
3,Nick Foles,35,49,71.4,471,9.6,4,1,1,1,1,0,1,1,30.9,30.9,0.0%,FA,16,2018
4,Ben Roethlisberger,33,50,66.0,380,7.6,3,0,3,2,4,0,0,1,29.6,29.6,13.6%,FA,16,2018
5,Russell Wilson,18,29,62.1,271,9.3,3,0,3,8,57,0,0,1,28.5,28.5,30.9%,PIT,16,2018
6,Patrick Mahomes II,23,40,57.5,273,6.8,3,0,1,3,33,0,0,1,28.2,28.2,99.4%,KC,16,2018
7,Sam Darnold,24,35,68.6,341,9.7,3,0,2,3,4,0,0,1,26.0,26.0,1.2%,MIN,16,2018
8,Baker Mayfield,27,37,73.0,284,7.7,3,0,0,6,16,0,0,1,25.0,25.0,43.7%,TB,16,2018
9,Kirk Cousins,21,28,75.0,253,9.0,3,0,2,1,1,0,0,1,22.2,22.2,40.2%,ATL,16,2018
10,Andrew Luck,31,47,66.0,357,7.6,2,1,1,2,13,0,0,1,21.6,21.6,2.2%,FA,16,2018
11,Eli Manning,25,33,75.8,309,9.4,1,1,0,2,0,1,0,1,20.4,20.4,2.3%,FA,16,2018
12,Matt Ryan,15,26,57.7,239,9.2,3,0,1,1,-1,0,1,1,19.5,19.5,0.1%,FA,16,2018
13,Jeff Driskel,13,19,68.4,133,7.0,2,0,3,5,21,0,0,1,17.4,17.4,0.0%,WAS,16,2018
14,Jared Goff,19,24,79.2,216,9.0,1,0,2,2,6,1,1,1,17.2,17.2,70.6%,DET,16,2018
15,Drew Brees,27,39,69.2,326,8.4,1,0,2,1,-1,0,0,1,16.9,16.9,35.7%,FA,16,2018
16,Dak Prescott,20,25,80.0,161,6.4,1,0,1,4,2,1,0,1,16.6,16.6,96.3%,DAL,16,2018
17,Lamar Jackson,12,22,54.5,204,9.3,1,0,3,13,39,0,0,1,16.1,16.1,99.3%,BAL,16,2018
18,Jameis Winston,34,48,70.8,336,7.0,1,0,3,4,14,0,2,1,14.8,14.8,0.8%,CLE,16,2018
19,Case Keenum,23,37,62.2,202,5.5,2,2,1,3,19,0,0,1,14.0,14.0,0.6%,HOU,16,2018
20,Taylor Heinicke,33,53,62.3,274,5.2,1,3,2,3,33,0,0,1,12.3,12.3,3.1%,ATL,16,2018
21,Mitchell Trubisky,25,29,86.2,246,8.5,1,0,3,5,3,0,1,1,12.1,12.1,1.1%,BUF,16,2018
22,Josh Allen,20,41,48.8,217,5.3,1,2,0,5,30,0,0,1,11.7,11.7,99.9%,BUF,16,2018
23,Ryan Tannehill,15,22,68.2,146,6.6,1,1,3,3,22,0,0,1,10.0,10.0,1.1%,FA,16,2018
24,Josh Rosen,12,23,52.2,87,3.8,0,0,4,4,49,0,0,1,8.4,8.4,0.0%,FA,16,2018
25,Josh Johnson,13,23,56.5,153,6.7,1,2,2,4,22,0,0,1,8.3,8.3,0.1%,BAL,16,2018
26,Blaine Gabbert,7,11,63.6,101,9.2,1,0,1,0,0,0,0,1,8.0,8.0,0.0%,FA,16,2018
27,Nick Mullens,22,38,57.9,241,6.3,0,1,1,0,0,0,0,1,7.6,7.6,4.1%,MIN,16,2018
28,Derek Carr,19,26,73.1,167,6.4,0,0,1,4,-3,0,0,1,6.4,6.4,25.1%,NO,16,2018
29,Marcus Mariota,10,13,76.9,110,8.5,0,0,2,1,7,0,0,1,5.1,5.1,3.2%,WAS,16,2018
30,Tom Brady,13,24,54.2,126,5.3,1,2,1,0,0,0,0,1,5.0,5.0,2.7%,FA,16,2018
31,Matthew Stafford,18,32,56.3,116,3.6,0,0,2,0,0,0,0,1,4.6,4.6,57.6%,LAR,16,2018
32,Blake Bortles,5,6,83.3,39,6.5,0,0,1,4,25,0,0,1,4.1,4.1,0.0%,FA,16,2018
33,Philip Rivers,23,37,62.2,181,4.9,0,2,4,1,1,0,0,1,3.3,3.3,20.6%,FA,16,2018
34,Matt Cassel,5,11,45.5,45,4.1,0,0,1,1,14,0,0,1,3.2,3.2,0.0%,FA,16,2018
35,Mike Glennon,5,7,71.4,63,9.0,0,0,0,0,0,0,0,1,2.5,2.5,1.0%,FA,16,2018
36,Cody Kessler,12,17,70.6,106,6.2,0,0,5,1,2,0,1,1,2.4,2.4,0.1%,FA,16,2018
37,Kyle Allen,4,4,100.0,38,9.5,0,0,0,0,0,0,0,1,1.5,1.5,0.1%,PIT,16,2018
38,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,16,2018
39,Nate Sudfeld,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DET,16,2018
40,Sean Mannion,0,0,0.0,0,0.0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%,FA,16,2018
41,Brian Hoyer,0,1,0.0,0,0.0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%,FA,16,2018
42,Taysom Hill,0,1,0.0,0,0.0,0,1,0,0,0,0,0,1,-2.0,-2.0,36.8%,NO,16,2018
