Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ben Roethlisberger,39,60,65.0,452,7.5,3,0,1,2,9,1,0,1,39.0,39.0,13.6%,FA,2,2018
2,Patrick Mahomes II,23,28,82.1,326,11.6,6,0,1,5,18,0,0,1,38.8,38.8,99.4%,KC,2,2018
3,Kirk Cousins,35,48,72.9,425,8.9,4,1,2,2,5,0,0,1,33.5,33.5,40.2%,ATL,2,2018
4,Blake Bortles,29,45,64.4,376,8.4,4,1,0,6,35,0,0,1,32.5,32.5,0.0%,FA,2,2018
5,Matt Ryan,23,28,82.1,272,9.7,2,1,0,4,18,2,0,1,30.7,30.7,0.1%,FA,2,2018
6,Ryan Fitzpatrick,27,33,81.8,402,12.2,4,1,2,1,-1,0,0,1,30.0,30.0,0.0%,FA,2,2018
7,Cam Newton,32,45,71.1,335,7.4,3,1,2,5,42,0,0,1,27.6,27.6,9.1%,FA,2,2018
8,Andy Dalton,24,42,57.1,265,6.3,4,0,0,0,0,0,0,1,26.6,26.6,0.2%,CAR,2,2018
9,Matthew Stafford,34,53,64.2,347,6.5,3,0,2,1,8,0,1,1,24.7,24.7,57.6%,LAR,2,2018
10,Deshaun Watson,22,32,68.8,310,9.7,2,1,4,5,44,0,0,1,22.8,22.8,31.0%,CLE,2,2018
11,Philip Rivers,23,27,85.2,256,9.5,3,0,2,3,5,0,0,1,22.7,22.7,20.6%,FA,2,2018
12,Jared Goff,24,32,75.0,354,11.1,1,1,2,2,2,0,0,1,18.4,18.4,70.6%,DET,2,2018
13,Joe Flacco,32,55,58.2,376,6.8,2,2,4,3,8,0,1,1,17.8,17.8,17.3%,IND,2,2018
14,Drew Brees,28,35,80.0,243,6.9,2,0,3,1,-1,0,0,1,17.6,17.6,35.7%,FA,2,2018
15,Ryan Tannehill,17,23,73.9,168,7.3,2,0,4,8,44,0,1,1,17.1,17.1,1.1%,FA,2,2018
16,Jimmy Garoppolo,18,26,69.2,206,7.9,2,0,6,3,4,0,0,1,16.6,16.6,1.7%,LAR,2,2018
17,Tom Brady,24,35,68.6,234,6.7,2,0,2,3,10,0,1,1,16.4,16.4,2.7%,FA,2,2018
18,Aaron Rodgers,30,42,71.4,281,6.7,1,0,4,3,8,0,0,1,16.0,16.0,50.2%,NYJ,2,2018
19,Nick Foles,35,48,72.9,334,7.0,1,0,3,3,8,0,1,1,15.7,15.7,0.0%,FA,2,2018
20,Derek Carr,29,32,90.6,288,9.0,1,0,1,0,0,0,0,1,15.5,15.5,25.1%,NO,2,2018
21,Dak Prescott,16,25,64.0,160,6.4,1,0,0,7,45,0,0,1,14.9,14.9,96.3%,DAL,2,2018
22,Russell Wilson,22,36,61.1,226,6.3,2,1,6,3,17,0,1,1,14.7,14.7,30.9%,PIT,2,2018
23,Case Keenum,19,35,54.3,222,6.3,0,1,1,3,16,1,0,1,14.5,14.5,0.6%,HOU,2,2018
24,Mitchell Trubisky,25,34,73.5,200,5.9,2,2,2,5,24,0,0,1,14.4,14.4,1.1%,BUF,2,2018
25,Tyrod Taylor,22,30,73.3,246,8.2,1,1,3,4,26,0,0,1,14.4,14.4,2.7%,NYJ,2,2018
26,Eli Manning,33,44,75.0,279,6.3,1,0,6,3,4,0,1,1,13.6,13.6,2.3%,FA,2,2018
27,Sam Darnold,25,41,61.0,334,8.1,1,2,3,2,1,0,0,1,13.5,13.5,1.2%,MIN,2,2018
28,Alex Smith,33,46,71.7,292,6.3,0,0,3,4,14,0,0,1,13.1,13.1,5.0%,FA,2,2018
29,Josh Allen,18,33,54.5,245,7.4,1,2,5,8,32,0,0,1,13.0,13.0,99.9%,BUF,2,2018
30,Andrew Luck,21,31,67.7,179,5.8,2,2,1,4,2,0,0,1,11.4,11.4,2.2%,FA,2,2018
31,Blaine Gabbert,13,20,65.0,117,5.9,1,0,1,2,2,0,0,1,8.9,8.9,0.0%,FA,2,2018
32,Sam Bradford,17,27,63.0,90,3.3,0,1,1,0,0,0,0,1,1.6,1.6,0.0%,FA,2,2018
33,Lamar Jackson,0,0,0.0,0,0.0,0,0,0,2,6,0,0,1,0.6,0.6,99.3%,BAL,2,2018
34,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2018
35,Matt Schaub,0,0,0.0,0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0%,FA,2,2018
36,Taysom Hill,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,36.8%,NO,2,2018
37,Geno Smith,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,38.4%,SEA,2,2018
