Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Sam LaPorta,9,9,140,15.6,48,4,1,0,0,0,0,1,29.0,29.0,98.9%,DET,13,2023
2,Evan Engram,9,9,82,9.1,22,2,1,0,0,0,0,1,23.2,23.2,97.0%,JAC,13,2023
3,Trey McBride,8,9,89,11.1,17,0,1,0,0,0,0,1,22.9,22.9,90.5%,ARI,13,2023
4,Jake Ferguson,6,8,77,12.8,17,0,1,0,0,0,0,1,19.7,19.7,89.8%,DAL,13,2023
5,Harrison Bryant,5,5,49,9.8,23,1,1,0,0,0,0,1,15.9,15.9,0.1%,LV,13,2023
6,Taysom Hill,2,2,15,7.5,18,0,0,13,59,1,0,1,15.4,15.4,36.8%,NO,13,2023
7,Travis Kelce,4,5,81,20.3,27,3,0,0,0,0,0,1,12.1,12.1,99.9%,KC,13,2023
8,George Kittle,4,6,68,17.0,32,3,0,0,0,0,0,1,10.8,10.8,97.3%,SF,13,2023
9,Kylen Granson,3,3,72,24.0,46,4,0,1,2,0,0,1,10.4,10.4,0.7%,IND,13,2023
10,Chigoziem Okonkwo,3,6,62,20.7,39,2,0,1,2,0,0,1,9.4,9.4,23.7%,TEN,13,2023
11,Brevin Jordan,3,5,64,21.3,27,2,0,0,0,0,0,1,9.4,9.4,5.2%,HOU,13,2023
12,Kyle Pitts,4,8,51,12.8,16,0,0,0,0,0,0,1,9.1,9.1,87.8%,ATL,13,2023
13,MyCole Pruitt,1,1,20,20.0,20,1,1,0,0,0,0,1,9.0,9.0,0.0%,PIT,13,2023
14,Gerald Everett,4,5,44,11.0,26,1,0,0,0,0,0,1,8.4,8.4,23.5%,CHI,13,2023
15,Jimmy Graham,1,1,6,6.0,6,0,1,0,0,0,0,1,7.6,7.6,0.0%,FA,13,2023
16,Tanner Hudson,4,4,35,8.8,24,1,0,0,0,0,0,1,7.5,7.5,2.7%,CIN,13,2023
17,Noah Fant,3,4,43,14.3,25,1,0,0,0,0,0,1,7.3,7.3,2.0%,SEA,13,2023
18,Noah Gray,1,1,2,2.0,2,0,1,0,0,0,0,1,7.2,7.2,0.9%,KC,13,2023
19,Ben Sims,1,1,1,1.0,1,0,1,0,0,0,0,1,7.1,7.1,0.1%,GB,13,2023
20,Tucker Kraft,3,6,37,12.3,19,0,0,0,0,0,0,1,6.7,6.7,11.5%,GB,13,2023
21,Tyler Conklin,3,9,35,11.7,16,0,0,0,0,0,0,1,6.5,6.5,18.4%,NYJ,13,2023
22,Pat Freiermuth,3,5,29,9.7,12,0,0,0,0,0,0,1,5.9,5.9,60.5%,PIT,13,2023
23,Tyler Higbee,2,4,35,17.5,21,1,0,0,0,0,0,1,5.5,5.5,19.7%,LAR,13,2023
24,Foster Moreau,2,2,28,14.0,19,0,0,0,0,0,0,1,4.8,4.8,0.1%,NO,13,2023
25,Julian Hill,2,2,23,11.5,18,0,0,0,0,0,0,1,4.3,4.3,0.0%,MIA,13,2023
26,David Njoku,2,6,17,8.5,9,0,0,0,0,0,0,1,3.7,3.7,94.0%,CLE,13,2023
27,Hunter Henry,2,4,15,7.5,9,0,0,0,0,0,0,1,3.5,3.5,15.3%,NE,13,2023
28,Donald Parham Jr.,2,4,12,6.0,7,0,0,0,0,0,0,1,3.2,3.2,1.1%,LAC,13,2023
29,Elijah Higgins,1,2,21,21.0,21,1,0,0,0,0,0,1,3.1,3.1,0.2%,ARI,13,2023
30,Geoff Swaim,2,2,10,5.0,9,0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,13,2023
31,Jonnu Smith,2,3,10,5.0,9,0,0,0,0,0,0,1,3.0,3.0,8.1%,MIA,13,2023
32,Josh Whyle,1,2,16,16.0,16,0,0,0,0,0,0,1,2.6,2.6,0.1%,TEN,13,2023
33,Stephen Sullivan,1,2,16,16.0,16,0,0,0,0,0,0,1,2.6,2.6,0.1%,CAR,13,2023
34,Will Mallory,2,4,4,2.0,3,0,0,0,0,0,0,1,2.4,2.4,0.1%,IND,13,2023
35,Mitchell Wilcox,1,1,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.0%,NE,13,2023
36,Luke Schoonmaker,1,1,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.5%,DAL,13,2023
37,Jeremy Ruckert,1,3,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.3%,NYJ,13,2023
38,Drew Sample,1,1,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.1%,CIN,13,2023
39,Logan Thomas,0,1,0,0.0,0,0,0,0,0,0,0,1,2.0,2.0,19.3%,SF,13,2023
40,Luke Farrell,1,1,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.1%,JAC,13,2023
41,Brock Wright,1,1,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.2%,DET,13,2023
42,Jordan Akins,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.1%,CLE,13,2023
43,Ian Thomas,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.1%,CAR,13,2023
44,Adam Trautman,1,2,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.2%,DEN,13,2023
45,Eric Saubert,1,1,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.0%,SF,13,2023
46,Andrew Beck,1,2,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.1%,HOU,13,2023
47,Cole Turner,1,1,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.1%,WAS,13,2023
48,Jody Fortson Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIA,13,2023
49,Mitchell Fraboni,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,13,2023
50,Matt Orzech,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,13,2023
51,Parker Hesse,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DET,13,2023
52,Stephen Carlson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CHI,13,2023
53,Cole Kmet,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,72.3%,CHI,13,2023
54,N'Keal Harry,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIN,13,2023
55,Albert Okwuegbunam Jr.,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,PHI,13,2023
56,T.J. Hockenson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,81.3%,MIN,13,2023
57,Tommy Sweeney,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,13,2023
58,Zach Gentry,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,13,2023
59,Jesper Horsted,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,13,2023
60,Josh Oliver,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,MIN,13,2023
61,Trevon Wesco,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2023
62,Tyree Jackson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,13,2023
63,Irv Smith Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.7%,KC,13,2023
64,Dawson Knox,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.7%,BUF,13,2023
