Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Juwan Johnson,8,12,90,11.3,32,2,1,0,0,0,0,1,23.0,23.0,9.8%,NO,17,2023
2,Isaiah Likely,2,3,42,21.0,35,2,2,0,0,0,0,1,18.2,18.2,37.2%,BAL,17,2023
3,David Njoku,6,8,134,22.3,43,6,0,0,0,0,1,1,17.4,17.4,94.0%,CLE,17,2023
4,Dallas Goedert,5,6,47,9.4,23,1,1,0,0,0,0,1,15.7,15.7,89.7%,PHI,17,2023
5,Sam LaPorta,7,12,84,12.0,25,1,0,0,0,0,0,1,15.4,15.4,98.9%,DET,17,2023
6,Johnny Mundt,4,7,39,9.8,14,0,1,0,0,0,0,1,13.9,13.9,1.5%,MIN,17,2023
7,Dalton Kincaid,4,7,87,21.8,51,4,0,0,0,0,0,1,12.7,12.7,85.6%,BUF,17,2023
8,Tyler Higbee,6,7,62,10.3,18,0,0,0,0,0,0,1,12.2,12.2,19.7%,LAR,17,2023
9,Evan Engram,6,6,60,10.0,22,1,0,0,0,0,0,1,12.0,12.0,97.0%,JAC,17,2023
10,Taysom Hill,2,2,30,15.0,22,1,1,2,1,0,0,1,11.5,11.5,36.8%,NO,17,2023
11,Noah Fant,5,6,59,11.8,21,1,0,0,0,0,0,1,10.9,10.9,2.0%,SEA,17,2023
12,Trey McBride,6,7,48,8.0,26,1,0,0,0,0,0,1,10.8,10.8,90.5%,ARI,17,2023
13,Tucker Kraft,6,6,48,8.0,13,0,0,0,0,0,0,1,10.8,10.8,11.5%,GB,17,2023
14,Darren Waller,5,6,51,10.2,18,0,0,0,0,0,0,1,10.1,10.1,56.5%,FA,17,2023
15,Brevin Jordan,2,2,19,9.5,12,0,1,0,0,0,0,1,9.9,9.9,5.2%,HOU,17,2023
16,Tyler Conklin,5,5,45,9.0,20,1,0,0,0,0,0,1,9.5,9.5,18.4%,NYJ,17,2023
17,Charlie Kolar,1,1,19,19.0,19,0,1,0,0,0,0,1,8.9,8.9,0.1%,BAL,17,2023
18,Durham Smythe,3,3,54,18.0,22,1,0,0,0,0,0,1,8.4,8.4,0.7%,MIA,17,2023
19,Daniel Bellinger,4,4,39,9.8,18,0,0,0,0,0,0,1,7.9,7.9,0.8%,NYG,17,2023
20,Gerald Everett,4,9,31,7.8,22,1,0,1,6,0,0,1,7.7,7.7,23.5%,CHI,17,2023
21,Mike Gesicki,4,6,35,8.8,14,0,0,0,0,0,0,1,7.5,7.5,2.3%,CIN,17,2023
22,Pat Freiermuth,3,4,44,14.7,25,1,0,0,0,0,0,1,7.4,7.4,60.5%,PIT,17,2023
