Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Evan Engram,11,12,95,8.6,23,1,2,0,0,0,0,1,32.5,32.5,97.0%,JAC,14,2023
2,David Njoku,6,8,91,15.2,34,4,2,0,0,0,0,1,27.1,27.1,94.0%,CLE,14,2023
3,Isaiah Likely,5,7,83,16.6,54,4,1,0,0,0,0,1,19.3,19.3,37.2%,BAL,14,2023
4,Hunter Henry,3,3,40,13.3,24,1,2,0,0,0,0,1,19.0,19.0,15.3%,NE,14,2023
5,George Kittle,3,5,76,25.3,44,4,1,0,0,0,0,1,16.6,16.6,97.3%,SF,14,2023
6,Davis Allen,4,5,50,12.5,21,1,1,0,0,0,0,1,15.0,15.0,0.1%,LAR,14,2023
7,Kyle Pitts,3,6,57,19.0,36,2,1,0,0,0,0,1,14.7,14.7,87.8%,ATL,14,2023
8,Travis Kelce,6,10,83,13.8,23,2,0,0,0,0,0,1,14.3,14.3,99.9%,KC,14,2023
9,Jake Ferguson,5,8,72,14.4,32,3,0,0,0,0,0,1,12.2,12.2,89.8%,DAL,14,2023
10,Cole Kmet,5,6,66,13.2,41,3,0,0,0,0,0,1,11.6,11.6,72.3%,CHI,14,2023
11,Colby Parkinson,2,2,28,14.0,25,1,1,0,0,0,0,1,10.8,10.8,0.6%,LAR,14,2023
12,Tucker Kraft,4,4,64,16.0,43,3,0,0,0,0,0,1,10.4,10.4,11.5%,GB,14,2023
13,T.J. Hockenson,5,8,53,10.6,26,1,0,0,0,0,0,1,10.3,10.3,81.3%,MIN,14,2023
14,Tanner Hudson,2,3,21,10.5,11,0,1,0,0,0,0,1,10.1,10.1,2.7%,CIN,14,2023
15,Adam Trautman,2,3,19,9.5,10,0,1,0,0,0,0,1,9.9,9.9,0.2%,DEN,14,2023
16,Tyler Conklin,4,6,57,14.3,24,2,0,0,0,0,0,1,9.7,9.7,18.4%,NYJ,14,2023
17,Jimmy Graham,2,2,16,8.0,12,0,1,0,0,0,0,1,9.6,9.6,0.0%,FA,14,2023
18,Chigoziem Okonkwo,5,6,46,9.2,16,0,0,0,0,0,0,1,9.6,9.6,23.7%,TEN,14,2023
19,Will Mallory,5,5,46,9.2,16,0,0,0,0,0,0,1,9.6,9.6,0.1%,IND,14,2023
20,Cade Otton,2,5,16,8.0,11,0,1,0,0,0,0,1,9.6,9.6,16.7%,TB,14,2023
21,Gerald Everett,5,8,39,7.8,12,0,0,0,0,0,0,1,8.9,8.9,23.5%,CHI,14,2023
22,Mo Alie-Cox,1,1,2,2.0,2,0,1,0,0,0,0,1,7.2,7.2,0.1%,IND,14,2023
23,Dalton Kincaid,5,8,21,4.2,8,0,0,0,0,0,0,1,7.1,7.1,85.6%,BUF,14,2023
24,Dallas Goedert,4,4,30,7.5,15,0,0,0,0,0,0,1,7.0,7.0,89.7%,PHI,14,2023
25,Pat Freiermuth,3,7,18,6.0,7,0,0,0,0,0,0,1,6.8,6.8,60.5%,PIT,14,2023
26,Jeremy Ruckert,3,3,37,12.3,19,0,0,0,0,0,0,1,6.7,6.7,0.3%,NYJ,14,2023
27,Jonnu Smith,4,7,27,6.8,9,0,0,0,0,0,0,1,6.7,6.7,8.1%,MIA,14,2023
28,Dawson Knox,3,3,36,12.0,13,0,0,0,0,0,0,1,6.6,6.6,4.7%,BUF,14,2023
29,Brevin Jordan,3,3,35,11.7,23,1,0,0,0,0,0,1,6.5,6.5,5.2%,HOU,14,2023
30,Noah Fant,2,4,35,17.5,26,1,0,0,0,0,0,1,5.5,5.5,2.0%,SEA,14,2023
31,Sam LaPorta,2,6,23,11.5,13,0,0,1,4,0,0,1,4.7,4.7,98.9%,DET,14,2023
32,Lucas Krull,1,1,35,35.0,35,2,0,0,0,0,0,1,4.5,4.5,0.1%,DEN,14,2023
33,Kylen Granson,2,4,17,8.5,9,0,0,0,0,0,0,1,3.7,3.7,0.7%,IND,14,2023
34,Andrew Beck,1,1,26,26.0,26,1,0,0,0,0,0,1,3.6,3.6,0.1%,HOU,14,2023
35,Durham Smythe,2,3,16,8.0,9,0,0,0,0,0,0,1,3.6,3.6,0.7%,MIA,14,2023
36,Connor Heyward,2,2,15,7.5,10,0,0,0,0,0,0,1,3.5,3.5,0.2%,PIT,14,2023
37,Daniel Bellinger,2,2,15,7.5,9,0,0,0,0,0,0,1,3.5,3.5,0.8%,NYG,14,2023
38,MyCole Pruitt,2,2,15,7.5,11,0,0,0,0,0,0,1,3.5,3.5,0.0%,PIT,14,2023
39,Juwan Johnson,2,3,10,5.0,7,0,0,0,0,0,0,1,3.0,3.0,9.8%,NO,14,2023
40,Foster Moreau,2,2,8,4.0,7,0,0,0,0,0,0,1,2.8,2.8,0.1%,NO,14,2023
41,Brock Wright,2,2,6,3.0,4,0,0,0,0,0,0,1,2.6,2.6,0.2%,DET,14,2023
42,Drew Sample,2,2,4,2.0,3,0,0,0,0,0,0,1,2.4,2.4,0.1%,CIN,14,2023
43,Michael Mayer,1,2,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,4.7%,LV,14,2023
44,Darnell Washington,1,2,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.4%,PIT,14,2023
45,Donald Parham Jr.,1,2,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,1.1%,LAC,14,2023
46,Austin Hooper,1,1,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.4%,NE,14,2023
47,Pharaoh Brown,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.1%,SEA,14,2023
48,Marcedes Lewis,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.1%,CHI,14,2023
49,Johnny Mundt,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,1.5%,MIN,14,2023
50,Charlie Woerner,1,1,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.1%,ATL,14,2023
51,Jordan Akins,1,1,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.1%,CLE,14,2023
52,Will Dissly,1,1,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.3%,LAC,14,2023
53,Tommy Tremble,1,3,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.4%,CAR,14,2023
54,Mitchell Wilcox,1,1,0,0.0,0,0,0,0,0,0,0,1,1.0,1.0,0.0%,NE,14,2023
55,Jody Fortson Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIA,14,2023
56,Mitchell Fraboni,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,14,2023
57,Matt Orzech,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,14,2023
58,Parker Hesse,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,14,2023
59,Brycen Hopkins,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,14,2023
60,N'Keal Harry,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIN,14,2023
61,Albert Okwuegbunam Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,PHI,14,2023
62,Tommy Sweeney,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,14,2023
63,Jesper Horsted,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,14,2023
64,Josh Oliver,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,MIN,14,2023
65,Trevon Wesco,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,14,2023
66,Tyree Jackson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,14,2023
67,Irv Smith Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.7%,KC,14,2023
68,Zach Gentry,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,14,2023
69,Stephen Carlson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CHI,14,2023
70,Harrison Bryant,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,LV,14,2023
71,Josiah Deguara,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,JAC,14,2023
72,Luke Farrell,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,JAC,14,2023
73,Noah Gray,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,KC,14,2023
74,Dalton Keene,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,14,2023
75,Stephen Sullivan,0,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,CAR,14,2023
76,Lawrence Cager,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,14,2023
77,Tyler Mabry,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,14,2023
78,Sean McKeon,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,14,2023
79,Giovanni Ricci,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,CLE,14,2023
80,Tyler Davis,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,GB,14,2023
