Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Josh Allen,29,51,56.9,339,6.6,2,1,1,9,81,2,0,1,40.7,40.7,99.9%,BUF,12,2023
2,Jalen Hurts,18,31,58.1,200,6.5,3,1,2,14,65,2,1,1,35.5,35.5,99.9%,PHI,12,2023
3,Dak Prescott,22,32,68.8,331,10.3,4,0,0,1,10,0,0,1,32.2,32.2,96.3%,DAL,12,2023
4,C.J. Stroud,26,36,72.2,304,8.4,2,0,4,6,47,1,0,1,30.9,30.9,92.9%,HOU,12,2023
5,Jordan Love,22,32,68.8,268,8.4,3,0,0,3,39,0,0,1,26.6,26.6,86.0%,GB,12,2023
6,Trevor Lawrence,23,38,60.5,364,9.6,1,1,0,2,0,1,0,1,25.6,25.6,71.3%,JAC,12,2023
7,Matthew Stafford,25,33,75.8,229,6.9,4,1,0,1,2,0,0,1,24.4,24.4,57.6%,LAR,12,2023
8,Patrick Mahomes II,27,34,79.4,298,8.8,2,0,1,5,9,0,0,1,20.8,20.8,99.4%,KC,12,2023
9,Kyler Murray,27,45,60.0,256,5.7,1,0,4,1,2,1,0,1,20.4,20.4,78.6%,ARI,12,2023
10,Sam Howell,28,44,63.6,300,6.8,0,1,4,2,13,1,0,1,18.3,18.3,29.0%,SEA,12,2023
11,Jared Goff,29,44,65.9,332,7.5,2,0,3,3,9,0,3,1,18.2,18.2,70.6%,DET,12,2023
12,Russell Wilson,13,22,59.1,134,6.1,1,0,1,11,34,1,1,1,16.8,16.8,30.9%,PIT,12,2023
13,Gardner Minshew II,24,41,58.5,251,6.1,0,1,2,3,6,1,0,1,15.6,15.6,16.8%,LV,12,2023
14,Lamar Jackson,18,32,56.3,177,5.5,1,0,2,11,39,0,0,1,15.0,15.0,99.3%,BAL,12,2023
15,Justin Herbert,29,44,65.9,217,4.9,1,1,3,4,47,0,1,1,14.4,14.4,64.6%,LAC,12,2023
16,Baker Mayfield,20,30,66.7,199,6.6,2,1,6,3,14,0,1,1,14.4,14.4,43.7%,TB,12,2023
17,Aidan O'Connell,23,33,69.7,248,7.5,1,0,1,0,0,0,0,1,13.9,13.9,3.1%,LV,12,2023
18,Jake Browning,19,26,73.1,227,8.7,1,1,4,3,9,0,0,1,13.0,13.0,20.8%,CIN,12,2023
19,Derek Carr,24,38,63.2,304,8.0,0,1,1,2,7,0,0,1,11.9,11.9,25.1%,NO,12,2023
20,Desmond Ridder,13,21,61.9,168,8.0,1,2,0,7,30,0,0,1,11.7,11.7,3.7%,ARI,12,2023
21,Kenny Pickett,24,33,72.7,278,8.4,0,0,2,5,5,0,0,1,11.6,11.6,6.9%,PHI,12,2023
22,Dorian Thompson-Robinson,14,29,48.3,134,4.6,1,0,0,5,21,0,0,1,11.5,11.5,0.6%,CLE,12,2023
23,Brock Purdy,21,30,70.0,209,7.0,1,1,1,3,1,0,0,1,11.5,11.5,92.3%,SF,12,2023
24,Justin Fields,27,37,73.0,217,5.9,0,0,3,12,59,0,2,1,10.6,10.6,50.1%,PIT,12,2023
25,Tommy DeVito,17,25,68.0,191,7.6,1,0,6,5,6,0,1,1,10.2,10.2,3.1%,NYG,12,2023
26,Tua Tagovailoa,21,30,70.0,243,8.1,1,2,2,2,1,0,1,1,9.8,9.8,80.2%,MIA,12,2023
27,Tim Boyle,27,38,71.1,179,4.7,1,2,7,2,2,0,0,1,9.4,9.4,0.0%,HOU,12,2023
28,Joshua Dobbs,22,32,68.8,185,5.8,1,4,2,2,11,0,0,1,8.5,8.5,11.2%,SF,12,2023
29,Geno Smith,18,27,66.7,180,6.7,0,1,6,4,21,0,0,1,8.3,8.3,38.4%,SEA,12,2023
30,Bryce Young,18,31,58.1,194,6.3,0,0,4,3,23,0,1,1,8.1,8.1,9.4%,CAR,12,2023
31,Will Levis,18,28,64.3,185,6.6,0,0,1,3,-3,0,0,1,7.1,7.1,10.3%,TEN,12,2023
32,Clayton Tune,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,2.0,2.0,0.1%,ARI,12,2023
33,Mac Jones,12,21,57.1,89,4.2,0,2,1,0,0,0,0,1,1.6,1.6,2.2%,JAC,12,2023
34,Bailey Zappe,9,14,64.3,54,3.9,0,1,1,0,0,0,0,1,1.2,1.2,1.1%,NE,12,2023
35,P.J. Walker,6,13,46.2,56,4.3,0,0,4,1,-1,0,1,1,0.1,0.1,0.0%,SEA,12,2023
36,Zach Wilson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.3%,DEN,12,2023
37,Davis Mills,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,HOU,12,2023
38,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,76.9%,WAS,12,2023
39,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%,DEN,12,2023
40,Emory Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,12,2023
41,Kyle Trask,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,TB,12,2023
42,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,IND,12,2023
43,Sean Clifford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,GB,12,2023
44,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,12,2023
45,Joe Burrow,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%,CIN,12,2023
46,Jacob Eason,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2023
47,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,CLE,12,2023
48,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,DAL,12,2023
49,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,KC,12,2023
50,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50.2%,NYJ,12,2023
51,Michael Pratt,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,12,2023
52,Tanner Mordecai,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,12,2023
53,Nathan Rourke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,12,2023
54,Tyson Bagent,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,CHI,12,2023
55,Jordan Travis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,NYJ,12,2023
56,Dresser Winn,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAR,12,2023
57,Chris Oladokun,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,KC,12,2023
58,Devin Leary,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,12,2023
59,Jake Haener,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,12,2023
60,Tanner McKee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,12,2023
61,Rocky Lombardi,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CIN,12,2023
62,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,12,2023
63,Casey Bauman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,12,2023
64,Gunnar Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,12,2023
65,Zack Annexstad,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,12,2023
66,John Paddock,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,12,2023
67,Jack Plummer,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,12,2023
68,Andrew Peasley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,12,2023
69,Cade Peterson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,12,2023
70,Wiliam Thompson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,12,2023
