Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tua Tagovailoa,28,45,62.2,466,10.4,3,1,0,5,5,0,1,1,28.1,28.1,80.2%,MIA,1,2023
2,Mac Jones,35,54,64.8,316,5.9,3,1,2,2,15,0,0,1,25.1,25.1,2.2%,JAC,1,2023
3,Jordan Love,15,27,55.6,245,9.1,3,0,1,3,12,0,0,1,23.0,23.0,86.0%,GB,1,2023
4,Anthony Richardson,24,37,64.9,223,6.0,1,1,4,10,40,1,0,1,21.9,21.9,58.3%,IND,1,2023
5,Deshaun Watson,16,29,55.2,154,5.3,1,1,3,5,45,1,0,1,21.7,21.7,31.0%,CLE,1,2023
6,Justin Herbert,23,33,69.7,229,6.9,1,0,3,5,17,1,0,1,20.9,20.9,64.6%,LAC,1,2023
7,Patrick Mahomes II,21,39,53.8,226,5.8,2,1,0,6,45,0,0,1,20.5,20.5,99.4%,KC,1,2023
8,Trevor Lawrence,24,32,75.0,241,7.5,2,1,2,7,21,0,0,1,18.7,18.7,71.3%,JAC,1,2023
9,Kirk Cousins,33,44,75.0,344,7.8,2,1,2,3,7,0,2,1,17.5,17.5,40.2%,ATL,1,2023
10,Brock Purdy,19,29,65.5,220,7.6,2,0,3,3,20,0,1,1,16.8,16.8,92.3%,SF,1,2023
11,Sam Howell,19,31,61.3,202,6.5,1,1,6,2,11,1,1,1,16.2,16.2,29.0%,SEA,1,2023
12,Jimmy Garoppolo,20,26,76.9,200,7.7,2,1,0,9,11,0,0,1,16.1,16.1,1.7%,LAR,1,2023
13,Baker Mayfield,21,34,61.8,173,5.1,2,0,1,8,11,0,0,1,16.0,16.0,43.7%,TB,1,2023
14,Derek Carr,23,33,69.7,305,9.2,1,1,4,3,4,0,0,1,15.6,15.6,25.1%,NO,1,2023
15,Justin Fields,24,37,64.9,216,5.8,1,1,4,9,59,0,1,1,15.5,15.5,50.1%,PIT,1,2023
16,Russell Wilson,27,34,79.4,177,5.2,2,0,2,1,1,0,0,1,15.2,15.2,30.9%,PIT,1,2023
17,Matthew Stafford,24,38,63.2,334,8.8,0,0,0,3,11,0,0,1,14.5,14.5,57.6%,LAR,1,2023
18,Jared Goff,22,35,62.9,253,7.2,1,0,1,5,-1,0,0,1,14.0,14.0,70.6%,DET,1,2023
19,Jalen Hurts,22,33,66.7,170,5.2,1,0,3,9,37,0,1,1,12.5,12.5,99.9%,PHI,1,2023
