Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Herbert,40,47,85.1,405,8.6,3,0,1,2,11,0,0,1,29.3,29.3,64.6%,LAC,3,2023
2,Tua Tagovailoa,23,26,88.5,309,11.9,4,0,0,0,0,0,0,1,28.4,28.4,80.2%,MIA,3,2023
3,Lamar Jackson,22,31,71.0,202,6.5,0,0,4,14,101,2,1,1,28.2,28.2,99.3%,BAL,3,2023
4,Kirk Cousins,32,50,64.0,367,7.3,3,1,4,1,10,0,0,1,26.7,26.7,40.2%,ATL,3,2023
5,Patrick Mahomes II,24,33,72.7,272,8.2,3,0,0,3,28,0,0,1,25.7,25.7,99.4%,KC,3,2023
6,Jordan Love,22,44,50.0,259,5.9,1,1,1,9,39,1,0,1,25.3,25.3,86.0%,GB,3,2023
7,Andy Dalton,34,58,58.6,361,6.2,2,0,3,2,11,0,0,1,23.5,23.5,0.2%,CAR,3,2023
8,Josh Allen,20,32,62.5,218,6.8,1,1,0,3,46,1,0,1,22.3,22.3,99.9%,BUF,3,2023
9,Jalen Hurts,23,37,62.2,277,7.5,1,2,1,10,28,1,0,1,21.9,21.9,99.9%,PHI,3,2023
10,Deshaun Watson,27,33,81.8,289,8.8,2,0,3,4,16,0,0,1,21.2,21.2,31.0%,CLE,3,2023
11,Jimmy Garoppolo,28,44,63.6,324,7.4,2,3,4,2,7,0,0,1,20.7,20.7,1.7%,LAR,3,2023
12,C.J. Stroud,20,30,66.7,280,9.3,2,0,0,3,14,0,0,1,20.6,20.6,92.9%,HOU,3,2023
13,Brock Purdy,25,37,67.6,310,8.4,2,0,2,4,-1,0,0,1,20.3,20.3,92.3%,SF,3,2023
14,Jared Goff,22,33,66.7,243,7.4,1,1,0,5,3,1,0,1,19.0,19.0,70.6%,DET,3,2023
15,Kenny Pickett,16,28,57.1,235,8.4,2,0,1,3,11,0,0,1,18.5,18.5,6.9%,PHI,3,2023
16,Joshua Dobbs,17,21,81.0,189,9.0,1,0,2,6,55,0,0,1,17.1,17.1,11.2%,SF,3,2023
17,Geno Smith,23,36,63.9,296,8.2,1,1,2,4,-4,0,0,1,16.4,16.4,38.4%,SEA,3,2023
18,Trevor Lawrence,27,40,67.5,279,7.0,1,1,0,3,12,0,0,1,15.4,15.4,71.3%,JAC,3,2023
19,Dak Prescott,25,40,62.5,249,6.2,1,1,2,3,24,0,0,1,15.4,15.4,96.3%,DAL,3,2023
20,Russell Wilson,23,38,60.5,306,8.1,1,1,1,0,0,0,0,1,15.2,15.2,30.9%,PIT,3,2023
21,Matthew Stafford,18,33,54.5,269,8.2,1,2,6,1,7,0,0,1,13.5,13.5,57.6%,LAR,3,2023
22,Mac Jones,15,29,51.7,201,6.9,1,0,0,4,13,0,0,1,13.3,13.3,2.2%,JAC,3,2023
23,Gardner Minshew II,27,44,61.4,227,5.2,1,0,5,0,0,0,0,1,13.1,13.1,16.8%,LV,3,2023
24,Justin Fields,11,22,50.0,99,4.5,1,1,3,11,47,0,0,1,11.7,11.7,50.1%,PIT,3,2023
25,Baker Mayfield,15,25,60.0,146,5.8,1,1,2,1,2,0,0,1,11.0,11.0,43.7%,TB,3,2023
26,Joe Burrow,26,49,53.1,259,5.3,0,1,2,3,-2,0,0,1,9.2,9.2,63.5%,CIN,3,2023
27,Derek Carr,13,18,72.2,103,5.7,1,0,3,0,0,0,0,1,8.1,8.1,25.1%,NO,3,2023
28,Mike White,2,2,100.0,67,33.5,1,0,0,1,-1,0,0,1,6.6,6.6,0.2%,MIA,3,2023
29,Zach Wilson,18,36,50.0,157,4.4,0,0,3,1,1,0,0,1,6.4,6.4,2.3%,DEN,3,2023
30,Desmond Ridder,21,38,55.3,201,5.3,0,0,7,2,3,0,1,1,6.3,6.3,3.7%,ARI,3,2023
31,Daniel Jones,22,32,68.8,137,4.3,0,1,2,2,5,0,0,1,5.0,5.0,10.7%,NYG,3,2023
32,Sam Howell,19,29,65.5,170,5.9,0,4,9,1,18,0,0,1,4.6,4.6,29.0%,SEA,3,2023
33,Ryan Tannehill,13,25,52.0,104,4.2,0,0,5,0,0,0,0,1,4.2,4.2,1.1%,FA,3,2023
34,Jameis Winston,10,16,62.5,101,6.3,0,0,1,0,0,0,0,1,4.0,4.0,0.8%,CLE,3,2023
35,C.J. Beathard,2,2,100.0,9,4.5,0,0,0,0,0,0,0,1,0.4,0.4,1.0%,JAC,3,2023
36,Tyrod Taylor,0,1,0.0,0,0.0,0,0,0,1,2,0,0,1,0.2,0.2,2.7%,NYJ,3,2023
37,Casey Bauman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,3,2023
38,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,3,2023
39,Davis Mills,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,HOU,3,2023
40,Bryce Young,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,9.4%,CAR,3,2023
41,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,76.9%,WAS,3,2023
42,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%,DEN,3,2023
43,Gunnar Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,3,2023
44,Zack Annexstad,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,3,2023
45,Andrew Peasley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,3,2023
46,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,TB,3,2023
47,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,IND,3,2023
48,Aeneas Dennis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,3,2023
49,Jeremy Moussa,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,3,2023
50,Wiliam Thompson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,3,2023
51,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,CLE,3,2023
52,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,3,2023
53,Cade Peterson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,3,2023
54,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,KC,3,2023
