Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Lamar Jackson,24,43,55.8,316,7.3,3,1,2,11,70,0,0,1,32.6,32.6,99.3%,BAL,14,2023
2,Desmond Ridder,26,40,65.0,347,8.7,1,1,3,4,15,1,0,1,26.4,26.4,3.7%,ARI,14,2023
3,Justin Fields,19,33,57.6,223,6.8,1,0,3,12,58,1,0,1,24.7,24.7,50.1%,PIT,14,2023
4,Jake Browning,18,24,75.0,275,11.5,2,1,0,3,7,1,0,1,24.7,24.7,20.8%,CIN,14,2023
5,Matthew Stafford,23,41,56.1,294,7.2,3,0,2,1,-1,0,0,1,23.7,23.7,57.6%,LAR,14,2023
6,Brock Purdy,19,27,70.4,368,13.6,2,1,3,2,7,0,0,1,22.4,22.4,92.3%,SF,14,2023
7,Bailey Zappe,19,28,67.9,240,8.6,3,1,2,3,13,0,0,1,21.9,21.9,1.1%,NE,14,2023
8,Mitchell Trubisky,22,35,62.9,190,5.4,1,1,2,8,30,1,0,1,21.6,21.6,1.1%,BUF,14,2023
9,Josh Allen,23,42,54.8,233,5.5,1,1,3,10,32,1,0,1,21.5,21.5,99.9%,BUF,14,2023
10,Joe Flacco,26,45,57.8,311,6.9,3,1,1,4,-1,0,1,1,21.3,21.3,17.3%,IND,14,2023
11,Trevor Lawrence,28,50,56.0,257,5.1,3,3,4,3,11,0,0,1,20.4,20.4,71.3%,JAC,14,2023
12,Baker Mayfield,14,29,48.3,144,5.0,2,0,1,3,3,1,0,1,20.1,20.1,43.7%,TB,14,2023
13,Zach Wilson,27,36,75.0,301,8.4,2,0,4,3,12,0,1,1,19.2,19.2,2.3%,DEN,14,2023
14,Dak Prescott,24,39,61.5,271,6.9,2,0,3,3,11,0,1,1,17.9,17.9,96.3%,DAL,14,2023
15,Will Levis,23,38,60.5,327,8.6,1,1,1,4,15,0,1,1,17.6,17.6,10.3%,TEN,14,2023
16,Tommy DeVito,17,21,81.0,158,7.5,1,0,0,10,71,0,0,1,17.4,17.4,3.1%,NYG,14,2023
17,Drew Lock,22,31,71.0,269,8.7,2,2,4,3,5,0,0,1,17.3,17.3,1.7%,NYG,14,2023
18,Russell Wilson,21,33,63.6,224,6.8,2,1,2,6,5,0,0,1,16.5,16.5,30.9%,PIT,14,2023
19,Gardner Minshew II,26,39,66.7,240,6.2,1,1,3,2,5,0,0,1,15.1,15.1,16.8%,LV,14,2023
20,Patrick Mahomes II,25,43,58.1,271,6.3,1,1,1,1,8,0,0,1,14.6,14.6,99.4%,KC,14,2023
21,Derek Carr,18,26,69.2,119,4.6,2,1,1,0,0,0,0,1,11.8,11.8,25.1%,NO,14,2023
22,Jordan Love,25,39,64.1,218,5.6,1,1,2,2,2,0,1,1,9.9,9.9,86.0%,GB,14,2023
23,Tua Tagovailoa,23,33,69.7,240,7.3,0,0,5,3,15,0,1,1,9.1,9.1,80.2%,MIA,14,2023
24,Jalen Hurts,18,27,66.7,197,7.3,0,0,1,5,30,0,1,1,8.9,8.9,99.9%,PHI,14,2023
25,Jared Goff,20,35,57.1,161,4.6,1,2,4,1,0,0,0,1,8.4,8.4,70.6%,DET,14,2023
26,Bryce Young,13,36,36.1,137,3.8,0,0,4,3,40,0,1,1,7.5,7.5,9.4%,CAR,14,2023
27,Aidan O'Connell,21,32,65.6,171,5.3,0,1,4,1,2,0,0,1,6.0,6.0,3.1%,LV,14,2023
28,Easton Stick,13,24,54.2,179,7.5,0,0,2,0,0,0,1,1,5.2,5.2,1.6%,LAC,14,2023
29,Joshua Dobbs,10,23,43.5,63,2.7,0,0,5,5,21,0,0,1,4.6,4.6,11.2%,SF,14,2023
30,C.J. Stroud,10,23,43.5,91,4.0,0,0,4,0,0,0,0,1,3.6,3.6,92.9%,HOU,14,2023
31,Nick Mullens,9,13,69.2,83,6.4,0,0,0,0,0,0,0,1,3.3,3.3,4.1%,MIN,14,2023
32,Justin Herbert,9,17,52.9,96,5.6,0,1,4,0,0,0,0,1,2.8,2.8,64.6%,LAC,14,2023
33,Dorian Thompson-Robinson,0,0,0.0,0,0.0,0,0,0,1,5,0,0,1,0.5,0.5,0.6%,CLE,14,2023
34,Davis Mills,1,5,20.0,4,0.8,0,0,1,0,0,0,0,1,0.2,0.2,0.1%,HOU,14,2023
35,Joe Burrow,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%,CIN,14,2023
36,Kenny Pickett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,PHI,14,2023
37,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,76.9%,WAS,14,2023
38,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%,DEN,14,2023
39,Emory Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,14,2023
40,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,TB,14,2023
41,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,IND,14,2023
42,Sean Clifford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,GB,14,2023
43,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,CLE,14,2023
44,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,14,2023
45,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,DAL,14,2023
46,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,JAC,14,2023
47,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,KC,14,2023
48,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50.2%,NYJ,14,2023
49,Michael Pratt,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,14,2023
50,Clayton Tune,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,ARI,14,2023
51,Tanner Mordecai,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,14,2023
52,Nathan Rourke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,14,2023
53,Tyson Bagent,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,CHI,14,2023
54,Jordan Travis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,NYJ,14,2023
55,Dresser Winn,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAR,14,2023
56,Chris Oladokun,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,KC,14,2023
57,Devin Leary,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,14,2023
58,Jake Haener,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,14,2023
59,Tanner McKee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,14,2023
60,Rocky Lombardi,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CIN,14,2023
61,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,14,2023
62,Casey Bauman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,14,2023
63,Gunnar Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,14,2023
64,Zack Annexstad,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,14,2023
65,John Paddock,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,14,2023
66,Jack Plummer,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,14,2023
67,Andrew Peasley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,14,2023
68,Cade Peterson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,14,2023
69,Wiliam Thompson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,14,2023
70,Jeremy Moussa,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,14,2023
71,Aeneas Dennis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,14,2023
72,Jason Bean,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,14,2023
73,Joe Milton III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,NE,14,2023
74,Carter Bradley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,14,2023
75,Gavin Hardison,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,MIA,14,2023
76,Austin Reed,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,14,2023
77,Michael Penix Jr.,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.9%,ATL,14,2023
78,Max Duggan,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,14,2023
79,Caleb Williams,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,80.6%,CHI,14,2023
80,Kedon Slovis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,14,2023
81,Spencer Rattler,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5%,NO,14,2023
82,Malik Cunningham,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,BAL,14,2023
83,Taulia Tagovailoa,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,14,2023
84,J.J. McCarthy,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,18.2%,MIN,14,2023
85,Sam Howell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,29.0%,SEA,14,2023
86,Drake Maye,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.8%,NE,14,2023
87,Hendon Hooker,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,DET,14,2023
88,Sam Hartman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,14,2023
89,Anthony Richardson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,58.3%,IND,14,2023
90,Malik Willis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TEN,14,2023
91,Stetson Bennett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,LAR,14,2023
92,Skylar Thompson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIA,14,2023
93,Jaren Hall,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%,MIN,14,2023
