Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dak Prescott,21,30,70.0,272,9.1,1,0,5,7,40,1,0,1,24.9,24.9,96.3%,DAL,6,2023
2,Jalen Hurts,28,45,62.2,280,6.2,1,3,2,8,47,1,0,1,22.9,22.9,99.9%,PHI,6,2023
3,Tua Tagovailoa,21,31,67.7,262,8.5,3,0,0,1,0,0,0,1,22.5,22.5,80.2%,MIA,6,2023
4,Jared Goff,30,44,68.2,353,8.0,2,0,3,2,3,0,0,1,22.4,22.4,70.6%,DET,6,2023
5,Justin Herbert,22,37,59.5,227,6.1,2,1,1,6,20,0,0,1,20.1,20.1,64.6%,LAC,6,2023
6,Desmond Ridder,28,47,59.6,307,6.5,2,3,3,2,18,0,0,1,19.1,19.1,3.7%,ARI,6,2023
7,Sam Howell,14,23,60.9,151,6.6,3,0,5,4,3,0,0,1,18.3,18.3,29.0%,SEA,6,2023
8,Patrick Mahomes II,30,40,75.0,306,7.7,1,1,2,6,31,0,0,1,18.3,18.3,99.4%,KC,6,2023
9,Lamar Jackson,21,30,70.0,223,7.4,1,1,1,13,62,0,0,1,18.1,18.1,99.3%,BAL,6,2023
10,Derek Carr,32,50,64.0,353,7.1,1,1,2,1,2,0,0,1,17.3,17.3,25.1%,NO,6,2023
11,Trevor Lawrence,20,30,66.7,181,6.0,2,1,3,3,15,0,0,1,15.7,15.7,71.3%,JAC,6,2023
12,C.J. Stroud,13,27,48.1,199,7.4,2,1,2,3,2,0,0,1,15.2,15.2,92.9%,HOU,6,2023
13,Josh Allen,19,30,63.3,169,5.6,2,1,0,2,11,0,0,1,14.9,14.9,99.9%,BUF,6,2023
14,Joe Burrow,24,35,68.6,185,5.3,2,1,3,2,4,0,0,1,14.8,14.8,63.5%,CIN,6,2023
15,Matthew Stafford,15,24,62.5,226,9.4,1,0,3,1,2,0,0,1,13.2,13.2,57.6%,LAR,6,2023
16,Geno Smith,27,41,65.9,326,8.0,0,2,4,4,20,0,0,1,13.0,13.0,38.4%,SEA,6,2023
17,Bryce Young,23,38,60.5,217,5.7,1,0,4,0,0,0,0,1,12.7,12.7,9.4%,CAR,6,2023
18,Gardner Minshew II,33,55,60.0,329,6.0,1,3,3,2,4,0,1,1,12.6,12.6,16.8%,LV,6,2023
19,Joshua Dobbs,21,41,51.2,235,5.7,0,1,2,7,47,0,1,1,11.1,11.1,11.2%,SF,6,2023
20,Zach Wilson,19,33,57.6,186,5.6,0,0,5,4,15,0,0,1,10.9,10.9,2.3%,DEN,6,2023
21,Tyrod Taylor,24,36,66.7,200,5.6,0,0,3,5,24,0,0,1,10.4,10.4,2.7%,NYJ,6,2023
22,Jimmy Garoppolo,14,22,63.6,162,7.4,1,1,0,2,4,0,0,1,9.9,9.9,1.7%,LAR,6,2023
23,Russell Wilson,13,22,59.1,95,4.3,1,2,4,4,31,0,0,1,8.9,8.9,30.9%,PIT,6,2023
24,Kirk Cousins,21,31,67.7,181,5.8,1,0,2,2,-5,0,1,1,8.7,8.7,40.2%,ATL,6,2023
25,Brock Purdy,12,27,44.4,125,4.6,1,1,3,3,7,0,0,1,8.7,8.7,92.3%,SF,6,2023
26,Baker Mayfield,19,37,51.4,206,5.6,0,1,1,2,6,0,0,1,7.8,7.8,43.7%,TB,6,2023
27,Mac Jones,24,33,72.7,200,6.1,0,1,3,1,-1,0,0,1,6.9,6.9,2.2%,JAC,6,2023
28,Tyson Bagent,10,14,71.4,83,5.9,0,1,1,2,4,1,1,1,6.7,6.7,0.7%,CHI,6,2023
29,Justin Fields,6,10,60.0,58,5.8,0,1,4,8,46,0,0,1,5.9,5.9,50.1%,PIT,6,2023
30,P.J. Walker,18,34,52.9,192,5.6,0,2,2,3,1,0,0,1,5.8,5.8,0.0%,SEA,6,2023
31,Malik Willis,4,5,80.0,74,14.8,0,0,4,3,17,0,0,1,4.7,4.7,0.1%,TEN,6,2023
32,Brian Hoyer,6,10,60.0,102,10.2,0,0,0,3,-3,0,0,1,3.8,3.8,0.0%,FA,6,2023
33,Ryan Tannehill,8,16,50.0,76,4.8,0,1,2,0,0,0,0,1,2.0,2.0,1.1%,FA,6,2023
34,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50.2%,NYJ,6,2023
35,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,76.9%,WAS,6,2023
36,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%,DEN,6,2023
37,Emory Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,6,2023
38,Davis Mills,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,HOU,6,2023
