Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dak Prescott,26,35,74.3,404,11.5,4,1,0,2,17,1,0,1,38.9,38.9,96.3%,DAL,10,2023
2,Justin Herbert,27,40,67.5,323,8.1,4,1,0,4,15,0,0,1,29.4,29.4,64.6%,LAC,10,2023
3,Joshua Dobbs,23,34,67.6,268,7.9,1,0,1,8,44,1,0,1,25.1,25.1,11.2%,SF,10,2023
4,Sam Howell,29,44,65.9,312,7.1,3,0,3,2,17,0,1,1,24.2,24.2,29.0%,SEA,10,2023
5,Geno Smith,31,47,66.0,369,7.9,2,0,1,1,13,0,0,1,24.1,24.1,38.4%,SEA,10,2023
6,Brock Purdy,19,26,73.1,296,11.4,3,0,2,0,0,0,0,1,23.8,23.8,92.3%,SF,10,2023
7,Joe Burrow,27,40,67.5,347,8.7,2,2,4,5,20,0,0,1,21.9,21.9,63.5%,CIN,10,2023
8,Jared Goff,23,33,69.7,333,10.1,2,0,0,3,-2,0,0,1,21.1,21.1,70.6%,DET,10,2023
9,C.J. Stroud,23,39,59.0,356,9.1,1,1,1,2,8,1,2,1,20.0,20.0,92.9%,HOU,10,2023
10,Baker Mayfield,18,29,62.1,278,9.6,2,1,3,3,12,0,0,1,19.3,19.3,43.7%,TB,10,2023
11,Russell Wilson,24,29,82.8,193,6.7,2,0,4,9,30,0,0,1,18.7,18.7,30.9%,PIT,10,2023
12,Jordan Love,21,40,52.5,289,7.2,2,2,1,2,11,0,0,1,18.7,18.7,86.0%,GB,10,2023
13,Kyler Murray,19,32,59.4,249,7.8,0,1,2,6,33,1,0,1,18.3,18.3,78.6%,ARI,10,2023
14,Deshaun Watson,20,34,58.8,213,6.3,1,1,4,8,37,0,0,1,17.2,17.2,31.0%,CLE,10,2023
15,Josh Allen,15,26,57.7,177,6.8,1,2,0,4,13,1,1,1,16.4,16.4,99.9%,BUF,10,2023
16,Lamar Jackson,13,23,56.5,223,9.7,1,2,3,8,41,0,0,1,15.0,15.0,99.3%,BAL,10,2023
17,Zach Wilson,23,39,59.0,263,6.7,0,1,2,4,54,0,0,1,14.9,14.9,2.3%,DEN,10,2023
18,Tommy DeVito,14,27,51.9,86,3.2,2,1,5,7,41,0,0,1,14.5,14.5,3.1%,NYG,10,2023
19,Jameis Winston,13,25,52.0,122,4.9,2,2,1,0,0,0,0,1,10.9,10.9,0.8%,CLE,10,2023
20,Taylor Heinicke,8,15,53.3,55,3.7,1,0,3,4,34,0,0,1,9.6,9.6,3.1%,ATL,10,2023
21,Aidan O'Connell,16,27,59.3,153,5.7,1,1,3,2,3,0,0,1,9.4,9.4,3.1%,LV,10,2023
22,Bryce Young,21,38,55.3,185,4.9,0,0,3,3,18,0,0,1,9.2,9.2,9.4%,CAR,10,2023
23,Desmond Ridder,4,6,66.7,39,6.5,0,0,0,3,11,1,0,1,8.7,8.7,3.7%,ARI,10,2023
24,Mac Jones,15,20,75.0,170,8.5,0,1,5,3,25,0,0,1,8.3,8.3,2.2%,JAC,10,2023
25,Tyson Bagent,20,33,60.6,162,4.9,0,0,0,6,12,0,0,1,7.7,7.7,0.7%,CHI,10,2023
26,Will Levis,19,39,48.7,199,5.1,0,1,4,0,0,0,0,1,7.0,7.0,10.3%,TEN,10,2023
27,Gardner Minshew II,18,28,64.3,194,6.9,0,1,0,2,-1,0,0,1,6.7,6.7,16.8%,LV,10,2023
28,Kenny Pickett,14,23,60.9,126,5.5,0,0,1,4,16,0,0,1,6.6,6.6,6.9%,PHI,10,2023
29,Clayton Tune,0,0,0.0,0,0.0,0,0,0,1,1,1,0,1,6.1,6.1,0.1%,ARI,10,2023
30,Derek Carr,13,18,72.2,110,6.1,0,0,2,1,10,0,0,1,5.4,5.4,25.1%,NO,10,2023
31,Trevor Lawrence,17,29,58.6,185,6.4,0,2,5,2,7,0,1,1,4.1,4.1,71.3%,JAC,10,2023
32,Cooper Rush,7,9,77.8,68,7.6,0,1,0,2,5,0,0,1,2.2,2.2,0.2%,DAL,10,2023
33,C.J. Beathard,1,2,50.0,5,2.5,0,0,0,0,0,0,0,1,0.2,0.2,1.0%,JAC,10,2023
34,Emory Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,10,2023
35,Davis Mills,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,HOU,10,2023
36,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%,DEN,10,2023
37,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,76.9%,WAS,10,2023
38,Justin Fields,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50.1%,PIT,10,2023
39,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,IND,10,2023
40,Sean Clifford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,GB,10,2023
41,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,10,2023
42,Tua Tagovailoa,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,80.2%,MIA,10,2023
43,Jalen Hurts,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.9%,PHI,10,2023
44,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,CLE,10,2023
45,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,DAL,10,2023
46,Dorian Thompson-Robinson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,CLE,10,2023
47,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,KC,10,2023
48,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50.2%,NYJ,10,2023
49,Michael Pratt,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,10,2023
50,Tanner Mordecai,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,10,2023
51,Nathan Rourke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYG,10,2023
52,Jordan Travis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,NYJ,10,2023
53,Dresser Winn,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAR,10,2023
54,Tanner McKee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,10,2023
55,Chris Oladokun,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,KC,10,2023
56,Devin Leary,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,10,2023
57,Jake Haener,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,10,2023
58,Rocky Lombardi,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CIN,10,2023
59,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,10,2023
60,Casey Bauman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,10,2023
61,Gunnar Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,10,2023
62,Zack Annexstad,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,10,2023
63,John Paddock,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,10,2023
