Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Geno Smith,23,41,56.1,334,8.1,3,1,0,2,6,1,0,1,31.0,31.0,38.4%,SEA,13,2023
2,Brock Purdy,19,27,70.4,314,11.6,4,0,2,2,9,0,0,1,29.5,29.5,92.3%,SF,13,2023
3,Dak Prescott,29,41,70.7,299,7.3,3,0,4,7,23,0,0,1,28.3,28.3,96.3%,DAL,13,2023
4,Jake Browning,32,37,86.5,354,9.6,1,0,2,2,22,1,0,1,26.7,26.7,20.8%,CIN,13,2023
5,Trevor Lawrence,22,29,75.9,258,8.9,2,0,2,5,8,1,0,1,25.1,25.1,71.3%,JAC,13,2023
6,Jalen Hurts,26,45,57.8,298,6.6,1,0,3,7,20,1,0,1,23.9,23.9,99.9%,PHI,13,2023
7,Jordan Love,25,36,69.4,267,7.4,3,0,2,2,10,0,0,1,23.7,23.7,86.0%,GB,13,2023
8,Matthew Stafford,22,37,59.5,279,7.5,3,0,0,1,-2,0,0,1,23.0,23.0,57.6%,LAR,13,2023
9,Sam Howell,12,23,52.2,127,5.5,0,1,3,4,21,2,0,1,20.2,20.2,29.0%,SEA,13,2023
10,Tua Tagovailoa,18,24,75.0,280,11.7,2,0,0,0,0,0,0,1,19.2,19.2,80.2%,MIA,13,2023
11,Russell Wilson,15,26,57.7,186,7.2,1,3,3,10,44,1,0,1,18.8,18.8,30.9%,PIT,13,2023
12,Gardner Minshew II,26,42,61.9,312,7.4,2,0,3,3,2,0,1,1,18.7,18.7,16.8%,LV,13,2023
13,Joe Flacco,23,44,52.3,254,5.8,2,1,2,0,0,0,0,1,17.2,17.2,17.3%,IND,13,2023
14,Jared Goff,16,25,64.0,213,8.5,2,0,1,2,-2,0,0,1,16.3,16.3,70.6%,DET,13,2023
15,C.J. Stroud,16,27,59.3,274,10.1,1,0,5,6,11,0,0,1,16.1,16.1,92.9%,HOU,13,2023
16,Patrick Mahomes II,21,33,63.6,210,6.4,1,1,3,4,26,0,0,1,14.0,14.0,99.4%,KC,13,2023
17,Kyler Murray,13,23,56.5,145,6.3,1,0,2,9,20,0,0,1,11.8,11.8,78.6%,ARI,13,2023
18,Will Levis,16,33,48.5,224,6.8,1,0,6,2,5,0,1,1,11.5,11.5,10.3%,TEN,13,2023
19,Baker Mayfield,14,29,48.3,202,7.0,1,1,1,2,-2,0,0,1,10.9,10.9,43.7%,TB,13,2023
20,Derek Carr,17,22,77.3,226,10.3,1,1,2,2,-1,0,1,1,9.9,9.9,25.1%,NO,13,2023
