Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,C.J. Stroud,30,42,71.4,470,11.2,5,0,3,0,10,0,0,1,41.8,41.8,92.9%,HOU,9,2023
2,Dak Prescott,29,44,65.9,374,8.5,3,0,5,6,14,0,0,1,28.4,28.4,96.3%,DAL,9,2023
3,Jalen Hurts,17,23,73.9,207,9.0,2,0,3,10,36,1,0,1,25.9,25.9,99.9%,PHI,9,2023
4,Josh Allen,26,38,68.4,258,6.8,1,1,1,8,44,1,0,1,25.7,25.7,99.9%,BUF,9,2023
5,Joshua Dobbs,20,30,66.7,158,5.3,2,0,3,7,66,1,2,1,24.9,24.9,11.2%,SF,9,2023
6,Joe Burrow,31,44,70.5,348,7.9,2,0,1,5,4,0,0,1,22.3,22.3,63.5%,CIN,9,2023
7,Deshaun Watson,19,30,63.3,219,7.3,2,0,1,3,22,0,0,1,19.0,19.0,31.0%,CLE,9,2023
8,Baker Mayfield,21,30,70.0,265,8.8,2,0,2,4,4,0,0,1,19.0,19.0,43.7%,TB,9,2023
9,Tyson Bagent,18,30,60.0,220,7.3,2,3,2,8,70,0,1,1,18.8,18.8,0.7%,CHI,9,2023
10,Sam Howell,29,45,64.4,325,7.2,1,1,3,5,27,0,0,1,18.7,18.7,29.0%,SEA,9,2023
11,Derek Carr,25,34,73.5,211,6.2,2,0,0,3,3,0,0,1,16.7,16.7,25.1%,NO,9,2023
12,Patrick Mahomes II,20,30,66.7,185,6.2,2,0,2,6,24,0,1,1,15.8,15.8,99.4%,KC,9,2023
13,Taylor Heinicke,21,38,55.3,268,7.1,1,1,1,3,20,0,0,1,15.7,15.7,3.1%,ATL,9,2023
14,Jordan Love,20,26,76.9,228,8.8,1,0,4,4,7,0,0,1,13.8,13.8,86.0%,GB,9,2023
15,Tua Tagovailoa,21,34,61.8,193,5.7,1,0,3,2,7,0,0,1,12.4,12.4,80.2%,MIA,9,2023
16,Mac Jones,24,44,54.5,220,5.0,1,1,0,3,3,0,0,1,12.1,12.1,2.2%,JAC,9,2023
17,Bryce Young,24,39,61.5,173,4.4,1,3,4,5,41,0,0,1,12.0,12.0,9.4%,CAR,9,2023
18,Lamar Jackson,21,26,80.8,187,7.2,0,0,1,10,60,0,1,1,11.5,11.5,99.3%,BAL,9,2023
19,Tommy DeVito,15,20,75.0,175,8.8,1,2,6,4,17,0,0,1,10.7,10.7,3.1%,NYG,9,2023
20,Kenny Pickett,19,30,63.3,160,5.3,1,0,0,1,-1,0,0,1,10.3,10.3,6.9%,PHI,9,2023
