Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Lamar Jackson,18,21,85.7,321,15.3,5,0,1,6,35,0,0,1,36.3,36.3,99.3%,BAL,17,2023
2,Jordan Love,24,33,72.7,256,7.8,3,0,0,2,2,1,0,1,28.4,28.4,86.0%,GB,17,2023
3,Justin Fields,20,32,62.5,268,8.4,1,0,3,11,45,1,0,1,25.2,25.2,50.1%,PIT,17,2023
4,Kyler Murray,25,31,80.6,232,7.5,3,1,1,5,24,0,0,1,24.7,24.7,78.6%,ARI,17,2023
5,Joe Flacco,19,29,65.5,309,10.7,3,1,1,2,3,0,0,1,23.7,23.7,17.3%,IND,17,2023
6,Josh Allen,15,30,50.0,169,5.6,0,1,1,11,44,2,0,1,22.2,22.2,99.9%,BUF,17,2023
7,Dak Prescott,26,38,68.4,345,9.1,2,1,3,2,5,0,0,1,21.3,21.3,96.3%,DAL,17,2023
8,Jake Browning,19,33,57.6,197,6.0,1,0,6,7,32,1,0,1,21.1,21.1,20.8%,CIN,17,2023
9,Aidan O'Connell,30,47,63.8,299,6.4,2,0,2,2,3,0,0,1,20.3,20.3,3.1%,LV,17,2023
10,Jalen Hurts,18,23,78.3,167,7.3,3,1,0,8,25,0,0,1,20.2,20.2,99.9%,PHI,17,2023
11,Tyrod Taylor,27,41,65.9,319,7.8,1,1,6,6,40,0,0,1,19.8,19.8,2.7%,NYJ,17,2023
12,Baker Mayfield,22,33,66.7,309,9.4,2,2,2,1,-1,0,0,1,18.3,18.3,43.7%,TB,17,2023
13,Taylor Heinicke,10,29,34.5,163,5.6,1,3,2,4,46,1,0,1,18.1,18.1,3.1%,ATL,17,2023
14,Brock Purdy,22,28,78.6,230,8.2,2,0,0,1,4,0,0,1,17.6,17.6,92.3%,SF,17,2023
15,Geno Smith,23,33,69.7,290,8.8,1,0,1,3,33,0,1,1,16.9,16.9,38.4%,SEA,17,2023
16,Tua Tagovailoa,22,38,57.9,237,6.2,2,2,3,2,14,0,0,1,16.9,16.9,80.2%,MIA,17,2023
17,Derek Carr,24,32,75.0,197,6.2,2,0,1,3,-3,0,0,1,15.6,15.6,25.1%,NO,17,2023
18,Bailey Zappe,16,26,61.5,209,8.0,0,3,3,5,37,1,0,1,15.1,15.1,1.1%,NE,17,2023
19,Trevor Siemian,32,45,71.1,261,5.8,1,1,2,4,13,0,0,1,14.7,14.7,0.0%,FA,17,2023
20,Matthew Stafford,24,34,70.6,317,9.3,1,2,4,1,-1,0,0,1,14.6,14.6,57.6%,LAR,17,2023
21,Jarrett Stidham,20,32,62.5,224,7.0,1,0,2,6,6,0,0,1,13.6,13.6,2.7%,DEN,17,2023
22,Gardner Minshew II,15,23,65.2,224,9.7,1,0,1,2,3,0,0,1,13.3,13.3,16.8%,LV,17,2023
23,C.J. Stroud,24,32,75.0,213,6.7,1,0,1,1,4,0,0,1,12.9,12.9,92.9%,HOU,17,2023
24,Jared Goff,19,34,55.9,271,8.0,1,2,1,0,0,0,0,1,12.8,12.8,70.6%,DET,17,2023
25,Patrick Mahomes II,21,29,72.4,245,8.4,1,0,2,4,2,0,1,1,12.0,12.0,99.4%,KC,17,2023
26,Easton Stick,24,38,63.2,220,5.8,0,0,1,5,31,0,0,1,11.9,11.9,1.6%,LAC,17,2023
27,Mason Rudolph,18,24,75.0,274,11.4,0,0,1,6,5,0,0,1,11.5,11.5,1.6%,TEN,17,2023
28,C.J. Beathard,17,24,70.8,178,7.4,0,0,3,3,24,0,0,1,9.5,9.5,1.0%,JAC,17,2023
29,Nick Mullens,13,22,59.1,113,5.1,1,0,1,1,6,0,0,1,9.1,9.1,4.1%,MIN,17,2023
30,Sam Howell,17,28,60.7,169,6.0,1,2,1,1,-1,0,0,1,8.7,8.7,29.0%,SEA,17,2023
31,Ryan Tannehill,16,20,80.0,168,8.4,0,0,5,0,0,0,0,1,6.7,6.7,1.1%,FA,17,2023
32,Tyler Huntley,1,1,100.0,19,19.0,1,0,0,1,-1,0,0,1,4.7,4.7,0.6%,CLE,17,2023
33,Bryce Young,19,32,59.4,112,3.5,0,1,6,1,2,0,0,1,3.7,3.7,9.4%,CAR,17,2023
34,Sean Clifford,1,1,100.0,37,37.0,0,0,0,2,-2,0,0,1,1.3,1.3,0.2%,GB,17,2023
35,Jaren Hall,5,10,50.0,67,6.7,0,1,3,2,4,0,1,1,0.1,0.1,1.6%,MIN,17,2023
36,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,50.2%,NYJ,17,2023
37,Kenny Pickett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.9%,PHI,17,2023
38,Davis Mills,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,HOU,17,2023
39,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,76.9%,WAS,17,2023
40,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%,DEN,17,2023
41,Emory Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,17,2023
42,Zach Wilson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.3%,DEN,17,2023
43,Trevor Lawrence,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,71.3%,JAC,17,2023
44,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,TB,17,2023
45,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,IND,17,2023
46,Joe Burrow,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%,CIN,17,2023
47,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,17,2023
48,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,DAL,17,2023
49,Dorian Thompson-Robinson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,CLE,17,2023
50,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,JAC,17,2023
51,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,KC,17,2023
