Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jared Goff,24,34,70.6,278,8.2,5,0,2,0,0,0,0,1,31.1,31.1,70.6%,DET,15,2023
2,Baker Mayfield,22,28,78.6,381,13.6,4,0,5,2,-2,0,1,1,29.0,29.0,43.7%,TB,15,2023
3,Aidan O'Connell,20,34,58.8,248,7.3,4,0,1,0,0,0,0,1,25.9,25.9,3.1%,LV,15,2023
4,Brock Purdy,16,25,64.0,242,9.7,4,0,0,0,0,0,0,1,25.7,25.7,92.3%,SF,15,2023
5,Jalen Hurts,17,31,54.8,143,4.6,0,2,0,13,82,2,0,1,23.9,23.9,99.9%,PHI,15,2023
6,Gardner Minshew II,18,28,64.3,215,7.7,3,0,3,2,0,0,0,1,20.6,20.6,16.8%,LV,15,2023
7,Derek Carr,23,28,82.1,218,7.8,3,0,1,3,-4,0,0,1,20.3,20.3,25.1%,NO,15,2023
8,Jake Browning,29,42,69.0,324,7.7,2,1,4,4,0,0,0,1,20.0,20.0,20.8%,CIN,15,2023
9,Joe Flacco,28,44,63.6,374,8.5,2,3,4,1,-1,0,0,1,19.9,19.9,17.3%,IND,15,2023
10,Lamar Jackson,14,24,58.3,171,7.1,1,1,3,12,97,0,0,1,19.5,19.5,99.3%,BAL,15,2023
11,Nick Mullens,26,33,78.8,303,9.2,2,2,3,6,10,0,0,1,19.1,19.1,4.1%,MIN,15,2023
12,Matthew Stafford,25,33,75.8,258,7.8,2,0,3,1,2,0,0,1,18.5,18.5,57.6%,LAR,15,2023
13,Easton Stick,23,32,71.9,257,8.0,3,1,3,2,11,0,2,1,18.4,18.4,1.6%,LAC,15,2023
14,Patrick Mahomes II,27,37,73.0,305,8.2,2,2,3,3,-5,0,0,1,17.7,17.7,99.4%,KC,15,2023
15,Jordan Love,29,39,74.4,284,7.3,2,0,2,2,1,0,1,1,17.5,17.5,86.0%,GB,15,2023
16,Russell Wilson,18,32,56.3,223,7.0,1,0,2,7,6,1,1,1,17.5,17.5,30.9%,PIT,15,2023
17,Josh Allen,7,15,46.7,94,6.3,1,0,1,8,24,1,0,1,16.2,16.2,99.9%,BUF,15,2023
18,Will Levis,17,26,65.4,199,7.7,0,1,7,4,25,1,0,1,15.5,15.5,10.3%,TEN,15,2023
19,Kyler Murray,26,39,66.7,211,5.4,1,2,3,6,49,0,0,1,15.3,15.3,78.6%,ARI,15,2023
20,Mitchell Trubisky,16,23,69.6,169,7.3,1,2,3,2,1,1,0,1,14.9,14.9,1.1%,BUF,15,2023
21,Trevor Lawrence,25,43,58.1,264,6.1,1,0,1,4,41,0,2,1,14.7,14.7,71.3%,JAC,15,2023
22,Jacoby Brissett,8,10,80.0,124,12.4,2,0,0,2,9,0,0,1,13.9,13.9,1.3%,NE,15,2023
23,Tua Tagovailoa,21,24,87.5,224,9.3,1,0,3,0,0,0,0,1,13.0,13.0,80.2%,MIA,15,2023
