Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,T.J. Hockenson,10,11,89,8.9,18,0,0,0,0,0,0,1,18.9,18.9,81.3%,MIN,8,2021
2,Dan Arnold,8,10,68,8.5,11,0,0,0,0,0,0,1,14.8,14.8,0.0%,FA,8,2021
3,Pat Freiermuth,4,7,44,11.0,22,1,1,0,0,0,0,1,14.4,14.4,60.5%,PIT,8,2021
4,Dallas Goedert,6,7,72,12.0,19,0,0,0,0,0,0,1,13.2,13.2,89.7%,PHI,8,2021
5,Brevin Jordan,3,4,41,13.7,23,1,1,0,0,0,0,1,13.1,13.1,5.2%,HOU,8,2021
6,Jesse James,3,3,38,12.7,19,0,1,0,0,0,0,1,12.8,12.8,0.0%,FA,8,2021
7,Geoff Swaim,4,5,23,5.8,7,0,1,0,0,0,0,1,12.3,12.3,0.0%,FA,8,2021
8,Tyler Conklin,5,7,57,11.4,31,2,0,0,0,0,0,1,10.7,10.7,18.4%,NYJ,8,2021
9,Evan Engram,3,4,15,5.0,7,0,1,0,0,0,0,1,10.5,10.5,97.0%,JAC,8,2021
10,Jordan Akins,5,5,53,10.6,31,2,0,0,0,0,0,1,10.3,10.3,0.1%,CLE,8,2021
11,Tyler Kroft,2,2,20,10.0,13,0,1,0,0,0,0,1,10.0,10.0,0.0%,FA,8,2021
12,Mike Gesicki,3,4,48,16.0,40,3,0,0,0,0,0,1,9.8,9.8,2.3%,CIN,8,2021
13,Jack Doyle,2,2,12,6.0,7,0,1,0,0,0,0,1,9.2,9.2,2.0%,FA,8,2021
14,Kyle Rudolph,2,3,12,6.0,11,0,1,0,0,0,0,1,9.2,9.2,0.0%,FA,8,2021
15,Zach Ertz,4,4,42,10.5,20,1,0,0,0,0,0,1,8.2,8.2,3.7%,WAS,8,2021
16,Robert Tonyan,3,4,49,16.3,33,2,0,0,0,0,0,1,7.9,7.9,0.1%,MIN,8,2021
17,C.J. Uzomah,4,4,33,8.3,11,0,0,0,0,0,0,1,7.3,7.3,0.1%,PHI,8,2021
18,Zach Gentry,3,5,39,13.0,24,1,0,0,0,0,0,1,6.9,6.9,0.0%,LV,8,2021
19,David Njoku,3,3,39,13.0,24,1,0,0,0,0,0,1,6.9,6.9,94.0%,CLE,8,2021
20,Austin Hooper,4,6,26,6.5,8,0,0,0,0,0,0,1,6.6,6.6,0.4%,NE,8,2021
21,Albert Okwuegbunam Jr.,3,3,34,11.3,19,0,0,0,0,0,0,1,6.4,6.4,0.1%,PHI,8,2021
22,Garrett Griffin,3,3,30,10.0,14,0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,8,2021
23,Tommy Sweeney,3,4,30,10.0,13,0,0,0,0,0,0,1,6.0,6.0,0.0%,CHI,8,2021
24,Tyler Higbee,3,3,25,8.3,11,0,0,0,0,0,0,1,5.5,5.5,19.7%,LAR,8,2021
25,Cole Kmet,3,6,24,8.0,16,0,0,0,0,0,0,1,5.4,5.4,72.3%,CHI,8,2021
26,Harrison Bryant,2,2,33,16.5,21,1,0,0,0,0,0,1,5.3,5.3,0.1%,LV,8,2021
27,Tommy Tremble,3,4,18,6.0,13,0,0,0,0,0,0,1,4.8,4.8,0.4%,CAR,8,2021
28,Travis Kelce,4,6,27,6.8,14,0,0,0,0,0,1,1,4.7,4.7,99.9%,KC,8,2021
29,Jared Cook,2,5,25,12.5,13,0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,8,2021
30,Hunter Henry,1,3,33,33.0,33,2,0,0,0,0,0,1,4.3,4.3,15.3%,NE,8,2021
31,MyCole Pruitt,2,2,22,11.0,14,0,0,0,0,0,0,1,4.2,4.2,0.0%,PIT,8,2021
