Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Buffalo Bills,3,4,1,1,0,0,0,1,23.0,23.0,61.3%,BUF,4,2021
2,Baltimore Ravens,5,1,0,0,0,0,0,1,11.0,11.0,86.2%,BAL,4,2021
3,Tampa Bay Buccaneers,4,1,1,1,0,0,0,1,9.0,9.0,20.8%,TB,4,2021
4,Chicago Bears,4,0,2,2,0,0,0,1,9.0,9.0,33.9%,CHI,4,2021
5,Indianapolis Colts,3,0,2,1,0,0,0,1,8.0,8.0,26.4%,IND,4,2021
6,Cleveland Browns,2,1,0,0,0,0,0,1,8.0,8.0,94.2%,CLE,4,2021
7,Dallas Cowboys,5,2,0,0,0,0,0,1,8.0,8.0,92.7%,DAL,4,2021
8,Los Angeles Chargers,4,1,0,1,0,0,0,1,7.0,7.0,13.8%,LAC,4,2021
9,Green Bay Packers,2,1,1,1,0,0,0,1,7.0,7.0,26.4%,GB,4,2021
10,New York Jets,7,0,0,0,0,0,0,1,7.0,7.0,82.4%,NYJ,4,2021
11,Washington Commanders,1,0,0,1,0,0,1,1,6.0,6.0,8.1%,WAS,4,2021
12,Seattle Seahawks,2,1,1,0,0,0,0,1,6.0,6.0,22.4%,SEA,4,2021
13,Pittsburgh Steelers,3,0,1,1,0,0,0,1,5.0,5.0,75.9%,PIT,4,2021
14,Arizona Cardinals,0,1,1,1,0,0,0,1,5.0,5.0,0.8%,ARI,4,2021
15,Miami Dolphins,2,0,1,0,0,0,0,1,4.0,4.0,69.9%,MIA,4,2021
16,Minnesota Vikings,3,0,0,0,0,0,0,1,4.0,4.0,10.9%,MIN,4,2021
17,Denver Broncos,3,0,0,0,0,0,0,1,3.0,3.0,34.5%,DEN,4,2021
18,Tennessee Titans,1,1,0,1,0,0,0,1,3.0,3.0,3.5%,TEN,4,2021
19,Detroit Lions,1,1,0,1,0,0,0,1,3.0,3.0,38.6%,DET,4,2021
20,New England Patriots,1,0,0,0,0,0,0,1,2.0,2.0,13.6%,NE,4,2021
21,New Orleans Saints,0,1,0,2,0,0,0,1,2.0,2.0,64.0%,NO,4,2021
22,New York Giants,0,1,0,0,0,0,0,1,2.0,2.0,2.4%,NYG,4,2021
23,San Francisco 49ers,3,0,0,2,0,0,0,1,2.0,2.0,97.8%,SF,4,2021
24,Kansas City Chiefs,3,0,0,2,0,0,0,1,2.0,2.0,77.7%,KC,4,2021
25,Cincinnati Bengals,1,0,0,0,0,0,0,1,1.0,1.0,50.0%,CIN,4,2021
26,Jacksonville Jaguars,1,0,0,0,0,0,0,1,1.0,1.0,50.2%,JAC,4,2021
27,Las Vegas Raiders,2,0,0,0,0,0,0,1,1.0,1.0,24.5%,LV,4,2021
28,Atlanta Falcons,1,0,0,0,0,0,0,1,0.0,0.0,16.7%,ATL,4,2021
29,Houston Texans,1,1,0,2,0,0,0,1,-1.0,-1.0,31.9%,HOU,4,2021
30,Los Angeles Rams,3,0,0,1,0,0,0,1,-1.0,-1.0,21.2%,LAR,4,2021
31,Philadelphia Eagles,1,1,0,0,0,0,0,1,-1.0,-1.0,51.6%,PHI,4,2021
32,Carolina Panthers,0,0,0,0,0,0,0,1,-4.0,-4.0,3.0%,CAR,4,2021
