Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New England Patriots,1,3,0,1,1,0,0,1,20.0,20.0,13.6%,NE,9,2021
2,Cleveland Browns,5,2,1,1,1,0,0,1,18.0,18.0,94.2%,CLE,9,2021
3,Miami Dolphins,5,3,1,1,0,0,0,1,17.0,17.0,69.9%,MIA,9,2021
4,Jacksonville Jaguars,4,2,1,2,0,0,0,1,17.0,17.0,50.2%,JAC,9,2021
5,Tennessee Titans,5,2,0,0,1,0,0,1,16.0,16.0,3.5%,TEN,9,2021
6,Houston Texans,4,2,3,2,0,0,0,1,15.0,15.0,31.9%,HOU,9,2021
7,New York Giants,1,2,1,1,1,0,0,1,14.0,14.0,2.4%,NYG,9,2021
8,Minnesota Vikings,3,2,0,0,0,0,1,1,12.0,12.0,10.9%,MIN,9,2021
9,Arizona Cardinals,5,1,2,2,0,0,0,1,12.0,12.0,0.8%,ARI,9,2021
10,Kansas City Chiefs,1,1,1,0,0,0,0,1,11.0,11.0,77.7%,KC,9,2021
11,Chicago Bears,4,0,1,0,1,0,0,1,11.0,11.0,33.9%,CHI,9,2021
12,Buffalo Bills,2,0,1,1,0,0,0,1,8.0,8.0,61.3%,BUF,9,2021
13,Pittsburgh Steelers,3,1,1,0,0,0,0,1,7.0,7.0,75.9%,PIT,9,2021
14,Carolina Panthers,2,1,1,2,0,0,0,1,7.0,7.0,3.0%,CAR,9,2021
15,Denver Broncos,2,1,1,0,0,0,0,1,7.0,7.0,34.5%,DEN,9,2021
16,Las Vegas Raiders,3,0,1,1,0,0,0,1,6.0,6.0,24.5%,LV,9,2021
17,Los Angeles Rams,3,1,0,0,0,0,0,1,5.0,5.0,21.2%,LAR,9,2021
18,Indianapolis Colts,2,1,1,1,0,0,0,1,5.0,5.0,26.4%,IND,9,2021
19,Green Bay Packers,1,0,0,0,0,0,0,1,5.0,5.0,26.4%,GB,9,2021
20,Dallas Cowboys,4,0,0,0,0,0,0,1,3.0,3.0,92.7%,DAL,9,2021
21,Atlanta Falcons,1,0,1,1,0,0,0,1,3.0,3.0,16.7%,ATL,9,2021
22,New Orleans Saints,2,0,0,1,0,0,0,1,2.0,2.0,64.0%,NO,9,2021
23,San Francisco 49ers,2,0,0,1,0,0,0,1,1.0,1.0,97.8%,SF,9,2021
24,Los Angeles Chargers,1,0,0,0,0,0,0,1,1.0,1.0,13.8%,LAC,9,2021
25,Philadelphia Eagles,0,0,0,0,0,0,0,1,0.0,0.0,51.6%,PHI,9,2021
26,Baltimore Ravens,0,0,0,0,0,0,0,1,-1.0,-1.0,86.2%,BAL,9,2021
27,Cincinnati Bengals,2,0,0,1,0,0,0,1,-2.0,-2.0,50.0%,CIN,9,2021
28,New York Jets,1,0,0,2,0,0,0,1,-3.0,-3.0,82.4%,NYJ,9,2021
