Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tarik Cohen,8,30,3.8,11,0,0,12,14,156,13.0,0,0,1,34.6,34.6,0.0%,NYJ,13,2018
2,Todd Gurley II,23,132,5.7,36,3,2,3,5,33,11.0,0,0,1,31.5,31.5,0.1%,FA,13,2018
3,Christian McCaffrey,10,106,10.6,53,4,0,9,10,55,6.1,1,0,1,31.1,31.1,100.0%,SF,13,2018
4,Phillip Lindsay,19,157,8.3,65,4,2,1,1,2,2.0,0,0,1,28.9,28.9,0.0%,FA,13,2018
5,Ezekiel Elliott,23,75,3.3,21,1,0,6,6,60,10.0,1,0,1,25.5,25.5,78.1%,DAL,13,2018
6,James Conner,15,60,4.0,20,1,2,3,4,14,4.7,0,0,1,22.4,22.4,91.7%,ARI,13,2018
7,Chase Edmonds,5,53,10.6,29,1,2,2,2,13,6.5,0,0,1,20.6,20.6,0.8%,TB,13,2018
8,Jeff Wilson Jr.,15,61,4.1,11,0,0,8,9,73,9.1,0,1,1,19.4,19.4,6.8%,MIA,13,2018
9,James White,6,26,4.3,12,0,0,7,9,92,13.1,0,0,1,18.8,18.8,0.1%,FA,13,2018
10,Dalvin Cook,9,84,9.3,32,2,0,8,10,22,2.8,0,0,1,18.6,18.6,9.5%,FA,13,2018
11,Saquon Barkley,24,125,5.2,29,2,0,3,4,21,7.0,0,0,1,17.6,17.6,100.0%,PHI,13,2018
12,Nick Chubb,9,31,3.4,11,0,1,3,3,41,13.7,0,0,1,16.2,16.2,55.6%,CLE,13,2018
13,Adrian Peterson,9,98,10.9,90,4,1,0,0,0,0.0,0,0,1,15.8,15.8,2.4%,FA,13,2018
14,Alvin Kamara,11,36,3.3,7,0,0,8,11,36,4.5,0,0,1,15.2,15.2,98.2%,NO,13,2018
15,Justin Jackson,8,63,7.9,18,0,1,1,1,19,19.0,0,0,1,15.2,15.2,0.0%,FA,13,2018
16,Aaron Jones,11,36,3.3,13,0,1,4,4,16,4.0,0,0,1,15.2,15.2,93.3%,MIN,13,2018
17,Isaiah Crowell,21,98,4.7,27,1,0,4,5,9,2.3,0,0,1,14.7,14.7,0.1%,FA,13,2018
18,Nyheim Hines,4,5,1.3,3,0,0,9,9,50,5.6,0,0,1,14.5,14.5,0.5%,CLE,13,2018
19,James Develin,4,5,1.3,2,0,2,1,1,9,9.0,0,0,1,14.4,14.4,0.0%,FA,13,2018
20,Chris Carson,13,69,5.3,23,1,0,3,4,39,13.0,0,0,1,13.8,13.8,0.3%,FA,13,2018
21,Jalen Richard,6,95,15.8,30,3,0,3,4,31,10.3,0,1,1,13.6,13.6,1.0%,FA,13,2018
22,T.J. Yeldon,8,16,2.0,4,0,0,7,8,49,7.0,0,0,1,13.5,13.5,0.0%,FA,13,2018
23,Doug Martin,18,61,3.4,17,0,1,2,2,6,3.0,0,1,1,12.7,12.7,0.0%,FA,13,2018
24,Derrick Henry,10,40,4.0,12,0,1,2,2,5,2.5,0,0,1,12.5,12.5,99.3%,BAL,13,2018
25,Rashaad Penny,7,65,9.3,20,1,1,0,0,0,0.0,0,0,1,12.5,12.5,4.1%,CAR,13,2018
26,Lamar Miller,19,103,5.4,32,2,0,1,1,12,12.0,0,0,1,12.5,12.5,0.0%,FA,13,2018
27,Kenyan Drake,7,31,4.4,20,1,0,2,4,13,6.5,1,0,1,12.4,12.4,0.0%,FA,13,2018
28,Spencer Ware,14,47,3.4,17,0,1,1,1,5,5.0,0,0,1,12.2,12.2,0.0%,FA,13,2018
29,Joe Mixon,12,82,6.8,23,1,0,2,2,13,6.5,0,0,1,11.5,11.5,99.1%,HOU,13,2018
30,Jaylen Samuels,2,5,2.5,4,0,0,3,3,20,6.7,1,0,1,11.5,11.5,0.0%,FA,13,2018
31,Giovani Bernard,5,14,2.8,4,0,0,6,8,32,5.3,0,0,1,10.6,10.6,0.0%,FA,13,2018
