Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Derrick Henry,17,238,14.0,99,8,4,0,0,0,0.0,0,0,1,47.8,47.8,99.3%,BAL,14,2018
2,Ezekiel Elliott,28,113,4.0,20,1,0,12,13,79,6.6,0,0,1,31.2,31.2,78.1%,DAL,14,2018
3,Saquon Barkley,14,170,12.1,78,8,1,4,5,27,6.8,0,0,1,29.7,29.7,100.0%,PHI,14,2018
4,Christian McCaffrey,16,63,3.9,25,1,2,6,7,38,6.3,0,0,1,28.1,28.1,100.0%,SF,14,2018
5,Joe Mixon,26,111,4.3,19,0,1,5,6,27,5.4,0,0,1,24.8,24.8,99.1%,HOU,14,2018
6,Aaron Jones,17,78,4.6,29,1,1,3,3,28,9.3,0,0,1,19.6,19.6,93.3%,MIN,14,2018
7,Dalvin Cook,13,55,4.2,13,0,0,5,7,28,5.6,1,0,1,19.3,19.3,9.5%,FA,14,2018
8,Damien Williams,8,14,1.8,5,0,1,4,5,16,4.0,1,0,1,19.0,19.0,0.0%,FA,14,2018
9,Brandon Bolden,2,60,30.0,54,4,2,1,1,0,0.0,0,0,1,19.0,19.0,0.0%,FA,14,2018
10,Nick Chubb,13,66,5.1,29,1,1,4,6,17,4.3,0,0,1,18.3,18.3,55.6%,CLE,14,2018
11,Spencer Ware,15,75,5.0,13,0,0,5,5,54,10.8,0,0,1,17.9,17.9,0.0%,FA,14,2018
12,Austin Ekeler,15,66,4.4,18,0,1,2,5,28,14.0,0,0,1,17.4,17.4,93.1%,WAS,14,2018
13,Elijah McGuire,17,60,3.5,34,2,1,3,4,23,7.7,0,0,1,17.3,17.3,0.0%,FA,14,2018
14,Lamar Miller,14,33,2.4,13,0,1,5,6,19,3.8,0,0,1,16.2,16.2,0.0%,FA,14,2018
15,Jaylen Samuels,11,28,2.5,9,0,0,7,7,64,9.1,0,0,1,16.2,16.2,0.0%,FA,14,2018
16,Alvin Kamara,12,51,4.3,12,0,0,5,6,36,7.2,0,0,1,15.7,15.7,98.2%,NO,14,2018
17,Phillip Lindsay,14,30,2.1,5,0,1,4,7,21,5.3,0,0,1,15.1,15.1,0.0%,FA,14,2018
18,Kenneth Dixon,8,59,7.4,15,0,1,1,1,21,21.0,0,0,1,15.0,15.0,0.1%,FA,14,2018
