Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Alvin Kamara,19,82,4.3,17,0,2,4,5,34,8.5,1,0,1,33.6,33.6,98.2%,NO,9,2018
2,Kareem Hunt,17,91,5.4,25,1,2,1,2,50,50.0,1,0,1,33.1,33.1,27.3%,FA,9,2018
3,Christian McCaffrey,17,79,4.6,35,2,2,5,6,78,15.6,0,0,1,32.7,32.7,100.0%,SF,9,2018
4,Tevin Coleman,13,88,6.8,16,0,0,5,7,68,13.6,2,0,1,32.6,32.6,0.0%,FA,9,2018
5,Duke Johnson Jr.,1,8,8.0,8,0,0,9,9,78,8.7,2,0,1,29.6,29.6,0.0%,FA,9,2018
6,James Conner,24,107,4.5,25,1,0,7,9,56,8.0,1,0,1,29.3,29.3,91.7%,ARI,9,2018
7,James White,12,31,2.6,8,0,2,6,7,72,12.0,0,0,1,28.3,28.3,0.1%,FA,9,2018
8,Dion Lewis,19,62,3.3,13,0,0,4,4,60,15.0,1,0,1,22.2,22.2,2.0%,FA,9,2018
9,Todd Gurley II,13,68,5.2,24,1,1,6,7,11,1.8,0,0,1,19.9,19.9,0.1%,FA,9,2018
10,Melvin Gordon III,16,113,7.1,34,4,1,1,4,10,10.0,0,0,1,19.3,19.3,0.0%,FA,9,2018
11,Mike Davis,15,62,4.1,12,0,0,7,8,45,6.4,0,0,1,17.7,17.7,1.0%,FA,9,2018
12,Jordan Howard,14,47,3.4,18,0,2,0,0,0,0.0,0,0,1,16.7,16.7,0.0%,FA,9,2018
13,Nick Chubb,22,85,3.9,17,0,1,1,1,5,5.0,0,0,1,16.0,16.0,55.6%,CLE,9,2018
14,Ezekiel Elliott,17,61,3.6,17,0,0,4,5,51,12.8,0,0,1,15.2,15.2,78.1%,DAL,9,2018
15,Dalvin Cook,10,89,8.9,70,4,0,4,4,20,5.0,0,0,1,14.9,14.9,9.5%,FA,9,2018
16,Raheem Mostert,7,86,12.3,52,4,1,0,0,0,0.0,0,0,1,14.6,14.6,91.5%,MIA,9,2018
17,Ito Smith,10,60,6.0,13,0,1,1,2,4,4.0,0,0,1,13.4,13.4,0.0%,FA,9,2018
18,Spencer Ware,2,12,6.0,11,0,0,4,5,69,17.3,0,0,1,12.1,12.1,0.0%,FA,9,2018
19,Latavius Murray,10,31,3.1,9,0,1,1,1,16,16.0,0,0,1,11.7,11.7,7.6%,FA,9,2018
20,Derrick Henry,6,27,4.5,13,0,1,2,2,5,2.5,0,0,1,11.2,11.2,99.3%,BAL,9,2018
21,Alex Collins,9,35,3.9,9,0,1,1,1,4,4.0,0,0,1,10.9,10.9,19.0%,FA,9,2018
22,Theo Riddick,0,0,0.0,0,0,0,7,8,36,5.1,0,0,1,10.6,10.6,0.0%,FA,9,2018
23,Kapri Bibbs,3,20,6.7,13,0,1,1,1,15,15.0,0,0,1,10.5,10.5,0.1%,FA,9,2018
24,Phillip Lindsay,17,60,3.5,22,1,0,2,3,24,12.0,0,0,1,10.4,10.4,0.0%,FA,9,2018
25,Elijah McGuire,7,30,4.3,14,0,0,3,5,37,12.3,0,0,1,9.7,9.7,0.0%,FA,9,2018
26,Jalen Richard,2,4,2.0,4,0,0,4,4,45,11.3,0,0,1,8.9,8.9,1.0%,FA,9,2018
27,Malcolm Brown,0,0,0.0,0,0,0,1,1,18,18.0,1,0,1,8.8,8.8,0.0%,FA,9,2018
28,Chris Ivory,7,36,5.1,18,0,0,3,4,19,6.3,0,0,1,8.5,8.5,0.0%,FA,9,2018
29,Aaron Jones,14,75,5.4,13,0,0,2,4,10,5.0,0,1,1,8.5,8.5,93.3%,MIN,9,2018
30,Devontae Booker,3,15,5.0,14,0,1,2,4,9,4.5,0,1,1,8.4,8.4,0.0%,FA,9,2018
31,Doug Martin,11,49,4.5,10,0,0,1,2,20,20.0,0,0,1,7.9,7.9,0.0%,FA,9,2018
32,Kenyan Drake,3,9,3.0,5,0,0,4,6,26,6.5,0,0,1,7.5,7.5,0.0%,FA,9,2018
33,Kerryon Johnson,12,37,3.1,6,0,0,3,5,7,2.3,0,0,1,7.4,7.4,0.0%,FA,9,2018
34,Jamaal Williams,7,34,4.9,10,0,0,2,2,20,10.0,0,0,1,7.4,7.4,10.3%,NO,9,2018
35,Isaiah Crowell,13,49,3.8,12,0,0,1,2,11,11.0,0,0,1,7.0,7.0,0.1%,FA,9,2018
36,Frank Gore,20,53,2.7,8,0,0,1,1,6,6.0,0,0,1,6.9,6.9,12.1%,FA,9,2018
37,LeSean McCoy,10,10,1.0,4,0,0,4,4,19,4.8,0,0,1,6.9,6.9,2.0%,FA,9,2018
38,Lamar Miller,12,21,1.8,9,0,0,2,2,27,13.5,0,0,1,6.8,6.8,0.0%,FA,9,2018
39,Javorius Allen,1,6,6.0,6,0,0,5,5,8,1.6,0,0,1,6.4,6.4,0.1%,FA,9,2018
40,Adrian Peterson,9,17,1.9,11,0,0,3,3,16,5.3,0,0,1,6.3,6.3,2.4%,FA,9,2018
41,Alex Armah Jr.,1,1,1.0,1,0,1,0,0,0,0.0,0,0,1,6.1,6.1,0.0%,FA,9,2018
42,Peyton Barber,11,31,2.8,18,0,0,2,3,9,4.5,0,0,1,6.0,6.0,1.0%,FA,9,2018
43,Matt Breida,12,44,3.7,18,0,0,1,1,3,3.0,0,0,1,5.7,5.7,1.1%,FA,9,2018
44,Rashaad Penny,4,11,2.8,9,0,0,3,3,13,4.3,0,0,1,5.4,5.4,4.1%,CAR,9,2018
45,Samaje Perine,2,20,10.0,11,0,0,2,3,8,4.0,0,0,1,4.8,4.8,12.7%,DEN,9,2018
46,Austin Ekeler,3,21,7.0,16,0,0,1,2,13,13.0,0,0,1,4.4,4.4,93.1%,WAS,9,2018
47,Chris Carson,8,40,5.0,15,0,0,0,0,0,0.0,0,0,1,4.0,4.0,0.3%,FA,9,2018
48,Alfred Blue,15,39,2.6,7,0,0,0,0,0,0.0,0,0,1,3.9,3.9,0.0%,FA,9,2018
49,Kalen Ballage,1,-2,-2.0,0,0,0,2,2,17,8.5,0,0,1,3.5,3.5,0.0%,FA,9,2018
50,Kyle Juszczyk,1,1,1.0,1,0,0,2,2,10,5.0,0,0,1,3.1,3.1,1.0%,SF,9,2018
51,Jacquizz Rodgers,2,14,7.0,15,0,0,2,3,-4,-2.0,0,0,1,3.0,3.0,0.0%,FA,9,2018
52,Marcus Murphy,1,6,6.0,6,0,0,3,4,-7,-2.3,0,0,1,2.9,2.9,0.0%,FA,9,2018
53,DeAndre Washington,5,27,5.4,13,0,0,0,0,0,0.0,0,0,1,2.7,2.7,11.0%,FA,9,2018
54,Mark Ingram II,9,33,3.7,12,0,0,1,2,3,3.0,0,1,1,2.6,2.6,0.1%,FA,9,2018
55,Trenton Cannon,0,0,0.0,0,0,0,1,1,15,15.0,0,0,1,2.5,2.5,0.0%,FA,9,2018
56,Tarik Cohen,6,5,0.8,7,0,0,1,2,8,8.0,0,0,1,2.3,2.3,0.0%,NYJ,9,2018
57,LeGarrette Blount,5,8,1.6,7,0,0,1,1,2,2.0,0,0,1,2.0,2.0,0.1%,FA,9,2018
58,Andy Janovich,0,0,0.0,0,0,0,1,1,9,9.0,0,0,1,1.9,1.9,0.0%,FA,9,2018
59,Rod Smith,0,0,0.0,0,0,0,1,2,8,8.0,0,0,1,1.8,1.8,0.0%,FA,9,2018
60,Taquan Mizzell,0,0,0.0,0,0,0,1,2,5,5.0,0,0,1,1.5,1.5,0.0%,NYG,9,2018
61,Zach Line,0,0,0.0,0,0,0,1,1,3,3.0,0,0,1,1.3,1.3,0.0%,FA,9,2018
62,Alfred Morris,7,13,1.9,11,0,0,0,0,0,0.0,0,0,1,1.3,1.3,0.0%,FA,9,2018
63,Gus Edwards,1,10,10.0,10,0,0,0,0,0,0.0,0,0,1,1.0,1.0,80.8%,LAC,9,2018
64,James Develin,0,0,0.0,0,0,0,1,2,0,0.0,0,0,1,1.0,1.0,0.0%,FA,9,2018
65,Shaun Wilson,2,7,3.5,5,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.0%,FA,9,2018
66,Kenjon Barner,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%,FA,9,2018
67,Jaylen Samuels,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,FA,9,2018
68,C.J. Anderson,1,1,1.0,1,0,0,0,0,0,0.0,0,0,1,0.1,0.1,1.0%,FA,9,2018
69,Nick Bellore,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,7.0%,FA,9,2018
70,Anthony Sherman,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
71,Brandon Bolden,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
72,Benny Cunningham Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
73,Patrick DiMarco,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
74,Jamize Olawale,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
75,Cordarrelle Patterson,11,61,5.5,17,0,1,1,1,7,7.0,0,0,1,0.0,0.0,1.4%,PIT,9,2018
76,Ricky Ortiz,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
77,Patrick Ricard,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,BAL,9,2018
78,Tre Madden,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,FA,9,2018
79,C.J. Ham,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,MIN,9,2018
80,Justin Davis,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
81,Justin Jackson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
82,Buddy Howell,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
83,Jason Cabinda,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
84,Dontrell Hilliard,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
85,Mike Boone,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,CAR,9,2018
86,Roosevelt Nix,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
87,Senorise Perry,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
88,Keith Smith,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
89,David Fluellen,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
90,Damien Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
91,Tyler Ervin,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
92,Derek Watt,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
93,Tra Carson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,9,2018
94,Dwayne Washington,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,DEN,9,2018
95,Michael Burton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,DEN,9,2018
