Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Aidan Hutchinson,4,0,2.0,0,0,0,0,0,1,21.5,21.5,55.7%,DET,18,2023
2,Alex Wright,5,1,1.0,0,0,1,0,0,1,21.3,21.3,0.8%,CLE,18,2023
3,Christian Wilkins,5,0,1.0,0,0,1,1,0,1,19.5,19.5,48.7%,LV,18,2023
4,Malik Herring,5,0,1.0,1,0,1,0,0,1,19.5,19.5,0.2%,KC,18,2023
5,Derrick Brown,6,1,1.0,1,0,0,0,0,1,17.8,17.8,40.2%,CAR,18,2023
6,Danielle Hunter,5,1,1.0,0,0,0,0,0,1,17.3,17.3,52.9%,HOU,18,2023
7,Christian Barmore,6,4,0.0,0,0,0,0,0,1,17.0,17.0,15.6%,NE,18,2023
8,Isaiah McGuire,5,0,1.0,0,0,0,0,0,1,16.5,16.5,0.0%,CLE,18,2023
9,Quinnen Williams,2,0,2.0,0,0,0,0,0,1,16.0,16.0,27.2%,NYJ,18,2023
10,Bryce Huff,2,0,2.0,0,0,0,0,0,1,16.0,16.0,4.1%,PHI,18,2023
11,Calais Campbell,4,1,1.0,0,0,0,0,0,1,15.8,15.8,2.9%,MIA,18,2023
12,Jadeveon Clowney,3,1,1.0,0,0,1,0,0,1,15.8,15.8,22.5%,CAR,18,2023
13,Melvin Ingram III,4,1,1.5,0,0,0,0,0,1,15.3,15.3,0.0%,FA,18,2023
14,Yetur Gross-Matos,4,1,1.0,0,0,0,0,0,1,13.3,13.3,1.1%,SF,18,2023
15,Michael Hoecht,4,1,1.0,0,0,0,0,0,1,13.3,13.3,16.3%,LAR,18,2023
16,Marlon Tuipulotu,2,1,1.0,0,0,0,0,0,1,12.8,12.8,0.2%,PHI,18,2023
17,Yaya Diaby,3,2,1.0,0,0,0,0,0,1,12.5,12.5,9.1%,TB,18,2023
18,Malcolm Koonce,2,0,1.0,0,0,0,0,0,1,12.0,12.0,3.8%,LV,18,2023
19,Maxx Crosby,2,0,1.0,0,0,0,0,0,1,12.0,12.0,69.0%,LV,18,2023
20,Byron Young,1,0,1.0,0,0,0,1,0,1,12.0,12.0,35.7%,LAR,18,2023
21,Karl Brooks,2,0,1.0,0,0,0,0,0,1,12.0,12.0,0.6%,GB,18,2023
22,DeForest Buckner,1,5,1.0,0,0,0,0,0,1,11.8,11.8,47.6%,IND,18,2023
23,Josh Allen,2,3,1.0,0,0,0,0,0,1,11.8,11.8,44.0%,JAC,18,2023
24,Nathan Shepherd,3,0,1.0,0,0,0,0,0,1,11.0,11.0,1.9%,NO,18,2023
25,Darrell Taylor,2,2,1.0,0,0,0,0,0,1,11.0,11.0,1.1%,SEA,18,2023
26,Jeremiah Moon,2,2,0.0,0,0,1,0,0,1,11.0,11.0,0.0%,PIT,18,2023
27,Charles Omenihu,2,0,1.0,0,0,1,0,0,1,11.0,11.0,1.0%,KC,18,2023
28,Dante Fowler Jr.,1,1,1.5,0,0,0,0,0,1,10.8,10.8,3.7%,WAS,18,2023
29,Sam Kamara,4,3,0.0,0,0,0,0,0,1,10.8,10.8,2.0%,CLE,18,2023
30,Adam Butler,1,1,1.0,1,0,0,0,0,1,10.3,10.3,0.8%,LV,18,2023
31,Will McDonald IV,2,1,1.0,0,0,0,0,0,1,10.3,10.3,4.3%,NYJ,18,2023
32,Desjuan Johnson,1,1,1.0,0,0,1,0,0,1,10.3,10.3,0.4%,LAR,18,2023
33,Dorance Armstrong Jr.,2,1,1.0,0,0,0,0,0,1,10.3,10.3,4.1%,WAS,18,2023
34,Lukas Van Ness,2,0,1.0,0,0,0,0,0,1,9.5,9.5,5.6%,GB,18,2023
35,Jermaine Johnson II,2,0,1.0,0,0,0,0,0,1,9.5,9.5,9.2%,NYJ,18,2023
36,Jihad Ward,1,0,1.0,0,0,1,0,0,1,9.5,9.5,0.2%,MIN,18,2023
37,Brian Burns,2,0,1.0,0,0,0,0,0,1,9.5,9.5,41.8%,NYG,18,2023
38,Felix Anudike-Uzomah,3,0,0.0,0,0,0,0,0,1,9.5,9.5,1.9%,KC,18,2023
39,Robert Beal Jr.,1,2,1.0,0,0,0,0,0,1,9.5,9.5,0.4%,SF,18,2023
40,Leonard Williams,2,5,0.0,0,0,0,0,0,1,9.3,9.3,11.1%,SEA,18,2023
41,Michael Pierce,3,3,0.0,0,0,0,0,0,1,9.3,9.3,1.9%,BAL,18,2023
42,BJ Ojulari,4,1,0.0,0,0,0,0,0,1,9.3,9.3,2.7%,ARI,18,2023
43,Travon Walker,1,1,1.0,0,0,0,0,0,1,8.8,8.8,11.9%,JAC,18,2023
44,Kenny Clark,1,1,1.0,0,0,0,0,0,1,8.8,8.8,9.2%,GB,18,2023
45,Zach Sieler,2,5,0.5,0,0,0,0,0,1,8.8,8.8,28.8%,MIA,18,2023
46,Maliek Collins,3,0,0.0,1,0,0,0,0,1,8.5,8.5,2.3%,SF,18,2023
47,Sam Williams,2,1,0.5,0,0,0,0,0,1,8.3,8.3,2.1%,DAL,18,2023
48,Levi Onwuzurike,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.4%,ARI,18,2023
49,Nik Bonitto,1,0,1.0,0,0,0,0,0,1,8.0,8.0,2.1%,DEN,18,2023
50,Tyree Wilson,1,0,1.0,0,0,0,0,0,1,8.0,8.0,7.8%,LV,18,2023
51,Devonte Wyatt,1,0,1.0,0,0,0,0,0,1,8.0,8.0,2.1%,GB,18,2023
52,Chris Jones,1,0,1.0,0,0,0,0,0,1,8.0,8.0,25.6%,KC,18,2023
53,DeMarcus Walker,1,0,1.0,0,0,0,0,0,1,8.0,8.0,1.9%,CHI,18,2023
54,Kingsley Enagbare,2,0,0.0,0,0,0,0,0,1,8.0,8.0,0.4%,GB,18,2023
55,Sam Hubbard,1,0,1.0,0,0,0,0,0,1,8.0,8.0,21.9%,CIN,18,2023
56,Jalyn Holmes,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.4%,NYJ,18,2023
57,Broderick Washington Jr.,2,1,0.0,0,0,0,1,0,1,7.8,7.8,0.2%,BAL,18,2023
58,Naquan Jones,2,3,0.0,0,0,0,0,0,1,7.8,7.8,0.0%,ARI,18,2023
59,Carl Granderson,3,1,0.0,0,0,0,0,0,1,7.8,7.8,29.4%,NO,18,2023
60,Arden Key,4,0,0.0,1,0,0,0,0,1,7.5,7.5,2.5%,TEN,18,2023
61,Bobby Brown III,2,2,0.0,0,0,0,0,0,1,7.0,7.0,1.0%,LAR,18,2023
62,Joseph Ossai,1,2,0.0,1,0,0,0,0,1,7.0,7.0,0.8%,CIN,18,2023
63,Derek Barnett,2,2,0.0,0,0,0,0,0,1,7.0,7.0,0.4%,HOU,18,2023
64,DaQuan Jones,2,2,0.0,0,0,0,0,0,1,7.0,7.0,0.8%,BUF,18,2023
65,Josh Paschal,2,0,0.0,1,0,0,0,0,1,7.0,7.0,1.4%,DET,18,2023
66,DeMarcus Lawrence,2,1,0.0,2,0,0,0,0,1,6.8,6.8,12.8%,DAL,18,2023
67,Sebastian Joseph-Day,4,1,0.0,0,0,0,0,0,1,6.8,6.8,2.2%,TEN,18,2023
68,B.J. Hill,2,2,0.5,0,0,0,0,0,1,6.5,6.5,5.8%,CIN,18,2023
69,Montez Sweat,2,1,0.0,0,0,0,0,0,1,6.3,6.3,35.6%,CHI,18,2023
70,David Onyemata,2,1,0.0,0,0,0,0,0,1,6.3,6.3,5.8%,ATL,18,2023
71,Mike Purcell,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.0%,FA,18,2023
72,Emmanuel Ogbah,1,3,0.0,0,0,0,0,0,1,6.3,6.3,2.0%,FA,18,2023
73,Harrison Phillips,2,4,0.0,0,0,0,0,0,1,6.0,6.0,23.6%,MIN,18,2023
74,Kayvon Thibodeaux,3,0,0.0,1,0,0,0,0,1,6.0,6.0,23.7%,NYG,18,2023
75,Khyiris Tonga,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,ARI,18,2023
76,Larry Ogunjobi,1,0,0.0,0,0,0,1,0,1,5.5,5.5,2.3%,PIT,18,2023
77,Khalil Davis,2,0,0.0,0,0,0,0,0,1,5.5,5.5,1.5%,HOU,18,2023
78,A'Shawn Robinson,2,0,0.0,0,0,0,0,0,1,5.5,5.5,4.4%,CAR,18,2023
79,Greg Gaines,0,2,0.0,0,0,0,1,0,1,5.5,5.5,0.4%,TB,18,2023
80,Neil Farrell Jr.,1,0,0.0,1,0,0,0,0,1,5.5,5.5,0.4%,KC,18,2023
81,Logan Hall,3,1,0.0,0,0,0,0,0,1,5.3,5.3,1.4%,TB,18,2023
82,D.J. Jones,3,1,0.0,0,0,0,0,0,1,5.3,5.3,4.4%,DEN,18,2023
83,DaVon Hamilton,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.6%,JAC,18,2023
84,Zach Allen,1,5,0.0,0,0,0,0,0,1,5.3,5.3,11.0%,DEN,18,2023
85,Dre'Mont Jones,2,3,0.0,0,0,0,0,0,1,5.3,5.3,4.9%,SEA,18,2023
86,Tuli Tuipulotu,2,3,0.0,0,0,0,0,0,1,5.3,5.3,4.3%,LAC,18,2023
87,Tavius Robinson,2,3,0.0,0,0,0,0,0,1,5.3,5.3,0.4%,BAL,18,2023
88,Christopher Hinton,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.2%,LAC,18,2023
89,Cameron Young,1,3,0.0,1,0,0,0,0,1,5.3,5.3,0.0%,SEA,18,2023
90,Matt Dickerson,1,2,0.0,0,0,0,0,0,1,4.8,4.8,0.0%,KC,18,2023
91,Jalen Harris,2,0,0.0,1,0,0,0,0,1,4.5,4.5,0.0%,WAS,18,2023
92,Jonathan Bullard,3,0,0.0,0,0,0,0,0,1,4.5,4.5,2.9%,MIN,18,2023
93,Otito Ogbonnia,2,2,0.0,0,0,0,0,0,1,4.5,4.5,1.0%,LAC,18,2023
94,Trey Hendrickson,1,1,0.5,0,0,0,0,0,1,4.3,4.3,35.9%,CIN,18,2023
95,Greg Rousseau,1,0,0.0,0,0,0,0,0,1,4.0,4.0,15.3%,BUF,18,2023
96,Haason Reddick,1,0,0.0,0,0,0,0,0,1,4.0,4.0,17.4%,NYJ,18,2023
97,Payton Turner,0,0,0.0,0,0,0,1,0,1,4.0,4.0,0.2%,NO,18,2023
98,LaBryan Ray,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.4%,CAR,18,2023
99,Earnest Brown,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,TB,18,2023
100,Shy Tuttle,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.3%,CAR,18,2023
101,Keion White,1,1,0.0,1,0,0,0,0,1,3.8,3.8,2.3%,NE,18,2023
102,Jeremiah Pharms Jr.,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.2%,NE,18,2023
103,Grover Stewart,0,5,0.0,0,0,0,0,0,1,3.8,3.8,3.6%,IND,18,2023
104,Abdullah Anderson,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.0%,FA,18,2023
105,Jordan Davis,2,1,0.0,0,0,0,0,0,1,3.8,3.8,5.1%,PHI,18,2023
