Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Chris Boswell,3,3,100.0,54,0,0,0,1,2,2,3,1,16.0,16.0,17.2%,PIT,9,2021
2,Brandon McManus,3,4,75.0,53,0,1,0,1,1,1,2,1,13.0,13.0,18.3%,FA,9,2021
3,Matt Gay,3,3,100.0,54,0,1,1,0,1,1,1,1,12.0,12.0,28.9%,IND,9,2021
4,Matthew Wright,3,4,75.0,55,0,1,1,0,1,0,0,1,11.0,11.0,0.0%,PIT,9,2021
5,Chase McLaughlin,2,3,66.7,28,0,2,0,0,0,5,5,1,11.0,11.0,6.8%,TB,9,2021
6,Graham Gano,3,3,100.0,38,0,0,3,0,0,2,2,1,11.0,11.0,1.3%,NYG,9,2021
7,Ka'imi Fairbairn,3,3,100.0,40,0,1,1,1,0,0,0,1,10.0,10.0,47.4%,HOU,9,2021
8,Daniel Carlson,3,4,75.0,32,0,2,1,0,0,1,1,1,10.0,10.0,24.2%,LV,9,2021
9,Justin Tucker,2,2,100.0,37,0,0,2,0,0,4,4,1,10.0,10.0,98.7%,BAL,9,2021
10,Cairo Santos,2,3,66.7,30,0,1,1,0,0,3,3,1,9.0,9.0,26.6%,CHI,9,2021
11,Michael Badgley,1,1,100.0,39,0,0,1,0,0,6,6,1,9.0,9.0,19.0%,DET,9,2021
12,Brian Johnson,2,2,100.0,52,0,0,1,0,1,1,1,1,9.0,9.0,0.0%,FA,9,2021
13,Younghoe Koo,2,2,100.0,32,0,1,1,0,0,3,3,1,9.0,9.0,61.7%,ATL,9,2021
14,Harrison Butker,2,2,100.0,55,0,1,0,0,1,1,1,1,9.0,9.0,96.2%,KC,9,2021
15,Matt Prater,1,1,100.0,26,0,1,0,0,0,4,4,1,7.0,7.0,1.7%,ARI,9,2021
16,Greg Joseph,1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,3.7%,GB,9,2021
17,Tyler Bass,2,2,100.0,41,0,1,0,1,0,0,0,1,7.0,7.0,45.5%,BUF,9,2021
18,Zane Gonzalez,2,2,100.0,49,0,0,1,1,0,0,0,1,7.0,7.0,0.1%,FA,9,2021
19,Dustin Hopkins,2,2,100.0,30,0,1,1,0,0,1,2,1,7.0,7.0,29.1%,CLE,9,2021
20,Nick Folk,1,2,50.0,37,0,0,1,0,0,3,3,1,6.0,6.0,9.5%,TEN,9,2021
21,Jason Sanders,1,1,100.0,42,0,0,0,1,0,2,2,1,6.0,6.0,46.2%,MIA,9,2021
22,Jake Elliott,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,93.5%,PHI,9,2021
23,Matt Ammendola,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,2.0%,FA,9,2021
24,Robbie Gould,1,1,100.0,26,0,1,0,0,0,2,2,1,5.0,5.0,0.1%,FA,9,2021
25,Randy Bullock,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,9,2021
26,Evan McPherson,1,1,100.0,27,0,1,0,0,0,1,1,1,4.0,4.0,81.8%,CIN,9,2021
27,Mason Crosby,0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,9,2021
28,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,9,2021
29,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,43.8%,NYJ,9,2021
