Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Daniel Carlson,5,5,100.0,52,0,1,1,2,1,2,2,1,21.0,21.0,24.2%,LV,18,2021
2,Matthew Wright,4,4,100.0,39,0,2,2,0,0,2,2,1,14.0,14.0,0.0%,PIT,18,2021
3,Matt Prater,3,3,100.0,41,0,0,2,1,0,3,3,1,13.0,13.0,1.7%,ARI,18,2021
4,Riley Patterson,3,3,100.0,36,0,1,2,0,0,4,4,1,13.0,13.0,13.1%,JAC,18,2021
5,Brett Maher,3,4,75.0,37,0,1,2,0,0,3,3,1,12.0,12.0,0.6%,FA,18,2021
6,Cairo Santos,3,3,100.0,46,0,0,0,3,0,0,0,1,12.0,12.0,26.6%,CHI,18,2021
7,Ryan Succop,2,3,66.7,40,0,0,1,1,0,5,5,1,12.0,12.0,0.0%,FA,18,2021
8,Joey Slye,3,3,100.0,43,0,2,0,1,0,1,1,1,11.0,11.0,0.6%,NE,18,2021
9,Chris Boswell,3,3,100.0,40,0,1,1,1,0,1,1,1,11.0,11.0,17.2%,PIT,18,2021
10,Younghoe Koo,2,2,100.0,54,0,0,0,1,1,2,2,1,11.0,11.0,61.7%,ATL,18,2021
11,Tyler Bass,2,2,100.0,41,0,1,0,1,0,3,3,1,10.0,10.0,45.5%,BUF,18,2021
12,Robbie Gould,2,2,100.0,42,0,1,0,1,0,3,3,1,10.0,10.0,0.1%,FA,18,2021
13,Greg Zuerlein,1,1,100.0,48,0,0,0,1,0,6,7,1,10.0,10.0,43.8%,NYJ,18,2021
14,Harrison Butker,2,2,100.0,51,0,0,1,0,1,2,2,1,10.0,10.0,96.2%,KC,18,2021
15,Jason Sanders,2,2,100.0,49,0,0,1,1,0,3,3,1,10.0,10.0,46.2%,MIA,18,2021
16,Jake Elliott,2,2,100.0,40,0,0,1,1,0,2,2,1,9.0,9.0,93.5%,PHI,18,2021
17,Jason Myers,1,1,100.0,38,0,0,1,0,0,5,5,1,8.0,8.0,32.1%,SEA,18,2021
18,Justin Tucker,2,2,100.0,46,0,1,0,1,0,1,1,1,8.0,8.0,98.7%,BAL,18,2021
19,Matt Gay,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,28.9%,IND,18,2021
20,Greg Joseph,1,1,100.0,39,0,0,1,0,0,4,4,1,7.0,7.0,3.7%,GB,18,2021
21,Nick Folk,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,9.5%,TEN,18,2021
22,Dustin Hopkins,1,2,50.0,41,0,0,0,1,0,3,3,1,7.0,7.0,29.1%,CLE,18,2021
23,Brandon McManus,1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,18.3%,FA,18,2021
24,Ka'imi Fairbairn,1,1,100.0,31,0,0,1,0,0,2,2,1,5.0,5.0,47.4%,HOU,18,2021
25,Eddy Pineiro,1,1,100.0,49,0,0,0,1,0,1,1,1,5.0,5.0,1.5%,CAR,18,2021
26,Lirim Hajrullahu,1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,FA,18,2021
27,Elliott Fry,1,1,100.0,36,0,0,1,0,0,1,1,1,4.0,4.0,0.0%,FA,18,2021
28,Mason Crosby,1,1,100.0,36,0,0,1,0,0,1,2,1,4.0,4.0,0.1%,FA,18,2021
29,Michael Badgley,1,1,100.0,41,0,0,0,1,0,0,0,1,4.0,4.0,19.0%,DET,18,2021
30,Randy Bullock,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,18,2021
31,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,6.8%,TB,18,2021
32,Graham Gano,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.3%,NYG,18,2021
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,18,2021
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,18,2021
