Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Austin Seibert,4,4,100.0,47,0,0,2,2,0,1,1,1,15.0,15.0,0.0%,NYJ,7,2021
2,Graham Gano,3,3,100.0,53,0,0,0,2,1,2,2,1,15.0,15.0,1.3%,NYG,7,2021
3,Nick Folk,2,2,100.0,50,0,0,1,0,1,6,7,1,14.0,14.0,9.5%,TEN,7,2021
4,Evan McPherson,2,2,100.0,52,0,0,1,0,1,5,5,1,13.0,13.0,81.8%,CIN,7,2021
5,Younghoe Koo,3,3,100.0,36,0,0,3,0,0,3,3,1,12.0,12.0,61.7%,ATL,7,2021
6,Randy Bullock,2,2,100.0,51,0,0,1,0,1,3,3,1,11.0,11.0,0.1%,FA,7,2021
7,Daniel Carlson,2,2,100.0,39,0,1,1,0,0,3,4,1,9.0,9.0,24.2%,LV,7,2021
8,Matt Gay,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,9.0,28.9%,IND,7,2021
9,Joey Slye,2,2,100.0,56,0,0,1,0,1,0,1,1,8.0,8.0,0.6%,NE,7,2021
10,Ryan Succop,1,2,50.0,22,0,1,0,0,0,5,5,1,8.0,8.0,0.0%,FA,7,2021
11,Brian Johnson,2,2,100.0,33,0,1,1,0,0,1,1,1,7.0,7.0,0.0%,FA,7,2021
12,Michael Badgley,1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,7.0,19.0%,DET,7,2021
13,Chase McLaughlin,1,2,50.0,52,0,0,0,0,1,2,2,1,7.0,7.0,6.8%,TB,7,2021
14,Matt Prater,1,1,100.0,31,0,0,1,0,0,4,4,1,7.0,7.0,1.7%,ARI,7,2021
15,Justin Tucker,1,1,100.0,45,0,0,0,1,0,2,2,1,6.0,6.0,98.7%,BAL,7,2021
16,Jason Myers,1,3,33.3,50,0,0,0,0,1,1,1,1,6.0,6.0,32.1%,SEA,7,2021
17,Mason Crosby,1,2,50.0,39,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,7,2021
18,Chris Blewitt,1,2,50.0,45,0,0,0,1,0,1,1,1,5.0,5.0,0.1%,FA,7,2021
19,Ka'imi Fairbairn,1,1,100.0,53,0,0,0,0,1,0,0,1,5.0,5.0,47.4%,HOU,7,2021
20,Jason Sanders,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,46.2%,MIA,7,2021
21,Harrison Butker,1,2,50.0,42,0,0,0,1,0,0,0,1,4.0,4.0,96.2%,KC,7,2021
22,Zane Gonzalez,1,1,100.0,45,0,0,0,1,0,0,0,1,4.0,4.0,0.1%,FA,7,2021
23,Cairo Santos,1,1,100.0,28,0,1,0,0,0,0,0,1,3.0,3.0,26.6%,CHI,7,2021
24,Jake Elliott,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,93.5%,PHI,7,2021
25,Brandon McManus,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,18.3%,FA,7,2021
26,Matt Ammendola,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,2.0%,FA,7,2021
27,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,7,2021
