Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Darren Waller,9,10,117,13.0,28,2,1,0,0,0,1,1,26.7,26.7,56.5%,FA,17,2020
2,Chris Herndon IV,7,9,63,9.0,21,1,1,0,0,0,0,1,19.3,19.3,0.0%,FA,17,2020
3,Pharaoh Brown,5,5,48,9.6,14,0,1,0,0,0,0,1,15.8,15.8,0.1%,SEA,17,2020
4,Jared Cook,4,5,43,10.8,18,0,1,0,0,0,0,1,14.3,14.3,0.0%,FA,17,2020
5,Dalton Schultz,7,10,70,10.0,16,0,0,0,0,0,0,1,14.0,14.0,77.7%,HOU,17,2020
6,George Kittle,7,9,68,9.7,41,3,0,0,0,0,0,1,13.8,13.8,97.3%,SF,17,2020
7,Austin Hooper,4,5,37,9.3,13,0,1,0,0,0,0,1,13.7,13.7,0.4%,NE,17,2020
8,Hayden Hurst,4,6,28,7.0,14,0,1,0,0,0,0,1,12.8,12.8,2.3%,LAC,17,2020
9,Donald Parham Jr.,3,4,37,12.3,22,1,1,0,0,0,0,1,12.7,12.7,1.1%,LAC,17,2020
10,Logan Thomas,3,6,37,12.3,18,0,1,0,0,0,0,1,12.7,12.7,19.3%,SF,17,2020
11,Devin Asiasi,2,3,39,19.5,26,1,1,0,0,0,0,1,11.9,11.9,0.0%,FA,17,2020
12,Robert Tonyan,2,2,18,9.0,15,0,1,0,0,0,0,1,9.8,9.8,0.1%,MIN,17,2020
13,Mike Gesicki,5,10,47,9.4,23,1,0,0,0,0,0,1,9.7,9.7,2.3%,CIN,17,2020
14,Troy Fumagalli,2,3,15,7.5,14,0,1,0,0,0,0,1,9.5,9.5,0.0%,FA,17,2020
15,Cole Kmet,7,8,41,5.9,11,0,0,0,0,0,1,1,9.1,9.1,72.3%,CHI,17,2020
16,Noah Fant,4,6,48,12.0,20,1,0,0,0,0,0,1,8.8,8.8,2.0%,SEA,17,2020
17,Dominique Dafney,1,1,13,13.0,13,0,1,0,0,0,0,1,8.3,8.3,0.0%,FA,17,2020
18,Vance McDonald,5,6,33,6.6,14,0,0,0,0,0,0,1,8.3,8.3,0.0%,FA,17,2020
19,Stephen Anderson,3,3,52,17.3,18,0,0,0,0,0,0,1,8.2,8.2,0.0%,FA,17,2020
20,Dan Arnold,3,3,46,15.3,25,1,0,0,0,0,0,1,7.6,7.6,0.0%,FA,17,2020
21,Tyler Higbee,3,4,41,13.7,26,1,0,0,0,0,0,1,7.1,7.1,19.7%,LAR,17,2020
22,Tyler Conklin,3,6,40,13.3,19,0,0,0,0,0,0,1,7.0,7.0,18.4%,NYJ,17,2020
23,Mark Andrews,4,7,27,6.8,9,0,0,0,0,0,0,1,6.7,6.7,73.3%,BAL,17,2020
24,T.J. Hockenson,3,3,25,8.3,15,0,0,0,0,0,0,1,5.5,5.5,81.3%,MIN,17,2020
25,Durham Smythe,3,3,23,7.7,11,0,0,0,0,0,0,1,5.3,5.3,0.7%,MIA,17,2020
26,Irv Smith Jr.,2,3,30,15.0,25,1,0,0,0,0,0,1,5.0,5.0,1.7%,KC,17,2020
27,Rob Gronkowski,2,4,29,14.5,18,0,0,0,0,0,0,1,4.9,4.9,1.5%,FA,17,2020
