Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jason Sanders,7,8,87.5,53,0,3,2,1,1,0,0,1,24.0,24.0,46.2%,MIA,14,2019
2,Younghoe Koo,4,4,100.0,50,0,1,2,0,1,4,4,1,18.0,18.0,61.7%,ATL,14,2019
3,Randy Bullock,4,4,100.0,46,0,1,1,2,0,1,1,1,15.0,15.0,0.1%,FA,14,2019
4,Wil Lutz,2,2,100.0,55,0,0,0,1,1,4,4,1,13.0,13.0,10.3%,DEN,14,2019
5,Harrison Butker,3,3,100.0,48,0,0,1,2,0,2,2,1,13.0,13.0,96.2%,KC,14,2019
6,Robbie Gould,2,2,100.0,41,0,0,1,1,0,6,6,1,13.0,13.0,0.1%,FA,14,2019
7,Sam Ficken,3,3,100.0,44,0,0,1,2,0,1,2,1,12.0,12.0,0.0%,FA,14,2019
8,Chase McLaughlin,2,3,66.7,50,1,0,0,0,1,3,3,1,11.0,11.0,6.8%,TB,14,2019
9,Austin Seibert,2,2,100.0,53,0,0,1,0,1,3,3,1,11.0,11.0,0.0%,NYJ,14,2019
10,Chris Boswell,3,3,100.0,37,0,1,2,0,0,2,2,1,11.0,11.0,17.2%,PIT,14,2019
11,Stephen Hauschka,3,3,100.0,48,0,0,1,2,0,0,0,1,11.0,11.0,0.0%,FA,14,2019
12,Michael Badgley,1,1,100.0,40,0,0,0,1,0,6,6,1,10.0,10.0,19.0%,DET,14,2019
13,Dan Bailey,2,2,100.0,50,0,1,0,0,1,2,2,1,10.0,10.0,0.0%,FA,14,2019
14,Joey Slye,2,2,100.0,46,0,0,0,2,0,2,2,1,10.0,10.0,0.6%,NE,14,2019
15,Matt Gay,1,1,100.0,44,0,0,0,1,0,5,5,1,9.0,9.0,28.9%,IND,14,2019
16,Ka'imi Fairbairn,1,1,100.0,54,0,0,0,0,1,3,3,1,8.0,8.0,47.4%,HOU,14,2019
17,Brandon McManus,1,1,100.0,36,0,0,1,0,0,5,5,1,8.0,8.0,18.3%,FA,14,2019
18,Mason Crosby,2,2,100.0,33,0,0,2,0,0,2,2,1,8.0,8.0,0.1%,FA,14,2019
19,Eddy Pineiro,1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,1.5%,CAR,14,2019
20,Brett Maher,1,2,50.0,31,0,0,1,0,0,3,3,1,6.0,6.0,0.6%,FA,14,2019
21,Ryan Succop,0,1,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,0.0%,FA,14,2019
22,Jason Myers,2,2,100.0,39,0,0,2,0,0,0,1,1,6.0,6.0,32.1%,SEA,14,2019
23,Justin Tucker,1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,6.0,98.7%,BAL,14,2019
24,Dustin Hopkins,1,1,100.0,52,0,0,0,0,1,0,1,1,5.0,5.0,29.1%,CLE,14,2019
25,Aldrick Rosas,1,1,100.0,34,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,14,2019
26,Jake Elliott,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,93.5%,PHI,14,2019
27,Zane Gonzalez,1,1,100.0,30,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,FA,14,2019
28,Greg Zuerlein,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,43.8%,NYJ,14,2019
29,Josh Lambo,1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,4.0,0.1%,FA,14,2019
30,Nick Folk,1,2,50.0,29,0,1,0,0,0,1,1,1,4.0,4.0,9.5%,TEN,14,2019
31,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,24.2%,LV,14,2019
32,Matt Prater,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.7%,ARI,14,2019
33,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,14,2019
34,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,14,2019
35,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,14,2019
