Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matt Prater,5,5,100.0,54,0,2,0,1,2,1,1,1,21.0,21.0,1.7%,ARI,6,2019
2,Brett Maher,3,4,75.0,62,0,0,1,0,2,1,1,1,14.0,14.0,0.6%,FA,6,2019
3,Brandon McManus,3,3,100.0,53,0,0,1,1,1,1,1,1,13.0,13.0,18.3%,FA,6,2019
4,Justin Tucker,3,3,100.0,49,0,1,0,2,0,2,2,1,13.0,13.0,98.7%,BAL,6,2019
5,Mason Crosby,3,3,100.0,48,0,1,1,1,0,2,2,1,12.0,12.0,0.1%,FA,6,2019
6,Jake Elliott,2,2,100.0,53,0,0,0,1,1,2,2,1,10.0,10.0,93.5%,PHI,6,2019
7,Zane Gonzalez,2,2,100.0,39,0,1,1,0,0,4,4,1,10.0,10.0,0.1%,FA,6,2019
8,Matt Bryant,2,2,100.0,44,0,1,0,1,0,3,4,1,10.0,10.0,1.1%,FA,6,2019
9,Jason Myers,2,2,100.0,38,0,1,1,0,0,2,3,1,8.0,8.0,32.1%,SEA,6,2019
10,Wil Lutz,2,2,100.0,47,0,1,0,1,0,1,1,1,8.0,8.0,10.3%,DEN,6,2019
11,Robbie Gould,2,3,66.7,34,0,1,1,0,0,2,2,1,8.0,8.0,0.1%,FA,6,2019
12,Dan Bailey,1,1,100.0,39,0,0,1,0,0,5,5,1,8.0,8.0,0.0%,FA,6,2019
13,Harrison Butker,1,2,50.0,41,0,0,0,1,0,3,3,1,7.0,7.0,96.2%,KC,6,2019
14,Josh Lambo,2,2,100.0,32,0,1,1,0,0,0,0,1,6.0,6.0,0.1%,FA,6,2019
15,Matt Gay,1,1,100.0,54,0,0,0,0,1,1,1,1,6.0,6.0,28.9%,IND,6,2019
16,Chris Boswell,1,1,100.0,20,0,1,0,0,0,3,3,1,6.0,6.0,17.2%,PIT,6,2019
17,Ka'imi Fairbairn,1,2,50.0,44,0,0,0,1,0,2,3,1,6.0,6.0,47.4%,HOU,6,2019
18,Sam Ficken,1,1,100.0,38,0,0,1,0,0,3,3,1,6.0,6.0,0.0%,FA,6,2019
19,Dustin Hopkins,1,2,50.0,21,0,1,0,0,0,2,2,1,5.0,5.0,29.1%,CLE,6,2019
20,Mike Nugent,0,1,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,1.0%,FA,6,2019
21,Randy Bullock,1,1,100.0,22,0,1,0,0,0,2,2,1,5.0,5.0,0.1%,FA,6,2019
22,Chase McLaughlin,1,2,50.0,38,0,0,1,0,0,2,2,1,5.0,5.0,6.8%,TB,6,2019
23,Joey Slye,3,5,60.0,49,0,0,0,0,0,4,4,1,4.0,4.0,0.6%,NE,6,2019
24,Jason Sanders,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,46.2%,MIA,6,2019
25,Austin Seibert,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,0.0%,NYJ,6,2019
26,Aldrick Rosas,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,6,2019
27,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,43.8%,NYJ,6,2019
28,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,6,2019
29,Cody Parkey,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,6,2019
30,Kasey Redfern,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2019
31,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,6,2019
