Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kai Forbath,4,4,100.0,48,0,1,0,3,0,5,5,1,20.0,20.0,3.0%,LAR,17,2019
2,Younghoe Koo,5,5,100.0,45,0,1,2,2,0,1,1,1,18.0,18.0,61.7%,ATL,17,2019
3,Justin Tucker,4,4,100.0,47,0,1,0,3,0,2,2,1,17.0,17.0,98.7%,BAL,17,2019
4,Josh Lambo,3,3,100.0,56,0,1,0,0,2,3,3,1,16.0,16.0,0.1%,FA,17,2019
5,Brandon McManus,3,4,75.0,51,0,0,0,2,1,1,1,1,14.0,14.0,18.3%,FA,17,2019
6,Eddy Pineiro,4,4,100.0,34,0,2,2,0,0,1,1,1,13.0,13.0,1.5%,CAR,17,2019
7,Dan Bailey,4,4,100.0,39,0,0,4,0,0,1,1,1,13.0,13.0,0.0%,FA,17,2019
8,Mason Crosby,3,4,75.0,40,0,0,2,1,0,2,2,1,12.0,12.0,0.1%,FA,17,2019
9,Jake Elliott,2,2,100.0,50,0,0,1,0,1,4,4,1,12.0,12.0,93.5%,PHI,17,2019
10,Dustin Hopkins,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,29.1%,CLE,17,2019
11,Matt Prater,2,2,100.0,56,0,0,0,1,1,2,2,1,11.0,11.0,1.7%,ARI,17,2019
12,Randy Bullock,2,2,100.0,47,0,0,0,2,0,3,4,1,11.0,11.0,0.1%,FA,17,2019
13,Chase McLaughlin,2,2,100.0,50,0,1,0,0,1,2,2,1,10.0,10.0,6.8%,TB,17,2019
14,Daniel Carlson,3,4,75.0,33,0,2,1,0,0,0,0,1,9.0,9.0,24.2%,LV,17,2019
15,Jason Sanders,2,2,100.0,32,0,1,1,0,0,3,3,1,9.0,9.0,46.2%,MIA,17,2019
16,Robbie Gould,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,9.0,0.1%,FA,17,2019
17,Greg Zuerlein,1,2,50.0,47,0,0,0,1,0,4,4,1,8.0,8.0,43.8%,NYJ,17,2019
18,Harrison Butker,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,96.2%,KC,17,2019
19,Sam Ficken,2,4,50.0,47,0,0,1,1,0,1,1,1,8.0,8.0,0.0%,FA,17,2019
20,Zane Gonzalez,1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,17,2019
21,Stephen Hauschka,2,2,100.0,29,0,2,0,0,0,0,0,1,6.0,6.0,0.0%,FA,17,2019
22,Wil Lutz,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,10.3%,DEN,17,2019
23,Nick Folk,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,9.5%,TEN,17,2019
24,Austin Seibert,1,1,100.0,42,0,0,0,1,0,2,3,1,6.0,6.0,0.0%,NYJ,17,2019
25,Greg Joseph,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,3.7%,GB,17,2019
26,Aldrick Rosas,1,1,100.0,37,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,17,2019
27,Chris Boswell,1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,4.0,17.2%,PIT,17,2019
28,Joey Slye,1,1,100.0,23,0,1,0,0,0,1,1,1,4.0,4.0,0.6%,NE,17,2019
29,Jason Myers,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,32.1%,SEA,17,2019
30,Michael Badgley,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,19.0%,DET,17,2019
31,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,47.4%,HOU,17,2019
32,Matt Gay,0,3,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,28.9%,IND,17,2019
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,17,2019
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,17,2019
