Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jalen Pitre,11,2,0.0,1,1,0,0,0,1,24.5,24.5,45.9%,HOU,17,2022
2,Grant Delpit,4,3,0.0,2,2,0,0,0,1,23.8,23.8,21.4%,CLE,17,2022
3,Marshon Lattimore,6,0,0.0,2,1,0,0,1,1,23.0,23.0,6.0%,NO,17,2022
4,Desmond King II,6,2,0.0,1,1,0,0,0,1,22.0,22.0,12.8%,HOU,17,2022
5,Adrian Amos,7,1,0.0,2,1,0,0,0,1,21.8,21.8,0.2%,FA,17,2022
6,Kevin Byard III,4,2,0.0,2,2,0,0,0,1,20.5,20.5,29.0%,CHI,17,2022
7,Kyle Dugger,3,2,0.0,2,1,0,0,1,1,20.0,20.0,23.2%,NE,17,2022
8,Isaiah Oliver,5,4,1.0,2,0,0,0,0,1,20.0,20.0,0.4%,NYJ,17,2022
9,Nahshon Wright,6,3,0.0,2,1,0,0,0,1,19.3,19.3,0.8%,DAL,17,2022
10,Trent McDuffie,4,3,1.0,0,0,1,0,0,1,16.3,16.3,32.4%,KC,17,2022
11,Minkah Fitzpatrick,4,5,0.0,1,1,0,0,0,1,16.3,16.3,36.6%,PIT,17,2022
12,Landon Collins,1,3,0.0,1,1,0,0,1,1,16.3,16.3,0.0%,FA,17,2022
13,Sean Murphy-Bunting,2,1,0.0,2,1,1,0,0,1,15.8,15.8,10.5%,ARI,17,2022
14,Chuck Clark,6,4,0.0,2,0,0,0,0,1,15.0,15.0,5.6%,NYJ,17,2022
15,Jeremy Chinn,8,4,0.0,0,0,0,0,0,1,15.0,15.0,7.0%,WAS,17,2022
16,Antoine Winfield Jr.,5,1,1.0,0,0,0,0,0,1,14.8,14.8,70.3%,TB,17,2022
17,Darnell Savage Jr.,1,1,0.0,1,1,0,0,1,1,14.8,14.8,5.0%,JAC,17,2022
18,Brandon Stephens,7,1,0.0,2,0,0,0,0,1,14.3,14.3,4.5%,BAL,17,2022
19,Tyson Campbell,2,1,0.0,0,0,0,1,1,1,13.8,13.8,17.2%,JAC,17,2022
20,Jalen Thompson,8,2,0.0,0,0,0,0,0,1,13.5,13.5,16.8%,ARI,17,2022
21,Jonathan Jones,3,1,0.0,2,1,0,0,0,1,13.3,13.3,2.0%,NE,17,2022
22,Tre Avery,6,1,0.0,2,0,0,0,0,1,12.8,12.8,0.2%,TEN,17,2022
