Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jack Jones,3,4,0,1,1,1,1,1,1,28.0,28.0,3.3%,LV,4,2022
2,Jordan Poyer,4,2,0,3,2,0,0,0,1,22.0,22.0,26.5%,MIA,4,2022
3,Lamarcus Joyner,1,5,0,4,2,0,0,0,1,21.3,21.3,0.0%,FA,4,2022
4,Mike Edwards,5,8,1,0,0,0,0,0,1,20.0,20.0,4.1%,BUF,4,2022
5,L'Jarius Sneed,7,2,1,0,0,1,0,0,1,20.0,20.0,48.3%,TEN,4,2022
6,Riq Woolen,4,1,0,1,1,0,0,1,1,19.3,19.3,4.2%,SEA,4,2022
7,Vonn Bell,4,0,0,2,2,0,0,0,1,19.0,19.0,5.4%,CIN,4,2022
8,Eddie Jackson,6,3,0,1,1,0,0,0,1,17.8,17.8,3.5%,FA,4,2022
9,Talanoa Hufanga,3,1,0,1,1,0,0,1,1,17.8,17.8,13.7%,SF,4,2022
10,Minkah Fitzpatrick,5,3,0,2,1,0,0,0,1,17.8,17.8,36.6%,PIT,4,2022
11,Andre Cisco,2,1,0,1,1,0,0,1,1,16.3,16.3,4.1%,JAC,4,2022
12,Deommodore Lenoir,5,3,1,0,0,0,0,0,1,16.3,16.3,13.9%,SF,4,2022
13,DeShon Elliott,9,2,0,0,0,0,0,0,1,15.0,15.0,7.8%,PIT,4,2022
14,Tyrann Mathieu,4,3,0,1,1,0,0,0,1,14.8,14.8,9.9%,NO,4,2022
15,Cameron Dantzler Sr.,5,0,0,3,0,0,0,0,1,14.5,14.5,0.0%,FA,4,2022
16,Tre Norwood,5,2,0,0,0,0,0,0,1,14.0,14.0,0.0%,FA,4,2022
17,K'Waun Williams,5,0,1,0,0,0,0,0,1,14.0,14.0,0.0%,DEN,4,2022
18,Amik Robertson,2,1,0,0,0,0,1,1,1,13.8,13.8,0.4%,DET,4,2022
19,Paulson Adebo,8,0,0,1,0,0,0,0,1,13.5,13.5,27.7%,NO,4,2022
20,Pat Surtain II,6,2,0,2,0,0,0,0,1,13.5,13.5,11.3%,DEN,4,2022
21,Denzel Ward,2,0,0,2,1,0,0,0,1,13.5,13.5,5.3%,CLE,4,2022
22,Jaquan Brisker,4,1,1,0,0,0,0,0,1,13.3,13.3,46.6%,CHI,4,2022
23,Emmanuel Moseley,6,0,0,1,0,0,0,0,1,13.0,13.0,1.2%,DET,4,2022
24,Myles Hartsfield,6,0,0,0,0,1,0,0,1,13.0,13.0,0.0%,FA,4,2022
25,Donovan Wilson,8,1,0,0,0,0,0,0,1,12.8,12.8,20.5%,DAL,4,2022
26,Marshon Lattimore,7,3,0,0,0,0,0,0,1,12.8,12.8,6.0%,NO,4,2022
27,Nate Hobbs,3,0,1,1,0,0,0,0,1,12.5,12.5,33.1%,LV,4,2022
28,Bryce Callahan,3,0,0,2,1,0,0,0,1,12.5,12.5,0.0%,FA,4,2022
29,Michael Carter II,4,0,0,1,1,0,0,0,1,12.5,12.5,0.0%,NYJ,4,2022
30,Malik Hooker,5,3,0,0,0,0,0,0,1,12.3,12.3,3.7%,DAL,4,2022
31,Nasir Adderley,3,1,0,1,1,0,0,0,1,11.8,11.8,0.7%,FA,4,2022
32,Dane Belton,3,1,0,0,0,0,1,0,1,11.8,11.8,1.2%,NYG,4,2022
33,Roger McCreary,5,2,0,0,0,0,0,0,1,11.5,11.5,21.7%,TEN,4,2022
34,Damar Hamlin,7,1,0,0,0,0,0,0,1,11.3,11.3,0.4%,BUF,4,2022
35,DaRon Bland,3,0,0,1,1,0,0,0,1,11.0,11.0,42.4%,DAL,4,2022
36,Marcus Williams,3,1,0,1,0,0,1,0,1,10.8,10.8,7.4%,BAL,4,2022
37,Coby Bryant,3,3,0,0,0,1,0,0,1,10.8,10.8,0.2%,SEA,4,2022
38,Derwin James Jr.,3,4,0,2,0,0,0,0,1,10.5,10.5,75.7%,LAC,4,2022
39,Kader Kohou,6,0,0,1,0,0,0,0,1,10.5,10.5,2.4%,MIA,4,2022
40,Adrian Phillips,6,2,0,0,0,0,0,0,1,10.5,10.5,0.6%,FA,4,2022
41,Arthur Maulet,5,2,0,1,0,0,0,0,1,10.5,10.5,0.8%,BAL,4,2022
42,Jessie Bates III,6,0,0,1,0,0,0,0,1,10.5,10.5,68.8%,ATL,4,2022
43,Kyler Gordon,3,2,0,0,0,1,0,0,1,10.0,10.0,11.9%,CHI,4,2022
44,Jalen Pitre,3,4,0,0,0,0,0,0,1,10.0,10.0,45.9%,HOU,4,2022
45,Asante Samuel Jr.,5,0,0,0,0,0,0,0,1,10.0,10.0,4.3%,LAC,4,2022
46,William Jackson III,4,0,0,1,0,0,0,0,1,10.0,10.0,0.0%,FA,4,2022
47,Steven Nelson,6,1,0,0,0,0,0,0,1,9.8,9.8,0.0%,FA,4,2022
48,Rashad Fenton,5,1,0,1,0,0,0,0,1,9.8,9.8,0.0%,FA,4,2022
49,Rudy Ford,6,1,0,0,0,0,0,0,1,9.8,9.8,3.8%,FA,4,2022
50,Jonathan Owens,5,1,0,1,0,0,0,0,1,9.8,9.8,5.3%,CHI,4,2022
51,James Bradberry IV,2,0,0,1,1,0,0,0,1,9.5,9.5,2.0%,PHI,4,2022
52,Trevon Diggs,0,0,0,3,1,0,0,0,1,9.5,9.5,13.8%,DAL,4,2022
53,Jaylinn Hawkins,2,3,0,0,0,1,0,0,1,9.3,9.3,11.0%,NE,4,2022
54,John Johnson III,4,1,0,0,0,0,0,0,1,9.3,9.3,0.0%,FA,4,2022
55,Devin McCourty,6,0,0,0,0,0,0,0,1,9.0,9.0,4.4%,FA,4,2022
56,Grant Delpit,4,0,0,2,0,0,0,0,1,9.0,9.0,21.4%,CLE,4,2022
57,Kareem Jackson,5,2,0,0,0,0,0,0,1,9.0,9.0,0.7%,FA,4,2022
58,Rayshawn Jenkins,4,2,0,1,0,0,0,0,1,9.0,9.0,25.1%,SEA,4,2022
59,Jeff Okudah,5,0,0,1,0,0,0,0,1,9.0,9.0,1.7%,HOU,4,2022
60,Quandre Diggs,5,2,0,0,0,0,0,0,1,9.0,9.0,2.9%,FA,4,2022
61,Kamren Curl,5,2,0,0,0,0,0,0,1,9.0,9.0,30.6%,LAR,4,2022
62,Jaylen Watson,5,0,0,1,0,0,0,0,1,9.0,9.0,2.4%,KC,4,2022
63,Keanu Neal,6,0,0,0,0,0,0,0,1,9.0,9.0,0.4%,FA,4,2022
64,Jordan Whitehead,1,1,0,1,1,0,0,0,1,8.8,8.8,16.5%,TB,4,2022
65,Jalen Thompson,1,1,0,1,1,0,0,0,1,8.8,8.8,16.8%,ARI,4,2022
66,Richie Grant,3,2,0,0,0,0,0,0,1,8.5,8.5,13.2%,ATL,4,2022
67,Anthony Brown,2,2,0,0,0,1,0,0,1,8.5,8.5,0.0%,FA,4,2022
68,C.J. Henderson,4,0,0,0,0,0,0,0,1,8.5,8.5,0.8%,HOU,4,2022
69,Caden Sterns,5,1,0,0,0,0,0,0,1,8.3,8.3,2.3%,DEN,4,2022
70,Xavier Woods,4,3,0,0,0,0,0,0,1,8.3,8.3,11.4%,CAR,4,2022
71,Jonathan Jones,4,1,0,1,0,0,0,0,1,8.3,8.3,2.0%,NE,4,2022
72,Amani Oruwariye,4,1,0,1,0,0,0,0,1,8.3,8.3,0.2%,JAC,4,2022
73,Cameron Sutton,1,0,0,1,1,0,0,0,1,8.0,8.0,0.2%,PIT,4,2022
74,Marlon Humphrey,1,0,0,1,1,0,0,0,1,8.0,8.0,5.0%,BAL,4,2022
