Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New England Patriots,1,3,1,1,1,0,1,1,27.0,27.0,13.6%,NE,6,2019
2,Denver Broncos,7,3,0,1,0,0,0,1,23.0,23.0,34.5%,DEN,6,2019
3,Carolina Panthers,7,5,2,2,0,0,0,1,21.0,21.0,3.0%,CAR,6,2019
4,Pittsburgh Steelers,1,2,1,0,1,0,0,1,14.0,14.0,75.9%,PIT,6,2019
5,New York Giants,3,1,1,1,1,0,0,1,13.0,13.0,2.4%,NYG,6,2019
6,New Orleans Saints,2,1,0,0,0,0,0,1,11.0,11.0,64.0%,NO,6,2019
7,San Francisco 49ers,4,0,1,1,0,0,0,1,10.0,10.0,97.8%,SF,6,2019
8,Washington Commanders,5,2,0,1,0,0,0,1,10.0,10.0,8.1%,WAS,6,2019
9,Seattle Seahawks,0,3,1,1,0,0,0,1,9.0,9.0,22.4%,SEA,6,2019
10,Cincinnati Bengals,1,0,1,1,0,0,1,1,9.0,9.0,50.0%,CIN,6,2019
11,Minnesota Vikings,2,2,1,1,0,0,0,1,9.0,9.0,10.9%,MIN,6,2019
12,Los Angeles Rams,2,1,1,1,0,0,0,1,7.0,7.0,21.2%,LAR,6,2019
13,Jacksonville Jaguars,3,0,0,1,0,0,0,1,7.0,7.0,50.2%,JAC,6,2019
14,Detroit Lions,1,1,2,1,0,0,0,1,7.0,7.0,38.6%,DET,6,2019
15,Houston Texans,1,1,1,1,0,0,0,1,5.0,5.0,31.9%,HOU,6,2019
16,Kansas City Chiefs,0,2,1,1,0,0,0,1,5.0,5.0,77.7%,KC,6,2019
17,Baltimore Ravens,2,1,0,0,0,0,0,1,5.0,5.0,86.2%,BAL,6,2019
18,Dallas Cowboys,2,1,0,0,0,0,0,1,4.0,4.0,92.7%,DAL,6,2019
19,Cleveland Browns,3,0,1,2,0,0,0,1,4.0,4.0,94.2%,CLE,6,2019
20,Tennessee Titans,1,1,0,1,0,0,0,1,4.0,4.0,3.5%,TEN,6,2019
21,Green Bay Packers,3,0,0,0,0,0,0,1,3.0,3.0,26.4%,GB,6,2019
22,Los Angeles Chargers,0,1,0,0,0,0,0,1,3.0,3.0,13.8%,LAC,6,2019
23,Arizona Cardinals,2,0,0,1,0,0,0,1,1.0,1.0,0.8%,ARI,6,2019
24,Philadelphia Eagles,1,1,1,1,0,0,0,1,1.0,1.0,51.6%,PHI,6,2019
25,New York Jets,1,0,0,0,0,0,0,1,1.0,1.0,82.4%,NYJ,6,2019
26,Miami Dolphins,0,0,0,0,0,0,0,1,1.0,1.0,69.9%,MIA,6,2019
27,Tampa Bay Buccaneers,2,0,1,0,0,0,0,1,0.0,0.0,20.8%,TB,6,2019
28,Atlanta Falcons,0,0,0,0,0,0,0,1,-1.0,-1.0,16.7%,ATL,6,2019
