Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,San Francisco 49ers,3,3,1,2,2,0,0,1,27.0,27.0,97.8%,SF,1,2019
2,Tennessee Titans,5,3,0,0,1,1,0,1,23.0,23.0,3.5%,TEN,1,2019
3,New York Jets,1,2,2,1,1,1,0,1,18.0,18.0,82.4%,NYJ,1,2019
4,Minnesota Vikings,4,2,1,1,0,0,0,1,16.0,16.0,10.9%,MIN,1,2019
5,Green Bay Packers,5,1,0,0,0,0,0,1,14.0,14.0,26.4%,GB,1,2019
6,Baltimore Ravens,3,2,1,0,0,0,0,1,13.0,13.0,86.2%,BAL,1,2019
7,Seattle Seahawks,5,0,3,3,0,0,0,1,12.0,12.0,22.4%,SEA,1,2019
8,Tampa Bay Buccaneers,1,1,1,0,1,0,0,1,12.0,12.0,20.8%,TB,1,2019
9,Buffalo Bills,4,0,1,0,0,0,0,1,10.0,10.0,61.3%,BUF,1,2019
10,New England Patriots,1,1,0,1,0,0,0,1,10.0,10.0,13.6%,NE,1,2019
11,Los Angeles Rams,3,1,2,2,0,0,0,1,9.0,9.0,21.2%,LAR,1,2019
12,Chicago Bears,5,0,0,1,0,0,0,1,9.0,9.0,33.9%,CHI,1,2019
13,New Orleans Saints,6,1,0,0,0,0,0,1,7.0,7.0,64.0%,NO,1,2019
14,Arizona Cardinals,3,0,2,2,0,0,0,1,7.0,7.0,0.8%,ARI,1,2019
15,Detroit Lions,5,1,0,0,0,0,0,1,7.0,7.0,38.6%,DET,1,2019
16,Indianapolis Colts,4,1,1,1,0,0,0,1,7.0,7.0,26.4%,IND,1,2019
17,Dallas Cowboys,1,0,2,3,0,0,0,1,6.0,6.0,92.7%,DAL,1,2019
18,Cincinnati Bengals,4,0,1,1,0,0,0,1,6.0,6.0,50.0%,CIN,1,2019
19,Kansas City Chiefs,1,1,1,1,0,0,0,1,5.0,5.0,77.7%,KC,1,2019
20,Las Vegas Raiders,3,0,0,1,0,0,0,1,4.0,4.0,24.5%,LV,1,2019
21,Carolina Panthers,1,1,0,0,0,0,0,1,4.0,4.0,3.0%,CAR,1,2019
22,Houston Texans,1,1,0,1,0,0,0,1,2.0,2.0,31.9%,HOU,1,2019
23,Los Angeles Chargers,2,0,0,0,0,0,0,1,2.0,2.0,13.8%,LAC,1,2019
24,Philadelphia Eagles,1,0,0,0,0,0,0,1,1.0,1.0,51.6%,PHI,1,2019
25,Washington Commanders,1,0,0,0,0,0,0,1,0.0,0.0,8.1%,WAS,1,2019
26,Pittsburgh Steelers,1,0,0,0,0,0,0,1,0.0,0.0,75.9%,PIT,1,2019
27,Atlanta Falcons,1,0,0,1,0,0,0,1,0.0,0.0,16.7%,ATL,1,2019
28,Denver Broncos,0,0,0,0,0,0,0,1,0.0,0.0,34.5%,DEN,1,2019
29,Cleveland Browns,4,0,0,0,0,0,0,1,0.0,0.0,94.2%,CLE,1,2019
30,Miami Dolphins,1,0,0,0,0,0,0,1,-3.0,-3.0,69.9%,MIA,1,2019
31,New York Giants,0,0,0,0,0,0,0,1,-4.0,-4.0,2.4%,NYG,1,2019
32,Jacksonville Jaguars,0,0,0,0,0,0,0,1,-4.0,-4.0,50.2%,JAC,1,2019
