Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Houston Texans,4,2,2,3,0,0,0,1,19.0,19.0,31.9%,HOU,9,2019
2,Pittsburgh Steelers,5,1,2,1,1,0,0,1,19.0,19.0,75.9%,PIT,9,2019
3,Dallas Cowboys,5,1,2,2,1,0,0,1,18.0,18.0,92.7%,DAL,9,2019
4,Baltimore Ravens,2,1,1,1,1,0,0,1,13.0,13.0,86.2%,BAL,9,2019
5,Carolina Panthers,4,2,1,1,0,0,0,1,11.0,11.0,3.0%,CAR,9,2019
6,Miami Dolphins,3,1,0,0,0,1,0,1,8.0,8.0,69.9%,MIA,9,2019
7,Buffalo Bills,4,0,0,1,0,0,0,1,8.0,8.0,61.3%,BUF,9,2019
8,Indianapolis Colts,1,1,1,2,0,1,0,1,8.0,8.0,26.4%,IND,9,2019
9,Minnesota Vikings,5,0,1,2,0,0,0,1,7.0,7.0,10.9%,MIN,9,2019
10,Los Angeles Chargers,3,0,0,0,0,0,0,1,7.0,7.0,13.8%,LAC,9,2019
11,Philadelphia Eagles,3,0,1,0,0,0,0,1,6.0,6.0,51.6%,PHI,9,2019
12,New York Jets,4,0,0,0,0,1,0,1,6.0,6.0,82.4%,NYJ,9,2019
13,Las Vegas Raiders,2,1,1,0,0,0,0,1,6.0,6.0,24.5%,LV,9,2019
14,Tennessee Titans,3,1,0,0,0,0,0,1,6.0,6.0,3.5%,TEN,9,2019
15,Jacksonville Jaguars,1,0,1,1,0,0,0,1,5.0,5.0,50.2%,JAC,9,2019
16,Cleveland Browns,3,0,1,1,0,0,0,1,5.0,5.0,94.2%,CLE,9,2019
17,New England Patriots,1,0,2,1,0,0,0,1,4.0,4.0,13.6%,NE,9,2019
18,Chicago Bears,4,0,0,0,0,0,0,1,4.0,4.0,33.9%,CHI,9,2019
19,San Francisco 49ers,3,0,0,0,0,0,0,1,3.0,3.0,97.8%,SF,9,2019
20,Denver Broncos,2,0,0,0,0,0,0,1,3.0,3.0,34.5%,DEN,9,2019
21,New York Giants,0,1,1,1,0,0,0,1,3.0,3.0,2.4%,NYG,9,2019
22,Seattle Seahawks,2,0,1,1,0,0,0,1,3.0,3.0,22.4%,SEA,9,2019
23,Washington Commanders,2,0,0,1,0,0,0,1,2.0,2.0,8.1%,WAS,9,2019
24,Green Bay Packers,2,0,0,0,0,0,0,1,2.0,2.0,26.4%,GB,9,2019
25,Kansas City Chiefs,1,0,0,0,0,0,0,1,1.0,1.0,77.7%,KC,9,2019
26,Tampa Bay Buccaneers,3,0,1,2,0,0,0,1,1.0,1.0,20.8%,TB,9,2019
27,Detroit Lions,1,0,0,0,0,0,0,1,0.0,0.0,38.6%,DET,9,2019
28,Arizona Cardinals,1,0,0,0,0,0,0,1,0.0,0.0,0.8%,ARI,9,2019
