Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Pittsburgh Steelers,4,3,1,3,1,0,0,1,25.0,25.0,75.9%,PIT,10,2019
2,Baltimore Ravens,2,1,2,2,2,0,0,1,24.0,24.0,86.2%,BAL,10,2019
3,Los Angeles Rams,3,0,2,2,1,1,0,1,19.0,19.0,21.2%,LAR,10,2019
4,San Francisco 49ers,5,1,3,5,1,0,0,1,19.0,19.0,97.8%,SF,10,2019
5,Seattle Seahawks,5,1,2,2,1,0,0,1,18.0,18.0,22.4%,SEA,10,2019
6,Las Vegas Raiders,5,3,0,1,1,0,0,1,17.0,17.0,24.5%,LV,10,2019
7,New York Jets,6,0,2,3,1,0,0,1,16.0,16.0,82.4%,NYJ,10,2019
8,Miami Dolphins,1,3,0,1,0,0,0,1,11.0,11.0,69.9%,MIA,10,2019
9,Tennessee Titans,2,0,1,1,1,0,0,1,11.0,11.0,3.5%,TEN,10,2019
10,Atlanta Falcons,6,0,0,0,0,0,0,1,10.0,10.0,16.7%,ATL,10,2019
11,Arizona Cardinals,4,2,1,1,0,0,0,1,9.0,9.0,0.8%,ARI,10,2019
12,Green Bay Packers,3,1,1,1,0,0,0,1,8.0,8.0,26.4%,GB,10,2019
13,Indianapolis Colts,3,1,1,1,0,0,0,1,8.0,8.0,26.4%,IND,10,2019
14,Chicago Bears,2,1,0,0,0,0,0,1,8.0,8.0,33.9%,CHI,10,2019
15,Detroit Lions,5,0,0,0,0,0,0,1,6.0,6.0,38.6%,DET,10,2019
16,Tampa Bay Buccaneers,2,1,1,1,0,0,0,1,6.0,6.0,20.8%,TB,10,2019
17,Buffalo Bills,2,0,0,0,0,1,0,1,5.0,5.0,61.3%,BUF,10,2019
18,Kansas City Chiefs,4,0,1,1,0,0,0,1,5.0,5.0,77.7%,KC,10,2019
19,Minnesota Vikings,1,1,0,0,0,0,0,1,3.0,3.0,10.9%,MIN,10,2019
20,New Orleans Saints,1,1,0,0,0,0,0,1,3.0,3.0,64.0%,NO,10,2019
21,Los Angeles Chargers,3,0,0,0,0,0,0,1,3.0,3.0,13.8%,LAC,10,2019
22,Cleveland Browns,1,0,0,1,0,0,0,1,2.0,2.0,94.2%,CLE,10,2019
23,Carolina Panthers,2,0,0,0,0,0,0,1,2.0,2.0,3.0%,CAR,10,2019
24,New York Giants,2,0,0,0,0,0,0,1,1.0,1.0,2.4%,NYG,10,2019
25,Dallas Cowboys,1,0,0,0,0,0,0,1,0.0,0.0,92.7%,DAL,10,2019
26,Cincinnati Bengals,1,1,0,0,0,0,0,1,-1.0,-1.0,50.0%,CIN,10,2019
